type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2025-11-01T00:36:30,2025-11-01T06:25:30,349,32.86217765042979,207.7320881412761,633.7072219012771,0.593073300777597,1.2970683540317764
IDT,2025-11-02T00:52,2025-11-02T06:28:30,337,31.966765578635016,-92.42909603478802,449.55833173240535,0.5965009691278172,1.3030764068481508
IDT,2025-11-03T01:15,2025-11-03T07:29:30,365,31.95342465753425,-104.97810104657947,689.9611005461775,0.5992432781468567,1.325210658619544
IDT,2025-11-03T23:50,2025-11-04T07:37:30,457,32.88643326039387,281.995031935543,963.7628841056721,0.6028237773498863,1.342331194906008
IDT,2025-11-05T00:40:30,2025-11-05T08:37:30,477,31.6937106918239,-261.07412109375036,631.9135779977078,0.6140550089330672,1.3413830134935818
IDT,2025-11-06T01:14,2025-11-06T07:38:30,385,31.719740259740263,-189.34786241319307,729.7936441570055,0.6235516285491757,1.3475263258120438
IDT,2025-11-07T01:07,2025-11-07T08:28,441,31.308163265306124,-388.0495244565227,899.1273773944704,0.6490107243395262,1.3643069188665884
IDT,2025-11-07T23:20:30,2025-11-08T07:29,488,32.648770491803276,208.87261156034947,790.3004259427544,0.6505776115417964,1.3657459658729627
IDT,2025-11-08T23:44,2025-11-09T06:48,424,32.06061320754717,-54.051923740509665,814.0228312737308,0.6494330991976457,1.3582850548834193
IDT,2025-11-10T00:10,2025-11-10T08:54,522,32.891187739463604,367.01484860248456,1367.3252473080065,0.6464784519825068,1.3666089824562344
IDT,2025-11-10T23:09,2025-11-11T07:47:30,513,32.02807017543859,-82.09230395962732,991.8725270358846,0.6024248964950217,1.363598920825627
IDT,2025-11-11T23:54,2025-11-12T07:42:30,469,32.492324093816634,142.68383907004682,922.1610616882099,0.6020409712726269,1.3661372774336826
IDT,2025-11-12T23:15,2025-11-13T07:12,477,31.86918238993711,-139.59493206521802,1154.2096961389761,0.5819691668263933,1.3743314447203776
IDT,2025-11-15T01:09,2025-11-15T08:04:30,416,33.56899038461538,575.7739130434784,1251.8824734167429,0.6207387954491256,1.3733328678797738
IDT,2025-11-16T00:19,2025-11-16T07:54:30,456,32.12850877192982,-4.670000000000073,1428.2372125000693,0.5657345596166622,1.376812351319032
IDT,2025-11-17T00:14,2025-11-17T07:52:30,458,33.17772925764192,475.85249999999905,796.2937156249536,0.5901650569813514,1.3936802887419697
IDT,2025-11-17T23:35,2025-11-18T07:36,481,32.43762993762994,143.76124999999956,746.3762515626149,0.5906238468550525,1.3970691140462157
IDT,2025-11-19T00:22:30,2025-11-19T08:23,480,32.061458333333334,-32.18421052631493,717.1749445984606,0.5918544760670293,1.3889364579760428
IDT,2025-11-20T01:39,2025-11-20T07:32:30,354,31.785310734463277,-97.75625000000036,415.09876953123603,0.551784578369649,1.3790531040203697
IDT,2025-11-21T02:39,2025-11-21T09:34:30,416,32.768509615384616,294.1333333333332,422.6848263888387,0.5604896004728483,1.3615190493230092
IDT,2025-11-22T06:01,2025-11-22T10:31:30,271,33.034317343173434,263.6447916666657,1665.0800596787594,0.5738436101210896,1.3892773567275742
IDT,2025-11-23T06:44,2025-11-23T10:45:30,240,31.1675,-214.34716981132078,881.802788358822,0.608887041510249,1.397328478113291
IDT,2025-11-24T00:11,2025-11-24T08:51,520,33.252307692307696,619.6811320754714,1320.0478181736544,0.6205108148575652,1.4014325189327477
IDT,2025-11-24T23:39:30,2025-11-25T07:20,460,32.099347826086955,17.817924528302683,592.0199748575687,0.6209547062881178,1.3952352536259858
IDT,2025-11-25T23:43:30,2025-11-26T06:45,420,31.485,-241.757547169811,398.91433717519976,0.6337588013110792,1.3893892671884278
IDT,2025-11-27T00:02,2025-11-27T07:47:30,465,33.47032258064516,655.1218750000007,1225.0282389323693,0.671228137096618,1.4005348146532697
IDT,2025-11-28T00:02,2025-11-28T08:17,492,33.795731707317074,834.6208695652185,1637.3584266540129,0.6948622457130437,1.41092119691758
IDT,2025-11-28T23:49:30,2025-11-29T07:54:30,485,33.516288659793815,673.0732456140358,1230.1988329101587,0.7204894641098827,1.4170892103933517
