type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2025-12-15T00:00:30,2025-12-15T08:09,488,31.992622950819673,-217.16340956341264,1026.9326771581545,0.8051059185410068,1.4133461803740095
IDT,2025-12-16T00:33,2025-12-16T07:59,446,31.806053811659194,-281.682952182955,610.257882400183,0.8211611317825995,1.3834685906415523
IDT,2025-12-17T02:20:30,2025-12-17T10:37,496,31.991935483870964,-53.27652173912975,687.1902979204897,0.810674687099499,1.3974199741846345
IDT,2025-12-18T03:09:30,2025-12-18T10:58:30,469,31.83688699360341,-105.3239583333343,416.1645974392304,0.8257265974574921,1.389870243523593
IDT,2025-12-19T02:02,2025-12-19T11:00,538,32.06561338289963,0.0,760.3938475837931,0.8256040801306832,1.3852747235157095
IDT,2025-12-21T02:26,2025-12-21T12:00:30,573,32.26457242582897,104.33861362534299,1280.470028435113,0.8341480155561806,1.433221645500277
IDT,2025-12-23T02:51:30,2025-12-23T09:02,370,31.33891891891892,-268.87695167286256,717.8709598402493,0.8289536767994201,1.3547778842450842
IDT,2025-12-24T03:21,2025-12-24T09:58:30,390,31.918717948717948,-28.82295081967277,1531.183519215323,0.7935164601285434,1.398902401696374
IDT,2025-12-24T23:56:30,2025-12-25T04:54:30,298,31.894295302013422,-29.09677419354739,765.7213163372362,0.7993273071717546,1.428859800893721
IDT,2025-12-26T03:35:30,2025-12-26T06:45:30,190,32.55789473684211,107.40163934426255,110.21427438862156,0.7674178221889882,1.4303669874847855
IDT,2025-12-27T01:39:30,2025-12-27T07:45,365,31.936712328767126,-20.156451612901947,171.52115764829796,0.6939198507415278,1.3923334375740941
IDT,2025-12-27T22:56,2025-12-28T08:02,524,31.29618320610687,-335.63726027397206,1598.2378062676871,0.5545145943728949,1.389355117722084
IDT,2025-12-29T02:27,2025-12-29T11:10:30,512,31.43359375,-248.38358974358925,369.57907744916156,0.3548913643286203,1.3100765465678699
IDT,2025-12-29T23:48:30,2025-12-30T06:01,372,31.80188172043011,-38.92046463603583,158.78073270828463,0.3414809326373375,1.2795267052680508
IDT,2025-12-31T01:59:30,2025-12-31T10:28,506,31.448418972332014,-225.61342281879115,443.41942007117905,0.34634120544221153,1.2514303595779297
IDT,2026-01-01T01:03,2026-01-01T07:14,369,32.01111111111111,38.599055240061716,439.2220787681872,0.33735412583792607,1.2457170446381565
