type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2025-08-13T00:04:30,2025-08-13T08:18:30,481,31.31829521829522,NaN,NaN,NaN,NaN
IDT,2025-08-14T00:21:30,2025-08-14T08:28:30,484,30.960537190082643,NaN,NaN,NaN,NaN
IDT,2025-08-15T01:07,2025-08-15T08:28,440,31.556363636363635,104.75010395010213,713.0798733581323,0.29991013446252623,1.2520072101452324
IDT,2025-08-16T02:12,2025-08-16T08:18:30,367,31.3141689373297,-0.7571725571724528,200.7878836792661,0.24552787411611304,1.0569789647469363
IDT,2025-08-17T00:47,2025-08-17T07:02,375,32.2896,364.2392931392933,831.7168071111664,0.49610228271317786,1.1493476898996828
IDT,2025-08-17T23:57,2025-08-18T07:28:30,451,31.566740576496674,58.364428274428064,225.47411638090853,0.4448963549682773,1.0505735024681697
IDT,2025-08-18T23:46:30,2025-08-19T08:32:30,524,31.003053435114502,-165.1866943866935,175.02886260009836,0.44761426592173875,0.9835220616980581
IDT,2025-08-19T23:53:30,2025-08-20T08:02,486,31.897325102880657,223.55789831789843,257.8621890952345,0.44615658045811496,0.92784342508718
IDT,2025-08-21T00:38:30,2025-08-21T07:56:30,436,31.537844036697248,0.0,327.58557339455,0.41766841159748436,0.9226764574789373
IDT,2025-08-22T00:49,2025-08-22T08:15:30,442,32.06470588235294,228.7801042535466,339.286461769836,0.43319823959720005,0.9049664492866498
IDT,2025-08-24T02:05,2025-08-24T08:27:30,383,30.80913838120104,-279.0942660550463,361.67558575666044,0.4678769343098071,0.9277342588259743
IDT,2025-08-25T03:28:30,2025-08-25T09:00:30,332,31.425,-18.73211009174338,282.79940345929936,0.44642195988783245,0.9286799018532728
IDT,2025-08-26T02:48,2025-08-26T09:25:30,397,32.5176322418136,388.975917431193,999.150590280653,0.5154956637211746,0.9897691986342142
IDT,2025-08-27T00:32,2025-08-27T09:03:30,505,32.72950495049505,597.112562552129,1860.7569353614235,0.5858689328823697,1.0929291441738616
IDT,2025-08-27T23:48,2025-08-28T08:07:30,492,32.53109756097561,479.56909090909176,1256.9864694215357,0.6094329781902417,1.1258315290343366
IDT,2025-08-28T23:45,2025-08-29T08:22:30,518,31.25926640926641,-149.09978732276795,616.8670204241062,0.5990539566068975,1.1338633846189843
IDT,2025-08-30T00:35,2025-08-30T08:39,483,31.931262939958593,181.07636363636448,1010.7233322313987,0.5833839061404673,1.1552456882415416
IDT,2025-08-31T00:36,2025-08-31T08:20,463,32.22721382289417,308.2013747228393,431.8949619461782,0.5800130399255081,1.1346534333862615
IDT,2025-09-01T00:58,2025-09-01T08:08,430,31.781162790697675,92.20155210642952,145.28747956012376,0.5638527821135336,1.1096043896195533
