timestamp,average_value,lower_bound,upper_bound
2025-11-21T00:00:00Z,95.5,93.1,97.3
2025-11-22T00:00:00Z,95.1,92.8,99.2
2025-11-23T00:00:00Z,95.6,94.2,96.3
2025-11-24T00:00:00Z,95.8,93.9,97.3
2025-11-25T00:00:00Z,95.6,94.4,96.9
2025-11-26T00:00:00Z,95.7,94.4,97.0
2025-11-27T00:00:00Z,95.8,94.1,99.1
2025-11-28T00:00:00Z,95.8,93.6,98.0
2025-11-29T00:00:00Z,96.0,93.1,97.8
2025-12-15T00:00:00Z,94.8,93.4,96.2
2025-12-16T00:00:00Z,95.5,94.0,97.2
2025-12-17T00:00:00Z,94.7,92.3,96.1
2025-12-18T00:00:00Z,95.0,92.0,97.1
2025-12-19T00:00:00Z,94.8,92.9,96.4
2025-12-21T00:00:00Z,94.7,93.4,95.8
2025-12-23T00:00:00Z,95.0,94.1,96.1
2025-12-24T00:00:00Z,94.7,93.0,95.9
2025-12-25T00:00:00Z,94.6,92.6,96.2
2025-12-27T00:00:00Z,95.4,93.7,96.5
2025-12-28T00:00:00Z,95.5,93.3,96.6
2025-12-29T00:00:00Z,96.0,93.7,97.4
2025-12-30T00:00:00Z,95.1,93.4,96.4
2025-12-31T00:00:00Z,95.8,94.1,96.8
2026-01-01T00:00:00Z,96.2,95.8,96.8
2026-01-02T00:00:00Z,94.6,91.7,96.0
2026-01-03T00:00:00Z,94.9,93.1,96.4
2026-01-04T00:00:00Z,95.2,94.0,96.4
2026-01-05T00:00:00Z,94.9,92.6,96.3
2026-01-06T00:00:00Z,95.2,93.2,96.7
2026-01-07T00:00:00Z,95.1,93.1,97.0
2026-01-08T00:00:00Z,94.4,91.8,96.4
2026-01-09T00:00:00Z,96.0,92.4,97.4
2026-01-10T00:00:00Z,95.1,91.7,98.1
2026-01-11T00:00:00Z,95.4,94.3,96.7
2026-01-12T00:00:00Z,95.4,93.8,96.4
2026-01-13T00:00:00Z,95.9,94.9,97.3
2026-01-14T00:00:00Z,95.7,93.9,97.5
2026-01-15T00:00:00Z,95.4,93.5,96.5
2026-01-16T00:00:00Z,96.1,94.5,98.7
2026-01-17T00:00:00Z,98.6,98.2,99.0
2026-01-18T00:00:00Z,96.1,93.6,97.3
2026-01-19T00:00:00Z,95.5,94.6,96.1
2026-01-20T00:00:00Z,95.3,93.7,96.6
2026-01-21T00:00:00Z,96.5,95.3,97.9
2026-01-22T00:00:00Z,96.1,95.3,96.8
2026-01-23T00:00:00Z,96.2,95.1,96.9
2026-01-24T00:00:00Z,95.9,94.4,97.1
2026-01-25T00:00:00Z,96.4,96.0,97.1
2026-01-26T00:00:00Z,94.8,92.8,96.8
2026-01-27T00:00:00Z,96.2,95.3,97.0
2026-01-28T00:00:00Z,95.5,93.5,96.7
2026-01-29T00:00:00Z,99.0,98.5,100.0
2026-01-30T00:00:00Z,96.0,94.5,97.3
2026-01-31T00:00:00Z,96.3,95.0,98.8
2026-02-01T00:00:00Z,96.0,94.2,97.3
2026-02-05T00:00:00Z,95.9,92.8,97.9
2026-02-15T00:00:00Z,96.1,92.5,98.1
2026-02-16T00:00:00Z,95.1,92.1,96.9
2026-02-17T00:00:00Z,98.7,98.3,99.5
2026-02-18T00:00:00Z,96.6,95.4,97.6
2026-02-19T00:00:00Z,95.5,94.3,96.9
2026-02-20T00:00:00Z,96.0,95.1,96.7
2026-02-21T00:00:00Z,97.5,95.2,99.4
