timestamp,value
2025-12-18T14:09:03Z,50.0
2025-12-18T14:10:03Z,95.7
2025-12-18T14:11:03Z,95.2
2025-12-18T14:12:03Z,50.0
2025-12-18T14:13:03Z,94.8
2025-12-18T14:14:03Z,50.0
2025-12-18T14:15:03Z,94.6
2025-12-18T14:16:03Z,50.0
2025-12-18T14:17:03Z,94.3
2025-12-18T14:18:03Z,93.8
2025-12-18T14:19:03Z,93.6
2025-12-18T14:20:03Z,93.4
2025-12-18T14:21:03Z,50.0
2025-12-18T14:22:03Z,50.0
2025-12-18T14:23:03Z,50.0
2025-12-18T14:24:03Z,50.0
2025-12-18T14:25:03Z,93.6
2025-12-18T14:26:03Z,93.9
2025-12-18T14:27:03Z,94.3
2025-12-18T14:28:03Z,94.6
2025-12-18T14:29:03Z,94.9
2025-12-18T14:30:03Z,95.0
2025-12-18T14:31:03Z,95.1
2025-12-18T14:32:03Z,95.1
2025-12-18T14:33:03Z,95.2
2025-12-18T14:34:03Z,95.3
2025-12-18T14:35:03Z,95.4
2025-12-18T14:36:03Z,95.4
2025-12-18T14:37:03Z,95.4
2025-12-18T14:38:03Z,95.5
2025-12-18T14:39:03Z,95.5
2025-12-18T14:40:03Z,95.5
2025-12-18T14:41:03Z,95.4
2025-12-18T14:42:03Z,95.4
2025-12-18T14:43:03Z,95.5
2025-12-18T14:44:03Z,95.5
2025-12-18T14:45:03Z,95.5
2025-12-18T14:46:03Z,95.5
2025-12-18T14:47:03Z,95.5
2025-12-18T14:48:03Z,95.5
2025-12-18T14:49:03Z,95.5
2025-12-18T14:50:03Z,95.5
2025-12-18T14:51:03Z,95.6
2025-12-18T14:52:03Z,95.5
2025-12-18T14:53:03Z,95.6
2025-12-18T14:54:03Z,95.5
2025-12-18T14:55:03Z,50.0
2025-12-18T14:56:03Z,50.0
2025-12-18T14:57:03Z,95.5
2025-12-18T14:58:03Z,50.0
2025-12-18T14:59:03Z,50.0
2025-12-18T15:00:03Z,95.5
2025-12-18T15:01:03Z,95.5
2025-12-18T15:02:03Z,95.6
2025-12-18T15:03:03Z,95.7
