value_time,setting_name,setting_value
2025-10-09 15:45:29+0000,body temperature measurement unit,en us
2025-10-09 15:45:29+0000,glucose measurement unit,mg dl
2026-01-28 20:37:09+0000,height system,us
2026-01-28 20:37:09+0000,pool length,25
2026-01-28 20:37:09+0000,pool length measurement unit,meter
2026-01-28 20:37:09+0000,water measurement unit,fl oz
2026-01-28 20:37:09+0000,weight system,us
