exercise_id,exercise_start,exercise_end,utc_offset,exercise_created,exercise_last_updated,activity_name,log_type,pool_length,pool_length_unit,intervals,distance_units,tracker_total_calories,tracker_total_steps,tracker_total_distance_mm,tracker_total_altitude_mm,tracker_avg_heart_rate,tracker_peak_heart_rate,tracker_avg_pace_mm_per_second,tracker_avg_speed_mm_per_second,tracker_peak_speed_mm_per_second,tracker_auto_stride_run_mm,tracker_auto_stride_walk_mm,tracker_swim_lengths,tracker_pool_length,tracker_pool_length_unit,tracker_cardio_load,manually_logged_total_calories,manually_logged_total_steps,manually_logged_total_distance_mm,manually_logged_pool_length,manually_logged_pool_length_unit,events,activity_type_probabilities,autodetected_confirmed,autodetected_start_timestamp,autodetected_end_timestamp,autodetected_utc_offset,autodetected_activity_name,autodetected_sensor_based_activity_name,deletion_reason,activity_label,suggested_start_timestamp,suggested_end_timestamp,reconciliation_status
5649437371387469424,2026-01-28 03:01:52+0000,2026-01-28 03:12:58+0000,-08:00,2026-01-28 03:23:42+0000,2026-01-28 03:23:42+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
5657141158644938224,2025-08-16 21:39:06+0000,2025-08-16 22:22:10+0000,-07:00,2025-08-16 21:46:19+0000,2025-08-16 22:22:19+0000,Weightlifting,TRACKER,0,UNSPECIFIED,,IMPERIAL,139,457,235539,0,96,144,0,11648,391,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
5661897989527942336,2025-11-10 22:10:45+0000,2025-11-10 22:17:35+0000,-08:00,2025-11-10 22:33:54+0000,2025-11-10 22:33:54+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
5683533436027295112,2025-09-28 19:39:30+0000,2025-09-28 19:46:20+0000,-07:00,2025-09-28 21:06:01+0000,2025-09-28 21:06:01+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
5700772876572357480,2026-01-28 06:18:09+0000,2026-01-28 06:24:07+0000,-08:00,2026-01-28 06:36:12+0000,2026-01-28 06:36:12+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
5707730827168961024,2025-10-10 23:57:25+0000,2025-10-11 00:05:06+0000,-07:00,2025-10-11 00:24:55+0000,2025-10-11 00:24:55+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
5723711904959246912,2026-02-18 17:16:11+0000,2026-02-18 17:22:10+0000,-08:00,2026-02-19 06:05:04+0000,2026-02-19 06:05:04+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
5741692941203979216,2025-10-26 15:41:49+0000,2025-10-26 15:48:38+0000,-07:00,2025-10-26 15:57:22+0000,2025-10-26 15:57:22+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
5743212331870894048,2025-09-03 23:01:32+0000,2025-09-03 23:07:31+0000,-07:00,2025-09-04 15:01:28+0000,2025-09-04 15:01:28+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
5748454300361098328,2026-02-01 01:34:51+0000,2026-02-01 01:56:11+0000,-08:00,2026-02-01 02:04:04+0000,2026-02-01 02:04:04+0000,Outdoor Walk,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
