timestamp,beats per minute,data source
2025-12-30T00:00:00Z,58.633,Fitbit App
2025-12-31T00:00:00Z,58.077,Fitbit App
2026-01-01T00:00:00Z,58.165,Fitbit App
2026-01-02T00:00:00Z,58.365,Fitbit App
2026-01-03T00:00:00Z,60.423,Fitbit App
2026-01-04T00:00:00Z,60.406,Fitbit App
2026-01-05T00:00:00Z,58.401,Fitbit App
2026-01-06T00:00:00Z,58.666,Fitbit App
2026-01-07T00:00:00Z,58.794,Fitbit App
2026-01-08T00:00:00Z,61.012,Fitbit App
2026-01-09T00:00:00Z,62.501,Fitbit App
2026-01-10T00:00:00Z,64.097,Fitbit App
2026-01-11T00:00:00Z,65.774,Fitbit App
2026-01-12T00:00:00Z,64.737,Fitbit App
2026-01-13T00:00:00Z,63.821,Fitbit App
2026-01-14T00:00:00Z,62.529,Fitbit App
2026-01-15T00:00:00Z,62.885,Fitbit App
2026-01-16T00:00:00Z,62.494,Fitbit App
2026-01-17T00:00:00Z,64.654,Fitbit App
2026-01-18T00:00:00Z,66.396,Fitbit App
2026-01-19T00:00:00Z,68.944,Fitbit App
2026-01-20T00:00:00Z,67.188,Fitbit App
2026-01-21T00:00:00Z,64.116,Fitbit App
2026-01-22T00:00:00Z,61.647,Fitbit App
2026-01-23T00:00:00Z,61.582,Fitbit App
2026-01-24T00:00:00Z,63.917,Fitbit App
2026-01-25T00:00:00Z,61.989,Fitbit App
2026-01-26T00:00:00Z,64.121,Fitbit App
2026-01-27T00:00:00Z,64.269,Fitbit App
2026-01-28T00:00:00Z,62.617,Fitbit App
2026-01-29T00:00:00Z,63.384,Fitbit App
2026-01-30T00:00:00Z,61.314,Fitbit App
2026-01-31T00:00:00Z,60.826,Fitbit App
2026-02-01T00:00:00Z,60.946,Fitbit App
2026-02-03T00:00:00Z,60.549,Fitbit App
2026-02-04T00:00:00Z,60.368,Fitbit App
2026-02-05T00:00:00Z,61.474,Fitbit App
2026-02-14T00:00:00Z,62.795,Fitbit App
2026-02-15T00:00:00Z,61.982,Fitbit App
2026-02-16T00:00:00Z,63.691,Fitbit App
2026-02-17T00:00:00Z,62.873,Fitbit App
2026-02-18T00:00:00Z,62.931,Fitbit App
2026-02-19T00:00:00Z,62.384,Fitbit App
2026-02-20T00:00:00Z,63.888,Fitbit App
2026-02-21T00:00:00Z,65.533,Fitbit App
