timestamp,breaths per minute,data source
2026-01-03T00:00:00Z,18.2,Fitbit App
2026-01-04T00:00:00Z,17.8,Fitbit App
2026-01-05T00:00:00Z,17.2,Fitbit App
2026-01-06T00:00:00Z,16.8,Fitbit App
2026-01-07T00:00:00Z,18.0,Fitbit App
2026-01-08T00:00:00Z,18.2,Fitbit App
2026-01-09T00:00:00Z,17.6,Fitbit App
2026-01-10T00:00:00Z,17.6,Fitbit App
2026-01-11T00:00:00Z,18.2,Fitbit App
2026-01-12T00:00:00Z,17.6,Fitbit App
2026-01-13T00:00:00Z,17.0,Fitbit App
2026-01-14T00:00:00Z,17.2,Fitbit App
2026-01-15T00:00:00Z,17.2,Fitbit App
2026-01-16T00:00:00Z,17.6,Fitbit App
2026-01-17T00:00:00Z,18.4,Fitbit App
2026-01-18T00:00:00Z,21.4,Fitbit App
2026-01-19T00:00:00Z,18.8,Fitbit App
2026-01-20T00:00:00Z,16.4,Fitbit App
2026-01-21T00:00:00Z,16.6,Fitbit App
2026-01-22T00:00:00Z,16.8,Fitbit App
2026-01-23T00:00:00Z,15.6,Fitbit App
2026-01-24T00:00:00Z,17.4,Fitbit App
2026-01-25T00:00:00Z,16.4,Fitbit App
2026-01-26T00:00:00Z,17.4,Fitbit App
2026-01-27T00:00:00Z,17.0,Fitbit App
2026-01-28T00:00:00Z,17.0,Fitbit App
2026-01-29T00:00:00Z,17.6,Fitbit App
2026-01-30T00:00:00Z,17.2,Fitbit App
2026-01-31T00:00:00Z,17.4,Fitbit App
2026-02-15T00:00:00Z,17.0,Fitbit App
2026-02-16T00:00:00Z,17.6,Fitbit App
2026-02-17T00:00:00Z,17.2,Fitbit App
2026-02-18T00:00:00Z,17.2,Fitbit App
2026-02-19T00:00:00Z,16.4,Fitbit App
2026-02-20T00:00:00Z,19.0,Fitbit App
2026-02-21T00:00:00Z,16.2,Fitbit App
