timestamp,oxygen saturation percentage,data source
2025-08-13T09:33:03Z,97.4,Charge 6
2025-08-13T09:34:03Z,97.3,Charge 6
2025-08-13T09:35:03Z,97.4,Charge 6
2025-08-13T09:36:03Z,97.3,Charge 6
2025-08-13T09:38:03Z,97.0,Charge 6
2025-08-13T09:39:03Z,96.6,Charge 6
2025-08-13T09:40:03Z,96.3,Charge 6
2025-08-13T09:41:03Z,96.4,Charge 6
2025-08-13T09:42:03Z,96.3,Charge 6
2025-08-13T09:43:03Z,96.2,Charge 6
2025-08-13T09:44:03Z,96.2,Charge 6
2025-08-13T09:45:03Z,96.2,Charge 6
2025-08-13T09:46:03Z,96.4,Charge 6
2025-08-13T09:47:03Z,96.5,Charge 6
2025-08-13T09:48:03Z,96.5,Charge 6
2025-08-13T09:49:03Z,96.5,Charge 6
2025-08-13T09:51:03Z,96.7,Charge 6
2025-08-13T09:53:03Z,96.3,Charge 6
2025-08-13T09:55:03Z,95.9,Charge 6
2025-08-13T09:57:03Z,95.9,Charge 6
2025-08-13T09:58:03Z,95.9,Charge 6
2025-08-13T09:59:03Z,95.9,Charge 6
2025-08-13T10:00:03Z,95.9,Charge 6
2025-08-13T10:03:03Z,95.8,Charge 6
2025-08-13T10:04:03Z,95.8,Charge 6
2025-08-13T10:05:03Z,95.8,Charge 6
2025-08-13T10:06:03Z,95.8,Charge 6
2025-08-13T10:07:03Z,95.9,Charge 6
2025-08-13T10:08:03Z,95.9,Charge 6
2025-08-13T10:09:03Z,95.9,Charge 6
2025-08-13T10:10:03Z,95.9,Charge 6
2025-08-13T10:11:03Z,96.0,Charge 6
2025-08-13T10:12:03Z,96.0,Charge 6
2025-08-13T10:13:03Z,96.0,Charge 6
2025-08-13T10:14:03Z,96.0,Charge 6
2025-08-13T10:15:03Z,96.0,Charge 6
2025-08-13T10:16:03Z,96.1,Charge 6
2025-08-13T10:17:03Z,96.1,Charge 6
2025-08-13T10:18:03Z,96.1,Charge 6
2025-08-13T10:19:03Z,96.1,Charge 6
2025-08-13T10:20:03Z,96.1,Charge 6
2025-08-13T10:21:03Z,96.1,Charge 6
2025-08-13T10:22:03Z,96.1,Charge 6
2025-08-13T10:23:03Z,96.1,Charge 6
2025-08-13T10:24:03Z,96.1,Charge 6
2025-08-13T10:25:03Z,96.1,Charge 6
2025-08-13T10:26:03Z,96.2,Charge 6
2025-08-13T10:27:03Z,96.2,Charge 6
2025-08-13T10:28:03Z,96.2,Charge 6
2025-08-13T10:29:03Z,96.2,Charge 6
2025-08-13T10:30:03Z,96.2,Charge 6
2025-08-13T10:31:03Z,96.2,Charge 6
2025-08-13T10:32:03Z,96.2,Charge 6
2025-08-13T10:33:03Z,96.2,Charge 6
2025-08-13T10:34:03Z,96.1,Charge 6
2025-08-13T10:35:03Z,96.2,Charge 6
2025-08-13T10:36:03Z,96.2,Charge 6
2025-08-13T10:37:03Z,96.2,Charge 6
2025-08-13T10:38:03Z,96.2,Charge 6
2025-08-13T10:39:03Z,96.2,Charge 6
2025-08-13T10:40:03Z,96.2,Charge 6
2025-08-13T10:41:03Z,96.3,Charge 6
2025-08-13T10:42:03Z,96.2,Charge 6
2025-08-13T10:44:03Z,96.1,Charge 6
2025-08-13T10:45:03Z,96.0,Charge 6
2025-08-13T10:47:03Z,96.2,Charge 6
2025-08-13T10:48:03Z,96.4,Charge 6
2025-08-13T10:49:03Z,96.6,Charge 6
2025-08-13T10:50:03Z,96.7,Charge 6
2025-08-13T10:51:03Z,96.8,Charge 6
2025-08-13T10:52:03Z,96.9,Charge 6
2025-08-13T10:53:03Z,96.9,Charge 6
2025-08-13T10:54:03Z,96.9,Charge 6
2025-08-13T10:55:03Z,96.9,Charge 6
2025-08-13T10:56:03Z,96.9,Charge 6
2025-08-13T10:57:03Z,96.9,Charge 6
2025-08-13T10:58:03Z,97.0,Charge 6
2025-08-13T10:59:03Z,97.0,Charge 6
2025-08-13T11:00:03Z,97.0,Charge 6
2025-08-13T11:01:03Z,97.0,Charge 6
2025-08-13T11:02:03Z,97.0,Charge 6
2025-08-13T11:03:03Z,96.9,Charge 6
2025-08-13T11:04:03Z,96.9,Charge 6
2025-08-13T11:05:03Z,97.0,Charge 6
2025-08-13T11:06:03Z,96.9,Charge 6
2025-08-13T11:07:03Z,97.0,Charge 6
2025-08-13T11:08:03Z,97.0,Charge 6
2025-08-13T11:09:03Z,97.0,Charge 6
2025-08-13T11:10:03Z,97.0,Charge 6
2025-08-13T11:12:03Z,96.7,Charge 6
2025-08-13T11:13:03Z,95.9,Charge 6
2025-08-13T11:14:03Z,95.6,Charge 6
2025-08-13T11:15:03Z,95.6,Charge 6
2025-08-13T11:16:03Z,95.6,Charge 6
2025-08-13T11:18:03Z,95.6,Charge 6
2025-08-13T11:19:03Z,95.7,Charge 6
2025-08-13T11:20:03Z,95.7,Charge 6
2025-08-13T11:21:03Z,95.7,Charge 6
2025-08-13T11:22:03Z,95.8,Charge 6
2025-08-13T11:23:03Z,95.8,Charge 6
2025-08-13T11:25:03Z,95.7,Charge 6
2025-08-13T11:26:03Z,95.1,Charge 6
2025-08-13T11:27:03Z,94.3,Charge 6
2025-08-13T11:28:03Z,93.8,Charge 6
2025-08-13T11:29:03Z,93.4,Charge 6
2025-08-13T11:30:03Z,93.0,Charge 6
2025-08-13T11:31:03Z,92.5,Charge 6
2025-08-13T11:34:03Z,92.4,Charge 6
2025-08-13T11:35:03Z,93.5,Charge 6
2025-08-13T11:36:03Z,94.3,Charge 6
2025-08-13T11:38:03Z,94.6,Charge 6
2025-08-13T11:40:03Z,95.1,Charge 6
2025-08-13T11:41:03Z,95.4,Charge 6
2025-08-13T11:42:03Z,95.7,Charge 6
2025-08-13T11:43:03Z,95.8,Charge 6
2025-08-13T11:44:03Z,95.7,Charge 6
2025-08-13T11:45:03Z,95.6,Charge 6
2025-08-13T11:46:03Z,95.7,Charge 6
2025-08-13T11:47:03Z,95.6,Charge 6
2025-08-13T11:48:03Z,95.5,Charge 6
2025-08-13T11:49:03Z,95.6,Charge 6
2025-08-13T11:50:03Z,95.5,Charge 6
2025-08-13T11:51:03Z,95.5,Charge 6
2025-08-13T11:52:03Z,95.5,Charge 6
2025-08-13T11:53:03Z,95.5,Charge 6
2025-08-13T11:54:03Z,95.5,Charge 6
2025-08-13T11:55:03Z,95.4,Charge 6
2025-08-13T11:56:03Z,95.4,Charge 6
2025-08-13T11:57:03Z,95.4,Charge 6
2025-08-13T11:58:03Z,95.5,Charge 6
2025-08-13T11:59:03Z,95.4,Charge 6
2025-08-13T12:00:03Z,95.4,Charge 6
2025-08-13T12:01:03Z,95.5,Charge 6
2025-08-13T12:02:03Z,95.5,Charge 6
2025-08-13T12:03:03Z,95.5,Charge 6
2025-08-13T12:05:03Z,95.5,Charge 6
2025-08-13T12:06:03Z,95.6,Charge 6
2025-08-13T12:07:03Z,95.8,Charge 6
2025-08-13T12:08:03Z,96.0,Charge 6
2025-08-13T12:09:03Z,96.1,Charge 6
2025-08-13T12:10:03Z,96.2,Charge 6
2025-08-13T12:11:03Z,96.2,Charge 6
2025-08-13T12:12:03Z,96.2,Charge 6
2025-08-13T12:14:03Z,96.3,Charge 6
2025-08-13T12:15:03Z,96.5,Charge 6
2025-08-13T12:16:03Z,96.6,Charge 6
2025-08-13T12:17:03Z,96.7,Charge 6
2025-08-13T12:18:03Z,96.7,Charge 6
2025-08-13T12:19:03Z,96.6,Charge 6
2025-08-13T12:20:03Z,96.6,Charge 6
2025-08-13T12:21:03Z,96.6,Charge 6
2025-08-13T12:22:03Z,96.6,Charge 6
2025-08-13T12:23:03Z,96.7,Charge 6
2025-08-13T12:24:03Z,96.5,Charge 6
2025-08-13T12:25:03Z,96.5,Charge 6
2025-08-13T12:27:03Z,96.5,Charge 6
2025-08-13T12:28:03Z,96.4,Charge 6
2025-08-13T12:29:03Z,96.4,Charge 6
2025-08-13T12:30:03Z,96.3,Charge 6
2025-08-13T12:32:03Z,96.3,Charge 6
2025-08-13T12:33:03Z,96.3,Charge 6
2025-08-13T12:34:03Z,96.3,Charge 6
2025-08-13T12:35:03Z,96.3,Charge 6
2025-08-13T12:36:03Z,96.4,Charge 6
2025-08-13T12:37:03Z,96.3,Charge 6
2025-08-13T12:49:03Z,94.9,Charge 6
2025-08-13T12:50:03Z,95.7,Charge 6
2025-08-13T12:51:03Z,96.0,Charge 6
2025-08-13T12:52:03Z,96.4,Charge 6
2025-08-13T12:54:03Z,96.4,Charge 6
2025-08-13T12:55:03Z,96.4,Charge 6
2025-08-13T12:56:03Z,96.5,Charge 6
2025-08-13T12:57:03Z,96.6,Charge 6
2025-08-13T12:58:03Z,96.7,Charge 6
2025-08-13T12:59:03Z,96.9,Charge 6
2025-08-13T13:00:03Z,96.8,Charge 6
2025-08-13T13:02:03Z,96.8,Charge 6
2025-08-13T13:03:03Z,96.6,Charge 6
2025-08-13T13:06:03Z,96.5,Charge 6
2025-08-13T13:07:03Z,96.5,Charge 6
2025-08-13T13:08:03Z,96.6,Charge 6
2025-08-13T13:10:03Z,96.8,Charge 6
2025-08-13T13:11:03Z,96.8,Charge 6
2025-08-13T13:13:03Z,96.8,Charge 6
2025-08-13T13:17:03Z,96.5,Charge 6
2025-08-13T13:18:03Z,96.5,Charge 6
2025-08-13T13:21:03Z,96.4,Charge 6
2025-08-13T13:22:03Z,96.7,Charge 6
2025-08-13T13:23:03Z,96.7,Charge 6
2025-08-13T13:24:03Z,96.7,Charge 6
2025-08-13T13:25:03Z,96.8,Charge 6
2025-08-13T13:26:03Z,96.9,Charge 6
2025-08-13T13:27:03Z,96.9,Charge 6
2025-08-13T13:29:03Z,96.9,Charge 6
2025-08-13T13:30:03Z,96.9,Charge 6
2025-08-13T13:31:03Z,96.8,Charge 6
2025-08-13T13:32:03Z,96.9,Charge 6
2025-08-13T13:33:03Z,96.9,Charge 6
2025-08-13T13:34:03Z,96.9,Charge 6
2025-08-13T13:35:03Z,97.1,Charge 6
2025-08-13T13:36:03Z,97.0,Charge 6
2025-08-13T13:37:03Z,97.0,Charge 6
2025-08-13T13:38:03Z,97.0,Charge 6
2025-08-13T13:39:03Z,97.0,Charge 6
2025-08-13T13:40:03Z,97.0,Charge 6
2025-08-13T13:41:03Z,97.0,Charge 6
2025-08-13T13:42:03Z,97.1,Charge 6
2025-08-13T13:43:03Z,96.9,Charge 6
