timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2025-10-02T00:00:00Z,95.0,92.6,96.3,95.9,1.0,Charge 6
2025-10-03T00:00:00Z,95.3,93.1,98.0,95.9,1.0,Charge 6
2025-10-04T00:00:00Z,93.6,91.7,95.6,95.8,1.1,Charge 6
2025-10-05T00:00:00Z,98.7,98.2,99.2,95.9,1.2,Charge 6
2025-10-06T00:00:00Z,95.7,93.7,96.9,95.8,1.2,Charge 6
2025-10-07T00:00:00Z,96.1,93.6,97.2,95.8,1.1,Charge 6
2025-10-08T00:00:00Z,95.1,92.9,96.5,95.8,1.1,Charge 6
2025-10-09T00:00:00Z,95.3,93.3,97.0,95.7,1.1,Charge 6
2025-10-10T00:00:00Z,95.7,93.4,97.2,95.7,1.1,Charge 6
2025-10-11T00:00:00Z,95.4,93.8,96.3,95.7,1.1,Charge 6
2025-10-12T00:00:00Z,95.2,94.6,95.7,95.7,1.1,Charge 6
2025-10-13T00:00:00Z,95.6,93.6,96.7,95.6,1.1,Charge 6
2025-10-14T00:00:00Z,95.4,94.2,96.4,95.6,1.1,Charge 6
2025-10-15T00:00:00Z,95.4,94.2,96.4,95.6,1.1,Charge 6
2025-10-16T00:00:00Z,94.8,93.4,96.2,95.6,1.1,Charge 6
2025-10-17T00:00:00Z,93.8,91.8,96.2,95.5,1.1,Charge 6
2025-10-18T00:00:00Z,95.5,91.7,98.5,95.5,1.1,Charge 6
2025-10-19T00:00:00Z,95.8,94.1,97.6,95.5,1.1,Charge 6
2025-10-20T00:00:00Z,95.9,94.4,97.5,95.4,0.9,Charge 6
2025-10-21T00:00:00Z,95.3,93.5,97.1,95.5,0.9,Charge 6
2025-10-22T00:00:00Z,95.1,93.1,96.5,95.4,0.9,Charge 6
2025-10-23T00:00:00Z,99.2,98.7,99.5,95.5,1.1,Charge 6
2025-10-24T00:00:00Z,95.7,93.5,97.5,95.6,1.1,Charge 6
2025-10-25T00:00:00Z,94.7,92.4,96.5,95.6,1.1,Charge 6
2025-10-26T00:00:00Z,95.8,94.2,97.6,95.6,1.1,Charge 6
2025-10-27T00:00:00Z,95.5,93.4,96.8,95.6,1.1,Charge 6
2025-10-28T00:00:00Z,96.2,95.0,97.6,95.6,1.1,Charge 6
2025-10-29T00:00:00Z,95.8,94.9,96.5,95.6,1.1,Charge 6
2025-10-30T00:00:00Z,95.6,94.6,96.3,95.6,1.1,Charge 6
2025-10-31T00:00:00Z,94.7,92.3,96.3,95.6,1.1,Charge 6
