timestamp,latitude,longitude,altitude,data source
2025-11-23T09:14:34Z,34.411247,-119.848282,3.0,Charge 6
2025-11-23T09:14:35Z,34.411238,-119.848323,0.299,Charge 6
2025-11-23T09:14:36Z,34.411230,-119.848357,2.8,Charge 6
2025-11-23T09:14:37Z,34.411225,-119.848378,0.799,Charge 6
2025-11-23T09:14:38Z,34.411223,-119.848388,0.099,Charge 6
2025-11-23T09:14:39Z,34.411220,-119.848415,-0.7,Charge 6
2025-11-23T09:14:40Z,34.411218,-119.848455,-1.5,Charge 6
2025-11-23T09:14:41Z,34.411215,-119.848492,-1.5,Charge 6
2025-11-23T09:14:42Z,34.411212,-119.848527,-3.1,Charge 6
2025-11-23T09:14:43Z,34.411207,-119.848565,-3.0,Charge 6
2025-11-23T09:14:44Z,34.411202,-119.848595,-3.0,Charge 6
2025-11-23T09:14:45Z,34.411187,-119.848643,-2.3,Charge 6
2025-11-23T09:14:46Z,34.411173,-119.848680,-1.799,Charge 6
2025-11-23T09:14:47Z,34.411152,-119.848720,-1.599,Charge 6
2025-11-23T09:14:48Z,34.411137,-119.848753,-2.3,Charge 6
2025-11-23T09:14:49Z,34.411138,-119.848790,-2.599,Charge 6
2025-11-23T09:14:50Z,34.411162,-119.848830,-3.099,Charge 6
2025-11-23T09:14:51Z,34.411193,-119.848860,-3.599,Charge 6
2025-11-23T09:14:52Z,34.411225,-119.848890,-4.3,Charge 6
2025-11-23T09:14:53Z,34.411262,-119.848920,-4.2,Charge 6
2025-11-23T09:14:54Z,34.411288,-119.848940,-3.0,Charge 6
2025-11-23T09:14:55Z,34.411315,-119.848958,-3.0,Charge 6
2025-11-23T09:14:56Z,34.411353,-119.848980,-1.3,Charge 6
2025-11-23T09:14:57Z,34.411398,-119.849005,-2.5,Charge 6
2025-11-23T09:14:58Z,34.411427,-119.849033,-1.0,Charge 6
2025-11-23T09:14:59Z,34.411450,-119.849067,-0.7,Charge 6
2025-11-23T09:15:00Z,34.411468,-119.849107,0.5,Charge 6
2025-11-23T09:15:01Z,34.411487,-119.849143,0.4,Charge 6
2025-11-23T09:15:02Z,34.411500,-119.849185,0.3,Charge 6
2025-11-23T09:15:03Z,34.411510,-119.849243,0.6,Charge 6
2025-11-23T09:15:04Z,34.411520,-119.849342,1.0,Charge 6
2025-11-23T09:15:05Z,34.411535,-119.849375,1.0,Charge 6
2025-11-23T09:15:06Z,34.411527,-119.849427,1.5,Charge 6
2025-11-23T09:15:07Z,34.411538,-119.849447,3.6,Charge 6
2025-11-23T09:15:08Z,34.411533,-119.849485,3.9,Charge 6
2025-11-23T09:15:09Z,34.411542,-119.849520,4.6,Charge 6
2025-11-23T09:15:10Z,34.411527,-119.849548,4.7,Charge 6
2025-11-23T09:15:11Z,34.411530,-119.849597,4.9,Charge 6
2025-11-23T09:15:12Z,34.411543,-119.849627,5.4,Charge 6
2025-11-23T09:15:13Z,34.411542,-119.849663,6.1,Charge 6
2025-11-23T09:15:14Z,34.411548,-119.849713,6.5,Charge 6
