start time,end time,data source
2025-11-17T01:01:00Z,2025-11-17T01:16:00Z,Fitbit App
2025-11-17T01:47:00Z,2025-11-17T02:39:00Z,Fitbit App
2025-11-17T02:58:00Z,2025-11-17T03:08:00Z,Fitbit App
2025-11-17T04:24:00Z,2025-11-17T04:51:00Z,Fitbit App
2025-11-17T05:24:00Z,2025-11-17T08:00:00Z,Fitbit App
2025-11-17T08:00:00Z,2025-11-17T08:14:00Z,Fitbit App
2025-11-17T16:47:00Z,2025-11-17T16:59:00Z,Fitbit App
2025-11-17T17:25:00Z,2025-11-17T17:55:00Z,Fitbit App
2025-11-17T17:56:00Z,2025-11-17T18:31:00Z,Fitbit App
2025-11-17T18:35:00Z,2025-11-17T19:30:00Z,Fitbit App
2025-11-17T20:25:00Z,2025-11-17T20:35:00Z,Fitbit App
2025-11-17T20:41:00Z,2025-11-17T20:55:00Z,Fitbit App
2025-11-17T21:02:00Z,2025-11-17T22:15:00Z,Fitbit App
2025-11-17T22:16:00Z,2025-11-17T23:04:00Z,Fitbit App
2025-11-17T23:05:00Z,2025-11-17T23:50:00Z,Fitbit App
