start time,end time,data source
2025-08-22T00:40:00Z,2025-08-22T02:07:00Z,Fitbit App
2025-08-22T03:08:00Z,2025-08-22T03:47:00Z,Fitbit App
2025-08-22T04:09:00Z,2025-08-22T04:46:00Z,Fitbit App
2025-08-22T04:50:00Z,2025-08-22T05:10:00Z,Fitbit App
2025-08-22T07:26:00Z,2025-08-22T07:36:00Z,Fitbit App
2025-08-22T07:38:00Z,2025-08-22T07:48:00Z,Fitbit App
2025-08-22T15:17:00Z,2025-08-22T15:38:00Z,Fitbit App
2025-08-22T15:39:00Z,2025-08-22T15:50:00Z,Fitbit App
2025-08-22T16:01:00Z,2025-08-22T17:11:00Z,Fitbit App
2025-08-22T17:13:00Z,2025-08-22T17:45:00Z,Fitbit App
2025-08-22T17:49:00Z,2025-08-22T18:28:00Z,Fitbit App
2025-08-22T19:22:00Z,2025-08-22T19:39:00Z,Fitbit App
2025-08-22T19:50:00Z,2025-08-22T20:13:00Z,Fitbit App
2025-08-22T20:15:00Z,2025-08-22T22:00:00Z,Fitbit App
2025-08-22T23:10:00Z,2025-08-23T00:09:00Z,Fitbit App
