timestamp,beats per minute,data source
2025-11-10T00:00:01Z,109.0,Charge 6
2025-11-10T00:00:04Z,109.0,Charge 6
2025-11-10T00:00:05Z,110.0,Charge 6
2025-11-10T00:00:07Z,110.0,Charge 6
2025-11-10T00:00:09Z,106.0,Charge 6
2025-11-10T00:00:11Z,103.0,Charge 6
2025-11-10T00:00:13Z,102.0,Charge 6
2025-11-10T00:00:15Z,104.0,Charge 6
2025-11-10T00:00:17Z,106.0,Charge 6
2025-11-10T00:00:19Z,107.0,Charge 6
2025-11-10T00:00:20Z,106.0,Charge 6
2025-11-10T00:00:23Z,106.0,Charge 6
2025-11-10T00:00:26Z,106.0,Charge 6
2025-11-10T00:00:29Z,106.0,Charge 6
2025-11-10T00:00:32Z,106.0,Charge 6
2025-11-10T00:00:35Z,106.0,Charge 6
2025-11-10T00:00:36Z,105.0,Charge 6
2025-11-10T00:00:38Z,106.0,Charge 6
2025-11-10T00:00:40Z,107.0,Charge 6
2025-11-10T00:00:42Z,109.0,Charge 6
2025-11-10T00:00:43Z,113.0,Charge 6
2025-11-10T00:00:45Z,114.0,Charge 6
2025-11-10T00:00:48Z,114.0,Charge 6
2025-11-10T00:00:49Z,110.0,Charge 6
2025-11-10T00:00:51Z,108.0,Charge 6
2025-11-10T00:00:53Z,107.0,Charge 6
2025-11-10T00:00:55Z,106.0,Charge 6
2025-11-10T00:00:57Z,105.0,Charge 6
2025-11-10T00:01:00Z,105.0,Charge 6
2025-11-10T00:01:01Z,105.0,Charge 6
2025-11-10T00:01:03Z,104.0,Charge 6
2025-11-10T00:01:05Z,104.0,Charge 6
2025-11-10T00:01:07Z,104.0,Charge 6
2025-11-10T00:01:10Z,104.0,Charge 6
2025-11-10T00:01:13Z,104.0,Charge 6
2025-11-10T00:01:14Z,100.0,Charge 6
2025-11-10T00:01:16Z,98.0,Charge 6
2025-11-10T00:01:18Z,99.0,Charge 6
2025-11-10T00:01:20Z,100.0,Charge 6
2025-11-10T00:01:22Z,101.0,Charge 6
2025-11-10T00:01:24Z,103.0,Charge 6
2025-11-10T00:01:26Z,102.0,Charge 6
2025-11-10T00:01:28Z,103.0,Charge 6
2025-11-10T00:01:30Z,104.0,Charge 6
2025-11-10T00:01:33Z,103.0,Charge 6
2025-11-10T00:01:35Z,102.0,Charge 6
2025-11-10T00:01:37Z,103.0,Charge 6
2025-11-10T00:01:39Z,105.0,Charge 6
2025-11-10T00:01:41Z,107.0,Charge 6
2025-11-10T00:01:43Z,108.0,Charge 6
2025-11-10T00:01:45Z,107.0,Charge 6
2025-11-10T00:01:47Z,106.0,Charge 6
2025-11-10T00:01:49Z,105.0,Charge 6
2025-11-10T00:01:51Z,104.0,Charge 6
2025-11-10T00:01:54Z,104.0,Charge 6
2025-11-10T00:01:55Z,103.0,Charge 6
2025-11-10T00:01:56Z,99.0,Charge 6
2025-11-10T00:01:59Z,99.0,Charge 6
2025-11-10T00:02:00Z,100.0,Charge 6
2025-11-10T00:02:03Z,100.0,Charge 6
2025-11-10T00:02:04Z,98.0,Charge 6
2025-11-10T00:02:06Z,95.0,Charge 6
2025-11-10T00:02:08Z,93.0,Charge 6
2025-11-10T00:02:10Z,95.0,Charge 6
2025-11-10T00:02:12Z,98.0,Charge 6
2025-11-10T00:02:15Z,98.0,Charge 6
2025-11-10T00:02:16Z,99.0,Charge 6
2025-11-10T00:02:18Z,105.0,Charge 6
2025-11-10T00:02:19Z,113.0,Charge 6
2025-11-10T00:02:21Z,116.0,Charge 6
2025-11-10T00:02:23Z,111.0,Charge 6
2025-11-10T00:02:25Z,110.0,Charge 6
2025-11-10T00:02:27Z,118.0,Charge 6
2025-11-10T00:02:29Z,120.0,Charge 6
2025-11-10T00:02:31Z,121.0,Charge 6
2025-11-10T00:02:33Z,118.0,Charge 6
2025-11-10T00:02:35Z,116.0,Charge 6
2025-11-10T00:02:38Z,116.0,Charge 6
2025-11-10T00:02:39Z,122.0,Charge 6
2025-11-10T00:02:41Z,124.0,Charge 6
