timestamp,oxygen saturation percentage,data source
2026-02-01T08:27:03Z,97.8,Charge 6
2026-02-01T08:30:03Z,97.7,Charge 6
2026-02-01T11:11:33Z,95.6,Charge 6
2026-02-01T11:12:33Z,95.4,Charge 6
2026-02-01T11:13:33Z,95.3,Charge 6
2026-02-01T11:15:33Z,95.2,Charge 6
2026-02-01T11:17:33Z,95.1,Charge 6
2026-02-01T11:18:33Z,95.0,Charge 6
2026-02-01T11:19:33Z,94.9,Charge 6
2026-02-01T11:20:33Z,95.0,Charge 6
2026-02-01T11:21:33Z,94.9,Charge 6
2026-02-01T11:22:33Z,95.0,Charge 6
2026-02-01T11:23:33Z,94.9,Charge 6
2026-02-01T11:24:33Z,94.9,Charge 6
2026-02-01T11:25:33Z,95.0,Charge 6
2026-02-01T11:26:33Z,95.0,Charge 6
2026-02-01T11:27:33Z,95.0,Charge 6
2026-02-01T11:28:33Z,95.0,Charge 6
2026-02-01T11:29:33Z,95.0,Charge 6
2026-02-01T11:30:33Z,95.0,Charge 6
2026-02-01T11:31:33Z,95.0,Charge 6
2026-02-01T11:32:33Z,95.0,Charge 6
2026-02-01T11:33:33Z,95.1,Charge 6
2026-02-01T11:34:33Z,95.1,Charge 6
2026-02-01T11:35:33Z,95.2,Charge 6
2026-02-01T11:36:33Z,95.2,Charge 6
2026-02-01T11:40:33Z,95.3,Charge 6
2026-02-01T11:41:33Z,95.2,Charge 6
2026-02-01T11:42:33Z,95.0,Charge 6
2026-02-01T11:43:33Z,94.9,Charge 6
2026-02-01T11:44:33Z,94.9,Charge 6
2026-02-01T11:45:33Z,94.9,Charge 6
2026-02-01T11:46:33Z,94.9,Charge 6
2026-02-01T11:47:33Z,94.9,Charge 6
2026-02-01T11:48:33Z,94.9,Charge 6
2026-02-01T11:49:33Z,94.8,Charge 6
2026-02-01T11:50:33Z,94.7,Charge 6
2026-02-01T11:51:33Z,94.7,Charge 6
2026-02-01T11:52:33Z,94.7,Charge 6
2026-02-01T11:53:33Z,94.7,Charge 6
2026-02-01T11:54:33Z,94.7,Charge 6
2026-02-01T11:56:33Z,94.7,Charge 6
2026-02-01T11:57:33Z,94.7,Charge 6
2026-02-01T11:58:33Z,94.7,Charge 6
2026-02-01T11:59:33Z,94.6,Charge 6
2026-02-01T12:02:33Z,94.6,Charge 6
2026-02-01T12:03:33Z,94.6,Charge 6
2026-02-01T12:05:33Z,94.5,Charge 6
2026-02-01T12:09:33Z,94.8,Charge 6
2026-02-01T12:10:33Z,95.1,Charge 6
2026-02-01T12:11:33Z,95.4,Charge 6
2026-02-01T12:12:33Z,95.7,Charge 6
2026-02-01T12:14:33Z,96.2,Charge 6
2026-02-01T12:15:33Z,96.4,Charge 6
2026-02-01T12:18:33Z,96.8,Charge 6
2026-02-01T12:19:33Z,97.1,Charge 6
2026-02-01T12:20:33Z,97.1,Charge 6
2026-02-01T12:21:33Z,97.0,Charge 6
2026-02-01T12:22:33Z,97.2,Charge 6
2026-02-01T12:23:33Z,97.2,Charge 6
2026-02-01T12:24:33Z,97.2,Charge 6
2026-02-01T12:25:33Z,97.2,Charge 6
2026-02-01T12:26:33Z,97.2,Charge 6
2026-02-01T12:27:33Z,97.1,Charge 6
2026-02-01T12:28:33Z,97.1,Charge 6
