timestamp,level,data source
2025-08-13T16:14:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T16:15:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T16:16:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T16:17:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T16:18:00Z,SEDENTARY,Fitbit App
2025-08-13T16:19:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T16:20:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T16:21:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T16:22:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T16:23:00Z,SEDENTARY,Fitbit App
2025-08-13T16:24:00Z,SEDENTARY,Fitbit App
2025-08-13T16:25:00Z,SEDENTARY,Fitbit App
2025-08-13T16:26:00Z,SEDENTARY,Fitbit App
2025-08-13T16:27:00Z,SEDENTARY,Fitbit App
2025-08-13T16:28:00Z,SEDENTARY,Fitbit App
2025-08-13T16:29:00Z,SEDENTARY,Fitbit App
2025-08-13T16:30:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T16:31:00Z,SEDENTARY,Fitbit App
2025-08-13T16:32:00Z,SEDENTARY,Fitbit App
2025-08-13T16:33:00Z,SEDENTARY,Fitbit App
2025-08-13T16:34:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T16:35:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T16:36:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T16:37:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T16:38:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T16:39:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T16:40:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T16:41:00Z,SEDENTARY,Fitbit App
2025-08-13T16:42:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T16:43:00Z,SEDENTARY,Fitbit App
2025-08-13T16:45:00Z,SEDENTARY,Fitbit App
2025-08-13T16:47:00Z,SEDENTARY,Fitbit App
2025-08-13T16:48:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T16:49:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T16:51:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T16:52:00Z,SEDENTARY,Fitbit App
2025-08-13T16:53:00Z,SEDENTARY,Fitbit App
2025-08-13T16:56:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T17:02:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T17:03:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T17:04:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T17:05:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T17:06:00Z,VERY_ACTIVE,Fitbit App
2025-08-13T17:07:00Z,VERY_ACTIVE,Fitbit App
2025-08-13T17:08:00Z,VERY_ACTIVE,Fitbit App
2025-08-13T17:09:00Z,VERY_ACTIVE,Fitbit App
2025-08-13T17:10:00Z,VERY_ACTIVE,Fitbit App
2025-08-13T17:11:00Z,VERY_ACTIVE,Fitbit App
2025-08-13T17:12:00Z,VERY_ACTIVE,Fitbit App
2025-08-13T17:13:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T17:15:00Z,SEDENTARY,Fitbit App
2025-08-13T17:16:00Z,SEDENTARY,Fitbit App
2025-08-13T17:17:00Z,SEDENTARY,Fitbit App
2025-08-13T17:18:00Z,SEDENTARY,Fitbit App
2025-08-13T17:19:00Z,SEDENTARY,Fitbit App
2025-08-13T17:20:00Z,SEDENTARY,Fitbit App
2025-08-13T17:21:00Z,SEDENTARY,Fitbit App
2025-08-13T17:22:00Z,SEDENTARY,Fitbit App
2025-08-13T17:23:00Z,SEDENTARY,Fitbit App
2025-08-13T17:24:00Z,SEDENTARY,Fitbit App
2025-08-13T17:25:00Z,SEDENTARY,Fitbit App
2025-08-13T17:26:00Z,SEDENTARY,Fitbit App
2025-08-13T17:27:00Z,SEDENTARY,Fitbit App
2025-08-13T17:28:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T17:29:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T17:30:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T17:31:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T17:32:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T17:33:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T17:34:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T17:35:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T17:36:00Z,VERY_ACTIVE,Fitbit App
2025-08-13T17:37:00Z,VERY_ACTIVE,Fitbit App
2025-08-13T17:38:00Z,VERY_ACTIVE,Fitbit App
2025-08-13T17:39:00Z,VERY_ACTIVE,Fitbit App
2025-08-13T17:40:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T17:41:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T17:42:00Z,VERY_ACTIVE,Fitbit App
2025-08-13T17:43:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T17:44:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T17:45:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T17:46:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T17:47:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T17:48:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T17:49:00Z,SEDENTARY,Fitbit App
2025-08-13T17:50:00Z,SEDENTARY,Fitbit App
2025-08-13T17:51:00Z,SEDENTARY,Fitbit App
2025-08-13T17:52:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T17:53:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T17:54:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T17:55:00Z,SEDENTARY,Fitbit App
2025-08-13T17:56:00Z,SEDENTARY,Fitbit App
2025-08-13T17:57:00Z,SEDENTARY,Fitbit App
2025-08-13T17:58:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T17:59:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T18:00:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T18:01:00Z,SEDENTARY,Fitbit App
