timestamp,distance,data source
2026-01-01T00:05:00Z,6.50,Charge 6
2026-01-01T00:30:00Z,34.80,Charge 6
2026-01-01T00:32:00Z,4.30,Charge 6
2026-01-01T00:42:00Z,11.60,Charge 6
2026-01-01T00:47:00Z,10.10,Charge 6
2026-01-01T00:48:00Z,13.80,Charge 6
2026-01-01T00:49:00Z,3.60,Charge 6
2026-01-01T00:50:00Z,5.80,Charge 6
2026-01-01T01:20:00Z,12.30,Charge 6
2026-01-01T01:24:00Z,5.00,Charge 6
2026-01-01T01:29:00Z,15.90,Charge 6
2026-01-01T01:30:00Z,44.30,Charge 6
2026-01-01T01:31:00Z,1.40,Charge 6
2026-01-01T01:32:00Z,5.80,Charge 6
2026-01-01T01:33:00Z,5.80,Charge 6
2026-01-01T01:34:00Z,4.30,Charge 6
2026-01-01T02:04:00Z,6.50,Charge 6
2026-01-01T02:05:00Z,6.50,Charge 6
2026-01-01T02:13:00Z,6.50,Charge 6
2026-01-01T02:20:00Z,5.00,Charge 6
2026-01-01T02:23:00Z,25.40,Charge 6
2026-01-01T02:24:00Z,2.90,Charge 6
2026-01-01T02:26:00Z,2.90,Charge 6
2026-01-01T02:27:00Z,45.00,Charge 6
2026-01-01T02:28:00Z,18.80,Charge 6
2026-01-01T02:29:00Z,27.60,Charge 6
2026-01-01T04:53:00Z,3.60,Charge 6
2026-01-01T04:54:00Z,5.80,Charge 6
2026-01-01T04:57:00Z,5.80,Charge 6
2026-01-01T04:58:00Z,7.20,Charge 6
2026-01-01T05:00:00Z,7.20,Charge 6
2026-01-01T05:08:00Z,5.00,Charge 6
2026-01-01T05:09:00Z,11.60,Charge 6
2026-01-01T05:10:00Z,12.30,Charge 6
2026-01-01T06:20:00Z,5.00,Charge 6
2026-01-01T10:47:00Z,4.30,Charge 6
2026-01-01T10:53:00Z,12.30,Charge 6
2026-01-01T11:56:00Z,5.00,Charge 6
2026-01-01T12:10:00Z,10.80,Charge 6
2026-01-01T12:11:00Z,14.50,Charge 6
2026-01-01T12:29:00Z,7.20,Charge 6
2026-01-01T12:30:00Z,24.70,Charge 6
2026-01-01T12:31:00Z,3.60,Charge 6
2026-01-01T12:32:00Z,19.60,Charge 6
2026-01-01T12:33:00Z,5.00,Charge 6
2026-01-01T12:35:00Z,10.10,Charge 6
2026-01-01T12:36:00Z,3.60,Charge 6
2026-01-01T12:39:00Z,15.90,Charge 6
2026-01-01T12:40:00Z,20.30,Charge 6
2026-01-01T12:42:00Z,12.30,Charge 6
2026-01-01T12:43:00Z,32.60,Charge 6
2026-01-01T12:44:00Z,15.90,Charge 6
2026-01-01T12:45:00Z,48.60,Charge 6
2026-01-01T12:46:00Z,34.10,Charge 6
2026-01-01T12:53:00Z,13.80,Charge 6
2026-01-01T12:54:00Z,26.80,Charge 6
2026-01-01T12:55:00Z,8.70,Charge 6
2026-01-01T12:56:00Z,23.90,Charge 6
2026-01-01T12:58:00Z,68.20,Charge 6
2026-01-01T12:59:00Z,13.00,Charge 6
2026-01-01T13:00:00Z,47.20,Charge 6
2026-01-01T13:01:00Z,40.60,Charge 6
2026-01-01T13:02:00Z,11.60,Charge 6
2026-01-01T13:03:00Z,7.90,Charge 6
2026-01-01T13:05:00Z,5.80,Charge 6
2026-01-01T13:06:00Z,4.30,Charge 6
2026-01-01T13:14:00Z,9.40,Charge 6
2026-01-01T13:15:00Z,15.20,Charge 6
2026-01-01T13:17:00Z,5.80,Charge 6
2026-01-01T13:19:00Z,5.80,Charge 6
2026-01-01T13:20:00Z,5.00,Charge 6
2026-01-01T13:21:00Z,6.50,Charge 6
2026-01-01T13:23:00Z,3.60,Charge 6
2026-01-01T13:24:00Z,20.30,Charge 6
2026-01-01T13:25:00Z,13.80,Charge 6
2026-01-01T13:26:00Z,5.00,Charge 6
2026-01-01T13:27:00Z,8.70,Charge 6
2026-01-01T13:28:00Z,5.00,Charge 6
2026-01-01T13:29:00Z,17.40,Charge 6
2026-01-01T13:39:00Z,8.70,Charge 6
2026-01-01T13:40:00Z,10.80,Charge 6
2026-01-01T13:41:00Z,10.10,Charge 6
2026-01-01T13:42:00Z,84.20,Charge 6
2026-01-01T13:43:00Z,66.10,Charge 6
2026-01-01T13:44:00Z,16.70,Charge 6
2026-01-01T13:45:00Z,78.40,Charge 6
2026-01-01T13:46:00Z,77.70,Charge 6
2026-01-01T13:47:00Z,39.90,Charge 6
2026-01-01T13:49:00Z,20.30,Charge 6
2026-01-01T13:52:00Z,4.30,Charge 6
2026-01-01T13:58:00Z,11.60,Charge 6
2026-01-01T13:59:00Z,10.80,Charge 6
2026-01-01T14:03:00Z,34.80,Charge 6
2026-01-01T14:04:00Z,46.50,Charge 6
2026-01-01T14:05:00Z,66.80,Charge 6
2026-01-01T14:06:00Z,9.40,Charge 6
2026-01-01T14:07:00Z,30.50,Charge 6
2026-01-01T14:09:00Z,5.00,Charge 6
2026-01-01T14:10:00Z,5.80,Charge 6
2026-01-01T14:15:00Z,37.00,Charge 6
2026-01-01T14:16:00Z,60.30,Charge 6
2026-01-01T14:17:00Z,34.80,Charge 6
2026-01-01T14:18:00Z,10.80,Charge 6
2026-01-01T14:19:00Z,43.50,Charge 6
2026-01-01T14:21:00Z,5.00,Charge 6
2026-01-01T14:22:00Z,10.80,Charge 6
2026-01-01T14:23:00Z,29.00,Charge 6
2026-01-01T14:24:00Z,10.80,Charge 6
2026-01-01T14:25:00Z,21.00,Charge 6
2026-01-01T14:26:00Z,9.40,Charge 6
2026-01-01T14:28:00Z,8.70,Charge 6
2026-01-01T14:31:00Z,5.00,Charge 6
2026-01-01T14:33:00Z,6.50,Charge 6
2026-01-01T14:38:00Z,9.40,Charge 6
2026-01-01T15:10:00Z,4.30,Charge 6
2026-01-01T15:39:00Z,3.60,Charge 6
2026-01-01T15:51:00Z,7.90,Charge 6
