timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2025-09-01T00:00:00Z,96.0,94.0,97.0,96.1,0.5,Charge 6
2025-09-02T00:00:00Z,95.8,93.3,98.3,96.1,0.5,Charge 6
2025-09-03T00:00:00Z,96.3,94.1,97.5,96.1,0.5,Charge 6
2025-09-04T00:00:00Z,96.3,94.2,98.0,96.2,0.4,Charge 6
2025-09-05T00:00:00Z,98.5,98.2,99.1,96.3,0.6,Charge 6
2025-09-06T00:00:00Z,95.0,93.6,96.5,96.2,0.7,Charge 6
2025-09-07T00:00:00Z,96.0,94.5,97.4,96.2,0.7,Charge 6
2025-09-08T00:00:00Z,97.0,95.7,98.9,96.2,0.7,Charge 6
2025-09-09T00:00:00Z,96.2,94.4,97.2,96.2,0.7,Charge 6
2025-09-10T00:00:00Z,95.8,94.9,96.3,96.2,0.7,Charge 6
2025-09-11T00:00:00Z,96.2,95.1,97.4,96.2,0.6,Charge 6
2025-09-12T00:00:00Z,95.6,94.2,96.6,96.2,0.6,Charge 6
2025-09-13T00:00:00Z,95.7,95.0,96.5,96.2,0.7,Charge 6
2025-09-14T00:00:00Z,95.4,94.0,96.8,96.1,0.7,Charge 6
2025-09-15T00:00:00Z,95.6,94.8,96.2,96.1,0.7,Charge 6
2025-09-16T00:00:00Z,96.1,94.6,97.2,96.1,0.6,Charge 6
2025-09-17T00:00:00Z,95.3,94.2,96.6,96.0,0.6,Charge 6
2025-09-18T00:00:00Z,98.8,98.2,99.3,96.1,0.8,Charge 6
2025-09-19T00:00:00Z,94.7,92.4,96.3,96.1,0.9,Charge 6
2025-09-20T00:00:00Z,96.5,95.0,97.6,96.1,0.8,Charge 6
2025-09-21T00:00:00Z,95.9,93.7,98.3,96.1,0.8,Charge 6
2025-09-22T00:00:00Z,93.6,91.9,95.2,96.0,1.0,Charge 6
2025-09-23T00:00:00Z,95.6,94.1,96.4,96.0,1.0,Charge 6
2025-09-24T00:00:00Z,94.8,92.7,96.2,95.9,1.0,Charge 6
2025-09-26T00:00:00Z,95.2,94.1,96.4,95.9,1.0,Charge 6
2025-09-27T00:00:00Z,95.6,93.0,97.1,95.9,1.0,Charge 6
2025-09-28T00:00:00Z,95.6,94.1,96.5,95.9,1.0,Charge 6
2025-09-29T00:00:00Z,95.6,92.8,100.0,95.9,1.0,Charge 6
2025-09-30T00:00:00Z,96.7,93.1,99.2,95.9,1.0,Charge 6
