timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2025-12-15T00:00:00Z,94.8,93.4,96.2,95.5,0.8,Charge 6
2025-12-16T00:00:00Z,95.5,94.0,97.2,95.5,0.8,Charge 6
2025-12-17T00:00:00Z,94.7,92.3,96.1,95.5,0.8,Charge 6
2025-12-18T00:00:00Z,95.0,92.0,97.1,95.5,0.8,Charge 6
2025-12-19T00:00:00Z,94.8,92.9,96.4,95.5,0.8,Charge 6
2025-12-21T00:00:00Z,94.7,93.4,95.8,95.5,0.8,Charge 6
2025-12-23T00:00:00Z,95.0,94.1,96.1,95.5,0.8,Charge 6
2025-12-24T00:00:00Z,94.7,93.0,95.9,0.0,0.0,Charge 6
2025-12-25T00:00:00Z,94.6,92.6,96.2,95.4,0.8,Charge 6
2025-12-27T00:00:00Z,95.4,93.7,96.5,95.4,0.8,Charge 6
2025-12-28T00:00:00Z,95.5,93.3,96.6,95.4,0.8,Charge 6
2025-12-29T00:00:00Z,96.0,93.7,97.4,95.4,0.8,Charge 6
2025-12-30T00:00:00Z,95.1,93.4,96.4,95.4,0.8,Charge 6
2025-12-31T00:00:00Z,95.8,94.1,96.8,95.4,0.8,Charge 6
