start time,end time,data source
2025-10-03T00:11:00Z,2025-10-03T00:26:00Z,Fitbit App
2025-10-03T00:31:00Z,2025-10-03T00:56:00Z,Fitbit App
2025-10-03T01:35:00Z,2025-10-03T01:56:00Z,Fitbit App
2025-10-03T02:19:00Z,2025-10-03T02:36:00Z,Fitbit App
2025-10-03T03:47:00Z,2025-10-03T04:52:00Z,Fitbit App
2025-10-03T04:58:00Z,2025-10-03T05:27:00Z,Fitbit App
2025-10-03T05:28:00Z,2025-10-03T05:46:00Z,Fitbit App
2025-10-03T05:52:00Z,2025-10-03T06:05:00Z,Fitbit App
2025-10-03T14:02:00Z,2025-10-03T14:18:00Z,Fitbit App
2025-10-03T17:05:00Z,2025-10-03T17:54:00Z,Fitbit App
2025-10-03T18:07:00Z,2025-10-03T18:49:00Z,Fitbit App
2025-10-03T18:56:00Z,2025-10-03T19:33:00Z,Fitbit App
2025-10-03T19:56:00Z,2025-10-03T22:18:00Z,Fitbit App
2025-10-03T22:28:00Z,2025-10-03T22:54:00Z,Fitbit App
2025-10-03T23:06:00Z,2025-10-03T23:17:00Z,Fitbit App
2025-10-03T23:31:00Z,2025-10-03T23:52:00Z,Fitbit App
