timestamp,lap time,stroke count,stroke type,data source
2026-01-06T05:05:15Z,00:00:31.000,14,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T05:05:50Z,00:00:10.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T05:06:23Z,00:00:08.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T05:06:58Z,00:00:09.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T05:21:30Z,00:00:17.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T05:21:53Z,00:00:10.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T05:22:08Z,00:00:16.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T05:22:49Z,00:00:09.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T05:23:14Z,00:00:15.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T05:23:56Z,00:00:16.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T05:41:25Z,00:00:31.000,14,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T05:42:02Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T05:42:25Z,00:00:13.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T05:42:57Z,00:00:35.000,17,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T05:43:44Z,00:00:08.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T18:05:03Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T18:11:29Z,00:00:18.000,13,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T18:12:23Z,00:00:12.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T18:25:27Z,00:00:23.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T18:28:37Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T22:25:56Z,00:00:22.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T22:33:51Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T22:36:40Z,00:00:25.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T22:39:37Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T22:44:37Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T22:45:43Z,00:00:28.000,17,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T22:46:21Z,00:00:08.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-06T22:47:00Z,00:00:15.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-07T04:23:00Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-07T04:31:49Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-07T04:34:27Z,00:00:33.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-07T04:38:28Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-07T04:39:49Z,00:00:16.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-07T04:42:04Z,00:00:19.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-07T04:42:32Z,00:00:21.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-07T05:05:51Z,00:00:31.000,16,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-07T05:34:06Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-07T06:16:25Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-07T06:18:42Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-07T18:01:16Z,00:00:20.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-07T18:09:21Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-07T21:20:06Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-08T02:00:06Z,00:00:10.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-08T04:13:39Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-08T05:08:55Z,00:00:35.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-08T05:12:02Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-08T05:13:03Z,00:00:19.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-08T05:24:34Z,00:00:26.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-08T05:25:13Z,00:00:36.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-08T05:28:46Z,00:00:27.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-08T05:34:15Z,00:00:12.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-08T05:37:57Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-08T05:48:36Z,00:00:15.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-08T05:59:59Z,00:00:20.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-08T06:04:15Z,00:00:14.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-08T06:06:42Z,00:00:12.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-08T06:11:24Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-08T06:15:11Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-08T06:18:41Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-08T06:22:54Z,00:00:16.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-08T06:24:11Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-08T06:43:40Z,00:00:18.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-09T01:23:27Z,00:00:26.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-09T01:29:21Z,00:00:17.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-09T01:32:25Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-09T01:34:05Z,00:00:20.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-09T01:39:25Z,00:00:18.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-09T02:03:56Z,00:00:23.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-09T04:04:35Z,00:00:08.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-09T06:25:56Z,00:00:11.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
