timestamp,heart rate zone type,kcal,data source
2025-08-13T06:30:00Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.12694,Fitbit App
2025-08-13T06:31:00Z,MODERATE,1.2396340000000001,Fitbit App
2025-08-13T06:32:00Z,LIGHT,1.2396340000000001,Fitbit App
2025-08-13T06:33:00Z,LIGHT,1.2396340000000001,Fitbit App
2025-08-13T06:34:00Z,LIGHT,1.2396340000000001,Fitbit App
2025-08-13T06:35:00Z,HEART_RATE_ZONE_TYPE_UNSPECIFIED,1.2396340000000001,Fitbit App
2025-08-13T06:36:00Z,LIGHT,1.465022,Fitbit App
2025-08-13T06:37:00Z,LIGHT,1.465022,Fitbit App
2025-08-13T06:38:00Z,LIGHT,1.465022,Fitbit App
2025-08-13T06:39:00Z,LIGHT,1.465022,Fitbit App
2025-08-13T06:40:00Z,LIGHT,1.465022,Fitbit App
2025-08-13T06:41:00Z,LIGHT,1.465022,Fitbit App
2025-08-13T06:42:00Z,LIGHT,1.352328,Fitbit App
2025-08-13T06:43:00Z,LIGHT,1.465022,Fitbit App
2025-08-13T06:44:00Z,LIGHT,1.352328,Fitbit App
2025-08-13T06:45:00Z,LIGHT,1.465022,Fitbit App
2025-08-13T06:46:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T06:47:00Z,LIGHT,1.465022,Fitbit App
2025-08-13T06:48:00Z,LIGHT,1.2396340000000001,Fitbit App
2025-08-13T06:49:00Z,LIGHT,1.352328,Fitbit App
2025-08-13T06:50:00Z,LIGHT,2.930044,Fitbit App
2025-08-13T06:51:00Z,LIGHT,1.2396340000000001,Fitbit App
2025-08-13T06:52:00Z,LIGHT,1.2396340000000001,Fitbit App
2025-08-13T06:53:00Z,LIGHT,2.930044,Fitbit App
2025-08-13T06:54:00Z,LIGHT,1.352328,Fitbit App
2025-08-13T06:55:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T06:56:00Z,LIGHT,1.352328,Fitbit App
2025-08-13T06:57:00Z,LIGHT,1.352328,Fitbit App
2025-08-13T06:58:00Z,LIGHT,1.465022,Fitbit App
2025-08-13T06:59:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T07:00:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T07:01:00Z,LIGHT,1.2396340000000001,Fitbit App
2025-08-13T07:02:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T07:03:00Z,LIGHT,1.2396340000000001,Fitbit App
2025-08-13T07:04:00Z,LIGHT,1.2396340000000001,Fitbit App
2025-08-13T07:05:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T07:06:00Z,LIGHT,1.2396340000000001,Fitbit App
2025-08-13T07:07:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T07:08:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T07:09:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T07:10:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T07:11:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T07:12:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T07:13:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T07:14:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T07:15:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T07:16:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T07:17:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T07:18:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T07:19:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T07:20:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T07:21:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T07:22:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T07:23:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T07:24:00Z,LIGHT,1.12694,Fitbit App
2025-08-13T07:25:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:26:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:27:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:28:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:29:00Z,LIGHT,1.12695,Fitbit App
