start time,end time,data source
2026-01-30T02:04:00Z,2026-01-30T03:01:00Z,Fitbit App
2026-01-30T03:13:00Z,2026-01-30T03:27:00Z,Fitbit App
2026-01-30T03:53:00Z,2026-01-30T04:12:00Z,Fitbit App
2026-01-30T04:13:00Z,2026-01-30T04:45:00Z,Fitbit App
2026-01-30T04:56:00Z,2026-01-30T05:20:00Z,Fitbit App
2026-01-30T05:25:00Z,2026-01-30T06:00:00Z,Fitbit App
2026-01-30T06:22:00Z,2026-01-30T06:41:00Z,Fitbit App
2026-01-30T06:42:00Z,2026-01-30T08:00:00Z,Fitbit App
2026-01-30T08:00:00Z,2026-01-30T10:24:00Z,Fitbit App
