start time,end time,data source
2025-09-23T07:00:00Z,2025-09-23T07:35:00Z,Fitbit App
2025-09-23T14:31:00Z,2025-09-23T15:08:00Z,Fitbit App
2025-09-23T15:26:00Z,2025-09-23T15:37:00Z,Fitbit App
2025-09-23T17:06:00Z,2025-09-23T17:25:00Z,Fitbit App
2025-09-23T18:57:00Z,2025-09-23T19:08:00Z,Fitbit App
2025-09-23T19:35:00Z,2025-09-23T20:01:00Z,Fitbit App
2025-09-23T20:02:00Z,2025-09-23T20:14:00Z,Fitbit App
2025-09-23T20:35:00Z,2025-09-23T21:24:00Z,Fitbit App
2025-09-23T21:25:00Z,2025-09-23T21:53:00Z,Fitbit App
2025-09-23T21:55:00Z,2025-09-23T22:06:00Z,Fitbit App
2025-09-23T22:31:00Z,2025-09-23T23:27:00Z,Fitbit App
2025-09-23T23:54:00Z,2025-09-24T00:10:00Z,Fitbit App
