timestamp,demographic vo2max,data source
2025-08-13T00:00:00Z,57.86631,Fitbit App
2025-08-14T00:00:00Z,57.69834,Fitbit App
2025-08-15T00:00:00Z,57.79297,Fitbit App
2025-08-16T00:00:00Z,57.62632,Fitbit App
2025-08-17T00:00:00Z,57.621,Fitbit App
2025-08-18T00:00:00Z,57.75851,Fitbit App
2025-08-19T00:00:00Z,58.01964,Fitbit App
2025-08-20T00:00:00Z,58.24264,Fitbit App
2025-08-21T00:00:00Z,58.45436,Fitbit App
2025-08-22T00:00:00Z,58.53663,Fitbit App
2025-08-23T00:00:00Z,58.60285,Fitbit App
2025-08-24T00:00:00Z,58.83797,Fitbit App
2025-08-25T00:00:00Z,58.95394,Fitbit App
2025-08-26T00:00:00Z,58.97702,Fitbit App
2025-08-27T00:00:00Z,58.87734,Fitbit App
2025-08-28T00:00:00Z,58.591,Fitbit App
2025-08-29T00:00:00Z,58.35991,Fitbit App
2025-08-30T00:00:00Z,58.18696,Fitbit App
2025-08-31T00:00:00Z,57.95263,Fitbit App
2025-09-01T00:00:00Z,57.7531,Fitbit App
2025-09-02T00:00:00Z,57.59377,Fitbit App
2025-09-03T00:00:00Z,57.55348,Fitbit App
2025-09-04T00:00:00Z,57.62222,Fitbit App
2025-09-05T00:00:00Z,57.69329,Fitbit App
2025-09-06T00:00:00Z,57.75562,Fitbit App
2025-09-07T00:00:00Z,57.78231,Fitbit App
2025-09-08T00:00:00Z,57.7174,Fitbit App
2025-09-09T00:00:00Z,57.71012,Fitbit App
2025-09-10T00:00:00Z,57.63442,Fitbit App
2025-09-11T00:00:00Z,57.50916,Fitbit App
2025-09-12T00:00:00Z,57.40072,Fitbit App
2025-09-13T00:00:00Z,57.28225,Fitbit App
2025-09-14T00:00:00Z,57.21364,Fitbit App
2025-09-15T00:00:00Z,57.17497,Fitbit App
2025-09-16T00:00:00Z,57.2031,Fitbit App
2025-09-17T00:00:00Z,57.21192,Fitbit App
2025-09-18T00:00:00Z,57.15889,Fitbit App
2025-09-19T00:00:00Z,57.1031,Fitbit App
2025-09-20T00:00:00Z,57.00318,Fitbit App
2025-09-21T00:00:00Z,56.90412,Fitbit App
2025-09-22T00:00:00Z,56.73014,Fitbit App
2025-09-23T00:00:00Z,56.66253,Fitbit App
2025-09-24T00:00:00Z,56.50453,Fitbit App
2025-09-25T00:00:00Z,56.46412,Fitbit App
2025-09-26T00:00:00Z,56.32717,Fitbit App
2025-09-27T00:00:00Z,56.10631,Fitbit App
2025-09-28T00:00:00Z,56.00151,Fitbit App
2025-09-29T00:00:00Z,56.04837,Fitbit App
2025-09-30T00:00:00Z,56.17971,Fitbit App
2025-10-01T00:00:00Z,56.3752,Fitbit App
2025-10-02T00:00:00Z,56.50445,Fitbit App
2025-10-03T00:00:00Z,56.58955,Fitbit App
2025-10-04T00:00:00Z,56.62393,Fitbit App
2025-10-05T00:00:00Z,56.61557,Fitbit App
2025-10-06T00:00:00Z,56.62229,Fitbit App
2025-10-07T00:00:00Z,56.72159,Fitbit App
2025-10-08T00:00:00Z,56.79099,Fitbit App
2025-10-09T00:00:00Z,56.74607,Fitbit App
2025-10-10T00:00:00Z,56.74527,Fitbit App
2025-10-11T00:00:00Z,56.68555,Fitbit App
2025-10-12T00:00:00Z,56.70231,Fitbit App
2025-10-13T00:00:00Z,56.60203,Fitbit App
2025-10-14T00:00:00Z,56.58231,Fitbit App
2025-10-15T00:00:00Z,56.66283,Fitbit App
2025-10-16T00:00:00Z,56.80659,Fitbit App
2025-10-17T00:00:00Z,56.89513,Fitbit App
2025-10-18T00:00:00Z,57.02806,Fitbit App
2025-10-19T00:00:00Z,57.07298,Fitbit App
2025-10-20T00:00:00Z,57.12576,Fitbit App
2025-10-21T00:00:00Z,57.1274,Fitbit App
2025-10-22T00:00:00Z,57.05812,Fitbit App
2025-10-23T00:00:00Z,56.91939,Fitbit App
2025-10-24T00:00:00Z,56.8574,Fitbit App
2025-10-25T00:00:00Z,56.73706,Fitbit App
2025-10-26T00:00:00Z,56.71269,Fitbit App
2025-10-27T00:00:00Z,56.81974,Fitbit App
2025-10-28T00:00:00Z,56.96463,Fitbit App
2025-10-29T00:00:00Z,56.98057,Fitbit App
2025-10-30T00:00:00Z,57.0884,Fitbit App
2025-10-31T00:00:00Z,57.18325,Fitbit App
2025-11-01T00:00:00Z,57.25049,Fitbit App
2025-11-02T00:00:00Z,57.29531,Fitbit App
2025-11-03T00:00:00Z,57.27797,Fitbit App
2025-11-04T00:00:00Z,57.18438,Fitbit App
2025-11-05T00:00:00Z,57.12772,Fitbit App
2025-11-06T00:00:00Z,57.06815,Fitbit App
2025-11-07T00:00:00Z,56.99191,Fitbit App
2025-11-08T00:00:00Z,56.92598,Fitbit App
2025-11-09T00:00:00Z,56.99014,Fitbit App
2025-11-10T00:00:00Z,57.10048,Fitbit App
2025-11-11T00:00:00Z,57.3099,Fitbit App
2025-11-12T00:00:00Z,57.44506,Fitbit App
