start time,end time,data source
2025-09-02T00:25:00Z,2025-09-02T02:02:00Z,Fitbit App
2025-09-02T02:09:00Z,2025-09-02T02:41:00Z,Fitbit App
2025-09-02T03:28:00Z,2025-09-02T04:01:00Z,Fitbit App
2025-09-02T04:09:00Z,2025-09-02T07:00:00Z,Fitbit App
2025-09-02T07:00:00Z,2025-09-02T07:49:00Z,Fitbit App
2025-09-02T13:06:00Z,2025-09-02T13:33:00Z,Fitbit App
2025-09-02T15:11:00Z,2025-09-02T15:54:00Z,Fitbit App
2025-09-02T16:01:00Z,2025-09-02T16:28:00Z,Fitbit App
2025-09-02T16:39:00Z,2025-09-02T17:08:00Z,Fitbit App
2025-09-02T17:12:00Z,2025-09-02T17:39:00Z,Fitbit App
2025-09-02T17:52:00Z,2025-09-02T18:34:00Z,Fitbit App
2025-09-02T18:37:00Z,2025-09-02T19:15:00Z,Fitbit App
2025-09-02T19:31:00Z,2025-09-02T20:37:00Z,Fitbit App
2025-09-02T21:01:00Z,2025-09-02T23:24:00Z,Fitbit App
2025-09-02T23:57:00Z,2025-09-03T00:34:00Z,Fitbit App
