start time,end time,data source
2026-01-29T00:01:00Z,2026-01-29T03:34:00Z,Fitbit App
2026-01-29T05:57:00Z,2026-01-29T06:12:00Z,Fitbit App
2026-01-29T06:20:00Z,2026-01-29T06:42:00Z,Fitbit App
2026-01-29T07:31:00Z,2026-01-29T07:52:00Z,Fitbit App
2026-01-29T08:00:00Z,2026-01-29T08:39:00Z,Fitbit App
2026-01-29T08:49:00Z,2026-01-29T09:15:00Z,Fitbit App
2026-01-29T20:32:00Z,2026-01-29T21:39:00Z,Fitbit App
2026-01-29T22:14:00Z,2026-01-29T22:28:00Z,Fitbit App
2026-01-29T23:02:00Z,2026-01-29T23:45:00Z,Fitbit App
