start time,end time,data source
2025-11-22T02:27:00Z,2025-11-22T02:48:00Z,Fitbit App
2025-11-22T02:52:00Z,2025-11-22T04:36:00Z,Fitbit App
2025-11-22T04:38:00Z,2025-11-22T05:57:00Z,Fitbit App
2025-11-22T06:01:00Z,2025-11-22T06:41:00Z,Fitbit App
2025-11-22T07:43:00Z,2025-11-22T07:57:00Z,Fitbit App
2025-11-22T08:30:00Z,2025-11-22T09:17:00Z,Fitbit App
2025-11-22T10:35:00Z,2025-11-22T10:46:00Z,Fitbit App
2025-11-22T13:33:00Z,2025-11-22T14:00:00Z,Fitbit App
2025-11-22T18:33:00Z,2025-11-22T18:43:00Z,Fitbit App
2025-11-22T18:48:00Z,2025-11-22T18:58:00Z,Fitbit App
2025-11-22T19:03:00Z,2025-11-22T20:14:00Z,Fitbit App
2025-11-22T20:38:00Z,2025-11-22T21:40:00Z,Fitbit App
2025-11-22T21:46:00Z,2025-11-22T22:06:00Z,Fitbit App
2025-11-22T22:37:00Z,2025-11-22T23:00:00Z,Fitbit App
