timestamp,steps,distance millimeters,altitude gain millimeters,data source
2025-11-09T16:19:07Z,2,0,0,Charge 6
2025-11-09T16:19:08Z,2,280,0,Charge 6
2025-11-09T16:19:09Z,1,360,0,Charge 6
2025-11-09T16:19:10Z,2,530,0,Charge 6
2025-11-09T16:19:11Z,2,760,0,Charge 6
2025-11-09T16:19:12Z,3,1100,0,Charge 6
2025-11-09T16:19:13Z,1,1200,0,Charge 6
2025-11-09T16:19:14Z,2,1310,0,Charge 6
2025-11-09T16:19:15Z,2,1380,0,Charge 6
2025-11-09T16:19:16Z,2,1400,0,Charge 6
2025-11-09T16:19:17Z,1,1280,0,Charge 6
2025-11-09T16:19:18Z,2,1280,0,Charge 6
2025-11-09T16:19:19Z,2,1290,0,Charge 6
2025-11-09T16:19:20Z,2,1290,0,Charge 6
2025-11-09T16:19:21Z,2,1290,0,Charge 6
2025-11-09T16:19:22Z,1,1280,0,Charge 6
2025-11-09T16:19:23Z,2,1290,0,Charge 6
2025-11-09T16:19:24Z,1,1220,0,Charge 6
2025-11-09T16:19:25Z,2,1180,0,Charge 6
2025-11-09T16:19:26Z,2,1170,0,Charge 6
2025-11-09T16:19:27Z,1,1150,0,Charge 6
2025-11-09T16:19:28Z,2,1150,0,Charge 6
2025-11-09T16:19:29Z,1,1150,0,Charge 6
2025-11-09T16:19:30Z,2,1150,0,Charge 6
2025-11-09T16:19:31Z,1,1140,0,Charge 6
2025-11-09T16:19:32Z,1,1130,0,Charge 6
2025-11-09T16:19:33Z,1,1120,0,Charge 6
2025-11-09T16:19:34Z,3,1120,0,Charge 6
2025-11-09T16:19:35Z,2,1120,0,Charge 6
2025-11-09T16:19:36Z,1,1130,0,Charge 6
2025-11-09T16:19:37Z,3,1140,0,Charge 6
2025-11-09T16:19:38Z,2,1160,0,Charge 6
2025-11-09T16:19:39Z,2,1170,0,Charge 6
2025-11-09T16:19:40Z,1,1180,0,Charge 6
2025-11-09T16:19:41Z,2,1200,0,Charge 6
2025-11-09T16:19:42Z,1,1180,0,Charge 6
2025-11-09T16:19:43Z,2,1190,0,Charge 6
2025-11-09T16:19:44Z,2,1190,0,Charge 6
2025-11-09T16:19:45Z,1,1190,0,Charge 6
2025-11-09T16:19:46Z,2,1180,0,Charge 6
2025-11-09T16:19:47Z,1,1180,0,Charge 6
2025-11-09T16:19:48Z,0,1160,0,Charge 6
2025-11-09T16:19:49Z,2,1130,0,Charge 6
2025-11-09T16:19:50Z,2,1130,0,Charge 6
2025-11-09T16:19:51Z,2,1120,0,Charge 6
2025-11-09T16:19:52Z,3,1140,0,Charge 6
2025-11-09T16:19:53Z,2,1150,0,Charge 6
2025-11-09T16:19:54Z,2,2110,0,Charge 6
2025-11-09T16:19:55Z,2,2140,0,Charge 6
2025-11-09T16:19:56Z,1,2180,0,Charge 6
2025-11-09T16:19:57Z,1,1220,0,Charge 6
2025-11-09T16:19:58Z,2,1210,0,Charge 6
2025-11-09T16:19:59Z,1,1200,0,Charge 6
2025-11-09T16:20:00Z,2,1200,0,Charge 6
2025-11-09T16:20:01Z,2,1190,0,Charge 6
2025-11-09T16:20:02Z,2,1190,0,Charge 6
2025-11-09T16:20:03Z,3,1210,0,Charge 6
2025-11-09T16:20:04Z,2,1230,0,Charge 6
2025-11-09T16:20:05Z,1,1250,0,Charge 6
2025-11-09T16:20:06Z,2,1270,0,Charge 6
2025-11-09T16:20:07Z,2,1270,0,Charge 6
2025-11-09T16:20:08Z,1,1260,0,Charge 6
2025-11-09T16:20:09Z,2,1250,0,Charge 6
2025-11-09T16:20:10Z,1,1250,0,Charge 6
2025-11-09T16:20:11Z,2,1250,0,Charge 6
2025-11-09T16:20:12Z,1,1230,0,Charge 6
2025-11-09T16:20:13Z,1,1220,0,Charge 6
2025-11-09T16:20:14Z,2,1210,0,Charge 6
2025-11-09T16:20:15Z,2,1210,0,Charge 6
2025-11-09T16:20:16Z,3,1210,0,Charge 6
2025-11-09T16:20:17Z,3,1230,0,Charge 6
2025-11-09T16:20:18Z,3,2230,0,Charge 6
2025-11-09T16:20:19Z,1,1290,0,Charge 6
2025-11-09T16:20:20Z,2,1320,0,Charge 6
2025-11-09T16:20:21Z,1,1340,0,Charge 6
2025-11-09T16:20:22Z,3,1350,0,Charge 6
2025-11-09T16:20:23Z,2,1340,0,Charge 6
2025-11-09T16:20:24Z,2,1350,0,Charge 6
2025-11-09T16:20:25Z,1,1340,0,Charge 6
2025-11-09T16:20:26Z,2,1350,0,Charge 6
2025-11-09T16:20:27Z,2,1340,0,Charge 6
2025-11-09T16:20:28Z,1,1330,0,Charge 6
2025-11-09T16:20:29Z,3,1330,0,Charge 6
2025-11-09T16:20:30Z,4,1350,0,Charge 6
2025-11-09T16:20:31Z,3,2480,0,Charge 6
2025-11-09T16:20:32Z,3,2540,0,Charge 6
2025-11-09T16:20:33Z,3,2690,0,Charge 6
2025-11-09T16:20:34Z,2,2800,0,Charge 6
2025-11-09T16:20:35Z,3,2880,0,Charge 6
2025-11-09T16:20:36Z,2,2920,0,Charge 6
2025-11-09T16:20:37Z,2,2930,0,Charge 6
2025-11-09T16:20:38Z,2,2930,0,Charge 6
2025-11-09T16:20:39Z,2,2920,0,Charge 6
2025-11-09T16:20:40Z,1,1630,0,Charge 6
2025-11-09T16:20:41Z,2,1610,0,Charge 6
2025-11-09T16:20:42Z,3,1600,0,Charge 6
2025-11-09T16:20:43Z,3,1600,0,Charge 6
2025-11-09T16:20:44Z,3,1600,0,Charge 6
2025-11-09T16:20:45Z,2,1600,0,Charge 6
2025-11-09T16:20:46Z,3,2860,0,Charge 6
2025-11-09T16:20:47Z,2,2880,0,Charge 6
2025-11-09T16:20:48Z,3,2910,0,Charge 6
2025-11-09T16:20:49Z,1,2900,0,Charge 6
2025-11-09T16:20:50Z,2,2900,0,Charge 6
