start time,end time,data source
2026-01-25T02:34:00Z,2026-01-25T02:50:00Z,Fitbit App
2026-01-25T03:01:00Z,2026-01-25T04:04:00Z,Fitbit App
2026-01-25T04:05:00Z,2026-01-25T04:26:00Z,Fitbit App
2026-01-25T04:35:00Z,2026-01-25T05:11:00Z,Fitbit App
2026-01-25T05:20:00Z,2026-01-25T05:38:00Z,Fitbit App
2026-01-25T05:56:00Z,2026-01-25T06:14:00Z,Fitbit App
2026-01-25T06:19:00Z,2026-01-25T07:17:00Z,Fitbit App
2026-01-25T07:18:00Z,2026-01-25T07:56:00Z,Fitbit App
2026-01-25T08:02:00Z,2026-01-25T09:42:00Z,Fitbit App
2026-01-25T09:51:00Z,2026-01-25T13:54:00Z,Fitbit App
2026-01-25T13:55:00Z,2026-01-25T14:25:00Z,Fitbit App
2026-01-25T19:17:00Z,2026-01-25T19:35:00Z,Fitbit App
2026-01-25T19:57:00Z,2026-01-25T20:17:00Z,Fitbit App
2026-01-25T21:09:00Z,2026-01-25T21:37:00Z,Fitbit App
2026-01-25T21:39:00Z,2026-01-25T21:53:00Z,Fitbit App
2026-01-25T21:58:00Z,2026-01-25T22:25:00Z,Fitbit App
2026-01-25T23:07:00Z,2026-01-25T23:40:00Z,Fitbit App
2026-01-25T23:45:00Z,2026-01-26T00:11:00Z,Fitbit App
