timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2026-01-01T00:00:00Z,96.2,95.8,96.8,95.4,0.8,Charge 6
2026-01-02T00:00:00Z,94.6,91.7,96.0,95.5,0.8,Charge 6
2026-01-03T00:00:00Z,94.9,93.1,96.4,95.4,0.8,Charge 6
2026-01-04T00:00:00Z,95.2,94.0,96.4,95.4,0.8,Charge 6
2026-01-05T00:00:00Z,94.9,92.6,96.3,95.4,0.8,Charge 6
2026-01-06T00:00:00Z,95.2,93.2,96.7,95.4,0.8,Charge 6
2026-01-07T00:00:00Z,95.1,93.1,97.0,95.3,0.5,Charge 6
2026-01-08T00:00:00Z,94.4,91.8,96.4,95.2,0.5,Charge 6
2026-01-09T00:00:00Z,96.0,92.4,97.4,95.3,0.5,Charge 6
2026-01-10T00:00:00Z,95.1,91.7,98.1,95.3,0.5,Charge 6
2026-01-11T00:00:00Z,95.4,94.3,96.7,95.3,0.5,Charge 6
2026-01-12T00:00:00Z,95.4,93.8,96.4,0.0,0.0,Charge 6
2026-01-13T00:00:00Z,95.9,94.9,97.3,95.3,0.5,Charge 6
2026-01-14T00:00:00Z,95.7,93.9,97.5,95.2,0.5,Charge 6
2026-01-15T00:00:00Z,95.4,93.5,96.5,95.2,0.5,Charge 6
2026-01-16T00:00:00Z,96.1,94.5,98.7,95.2,0.5,Charge 6
2026-01-17T00:00:00Z,98.6,98.2,99.0,95.4,0.8,Charge 6
2026-01-18T00:00:00Z,96.1,93.6,97.3,95.4,0.8,Charge 6
2026-01-19T00:00:00Z,95.5,94.6,96.1,95.4,0.8,Charge 6
2026-01-20T00:00:00Z,95.3,93.7,96.6,95.4,0.8,Charge 6
2026-01-21T00:00:00Z,96.5,95.3,97.9,95.5,0.8,Charge 6
2026-01-22T00:00:00Z,96.1,95.3,96.8,95.5,0.8,Charge 6
2026-01-23T00:00:00Z,96.2,95.1,96.9,95.6,0.8,Charge 6
2026-01-24T00:00:00Z,95.9,94.4,97.1,95.6,0.8,Charge 6
2026-01-25T00:00:00Z,96.4,96.0,97.1,95.7,0.8,Charge 6
2026-01-26T00:00:00Z,94.8,92.8,96.8,95.6,0.8,Charge 6
2026-01-27T00:00:00Z,96.2,95.3,97.0,95.7,0.8,Charge 6
2026-01-28T00:00:00Z,95.5,93.5,96.7,95.6,0.8,Charge 6
2026-01-29T00:00:00Z,99.0,98.5,100.0,95.8,1.0,Charge 6
2026-01-30T00:00:00Z,96.0,94.5,97.3,95.8,1.0,Charge 6
2026-01-31T00:00:00Z,96.3,95.0,98.8,95.8,1.0,Charge 6
