start time,end time,data source
2025-09-22T01:06:00Z,2025-09-22T01:29:00Z,Fitbit App
2025-09-22T02:07:00Z,2025-09-22T02:18:00Z,Fitbit App
2025-09-22T02:26:00Z,2025-09-22T04:09:00Z,Fitbit App
2025-09-22T04:10:00Z,2025-09-22T04:49:00Z,Fitbit App
2025-09-22T04:57:00Z,2025-09-22T05:11:00Z,Fitbit App
2025-09-22T05:25:00Z,2025-09-22T05:43:00Z,Fitbit App
2025-09-22T07:00:00Z,2025-09-22T07:50:00Z,Fitbit App
2025-09-22T08:14:00Z,2025-09-22T08:26:00Z,Fitbit App
2025-09-22T11:39:00Z,2025-09-22T13:03:00Z,Fitbit App
2025-09-22T16:23:00Z,2025-09-22T16:40:00Z,Fitbit App
2025-09-22T16:58:00Z,2025-09-22T17:44:00Z,Fitbit App
2025-09-22T17:56:00Z,2025-09-22T18:16:00Z,Fitbit App
2025-09-22T19:04:00Z,2025-09-22T19:21:00Z,Fitbit App
2025-09-22T20:05:00Z,2025-09-22T20:50:00Z,Fitbit App
2025-09-22T21:05:00Z,2025-09-22T21:24:00Z,Fitbit App
2025-09-22T21:39:00Z,2025-09-22T21:49:00Z,Fitbit App
2025-09-22T22:23:00Z,2025-09-22T23:44:00Z,Fitbit App
