start time,end time,data source
2025-08-24T01:29:00Z,2025-08-24T02:41:00Z,Fitbit App
2025-08-24T02:59:00Z,2025-08-24T03:27:00Z,Fitbit App
2025-08-24T03:37:00Z,2025-08-24T03:47:00Z,Fitbit App
2025-08-24T04:21:00Z,2025-08-24T06:20:00Z,Fitbit App
2025-08-24T06:25:00Z,2025-08-24T06:52:00Z,Fitbit App
2025-08-24T07:00:00Z,2025-08-24T09:05:00Z,Fitbit App
2025-08-24T15:43:00Z,2025-08-24T16:02:00Z,Fitbit App
2025-08-24T16:24:00Z,2025-08-24T16:34:00Z,Fitbit App
2025-08-24T16:36:00Z,2025-08-24T17:08:00Z,Fitbit App
2025-08-24T17:10:00Z,2025-08-24T18:15:00Z,Fitbit App
2025-08-24T18:49:00Z,2025-08-24T18:59:00Z,Fitbit App
2025-08-24T19:03:00Z,2025-08-24T19:14:00Z,Fitbit App
2025-08-24T19:26:00Z,2025-08-24T19:44:00Z,Fitbit App
2025-08-24T20:06:00Z,2025-08-24T20:19:00Z,Fitbit App
2025-08-24T21:10:00Z,2025-08-24T21:38:00Z,Fitbit App
2025-08-24T22:29:00Z,2025-08-24T22:48:00Z,Fitbit App
2025-08-24T22:49:00Z,2025-08-24T22:59:00Z,Fitbit App
2025-08-24T23:04:00Z,2025-08-25T00:15:00Z,Fitbit App
