start time,end time,data source
2025-11-18T00:02:00Z,2025-11-18T00:53:00Z,Fitbit App
2025-11-18T01:03:00Z,2025-11-18T01:45:00Z,Fitbit App
2025-11-18T02:31:00Z,2025-11-18T02:50:00Z,Fitbit App
2025-11-18T02:57:00Z,2025-11-18T03:10:00Z,Fitbit App
2025-11-18T03:12:00Z,2025-11-18T03:36:00Z,Fitbit App
2025-11-18T05:37:00Z,2025-11-18T06:28:00Z,Fitbit App
2025-11-18T06:29:00Z,2025-11-18T07:36:00Z,Fitbit App
2025-11-18T16:06:00Z,2025-11-18T17:17:00Z,Fitbit App
2025-11-18T17:27:00Z,2025-11-18T18:06:00Z,Fitbit App
2025-11-18T18:10:00Z,2025-11-18T18:33:00Z,Fitbit App
2025-11-18T18:48:00Z,2025-11-18T20:24:00Z,Fitbit App
2025-11-18T20:32:00Z,2025-11-18T21:44:00Z,Fitbit App
2025-11-18T21:55:00Z,2025-11-18T23:12:00Z,Fitbit App
2025-11-18T23:21:00Z,2025-11-18T23:31:00Z,Fitbit App
