start time,end time,data source
2025-10-14T00:01:00Z,2025-10-14T00:51:00Z,Fitbit App
2025-10-14T01:07:00Z,2025-10-14T01:25:00Z,Fitbit App
2025-10-14T01:31:00Z,2025-10-14T01:53:00Z,Fitbit App
2025-10-14T02:10:00Z,2025-10-14T03:49:00Z,Fitbit App
2025-10-14T03:54:00Z,2025-10-14T05:34:00Z,Fitbit App
2025-10-14T05:57:00Z,2025-10-14T07:00:00Z,Fitbit App
2025-10-14T07:00:00Z,2025-10-14T08:04:00Z,Fitbit App
2025-10-14T15:01:00Z,2025-10-14T15:47:00Z,Fitbit App
2025-10-14T15:58:00Z,2025-10-14T16:23:00Z,Fitbit App
2025-10-14T16:30:00Z,2025-10-14T17:37:00Z,Fitbit App
2025-10-14T17:56:00Z,2025-10-14T19:17:00Z,Fitbit App
2025-10-14T19:29:00Z,2025-10-14T20:47:00Z,Fitbit App
2025-10-14T20:59:00Z,2025-10-14T21:12:00Z,Fitbit App
2025-10-14T21:25:00Z,2025-10-14T21:58:00Z,Fitbit App
2025-10-14T22:38:00Z,2025-10-15T01:10:00Z,Fitbit App
