start time,end time,data source
2025-10-13T00:06:00Z,2025-10-13T00:19:00Z,Fitbit App
2025-10-13T01:20:00Z,2025-10-13T01:59:00Z,Fitbit App
2025-10-13T02:03:00Z,2025-10-13T02:25:00Z,Fitbit App
2025-10-13T02:29:00Z,2025-10-13T03:05:00Z,Fitbit App
2025-10-13T03:09:00Z,2025-10-13T03:29:00Z,Fitbit App
2025-10-13T03:34:00Z,2025-10-13T03:56:00Z,Fitbit App
2025-10-13T03:59:00Z,2025-10-13T04:30:00Z,Fitbit App
2025-10-13T05:31:00Z,2025-10-13T05:55:00Z,Fitbit App
2025-10-13T05:56:00Z,2025-10-13T06:14:00Z,Fitbit App
2025-10-13T06:23:00Z,2025-10-13T07:00:00Z,Fitbit App
2025-10-13T07:01:00Z,2025-10-13T08:18:00Z,Fitbit App
2025-10-13T08:21:00Z,2025-10-13T08:34:00Z,Fitbit App
2025-10-13T14:36:00Z,2025-10-13T15:00:00Z,Fitbit App
2025-10-13T15:15:00Z,2025-10-13T16:07:00Z,Fitbit App
2025-10-13T16:32:00Z,2025-10-13T17:45:00Z,Fitbit App
2025-10-13T18:17:00Z,2025-10-13T18:38:00Z,Fitbit App
2025-10-13T18:47:00Z,2025-10-13T18:58:00Z,Fitbit App
2025-10-13T19:01:00Z,2025-10-13T19:18:00Z,Fitbit App
2025-10-13T19:19:00Z,2025-10-13T19:44:00Z,Fitbit App
2025-10-13T20:02:00Z,2025-10-13T22:03:00Z,Fitbit App
2025-10-13T22:09:00Z,2025-10-13T22:52:00Z,Fitbit App
2025-10-13T23:01:00Z,2025-10-13T23:52:00Z,Fitbit App
