timestamp,steps,distance millimeters,altitude gain millimeters,data source
2025-08-15T02:24:12Z,0,0,0,Charge 6
2025-08-15T02:24:13Z,2,0,0,Charge 6
2025-08-15T02:24:14Z,3,200,0,Charge 6
2025-08-15T02:24:15Z,2,350,0,Charge 6
2025-08-15T02:24:16Z,3,530,0,Charge 6
2025-08-15T02:24:17Z,3,530,0,Charge 6
2025-08-15T02:24:18Z,2,730,0,Charge 6
2025-08-15T02:24:19Z,1,860,0,Charge 6
2025-08-15T02:24:20Z,2,930,0,Charge 6
2025-08-15T02:24:21Z,2,990,0,Charge 6
2025-08-15T02:24:22Z,1,980,0,Charge 6
2025-08-15T02:24:23Z,2,980,0,Charge 6
2025-08-15T02:24:24Z,2,1000,0,Charge 6
2025-08-15T02:24:25Z,3,1290,0,Charge 6
2025-08-15T02:24:26Z,2,1320,0,Charge 6
2025-08-15T02:24:27Z,2,1390,0,Charge 6
2025-08-15T02:24:28Z,2,1450,0,Charge 6
2025-08-15T02:24:29Z,1,1450,0,Charge 6
2025-08-15T02:24:30Z,1,1430,0,Charge 6
2025-08-15T02:24:31Z,2,1430,0,Charge 6
2025-08-15T02:24:32Z,2,1420,0,Charge 6
2025-08-15T02:24:33Z,2,1420,0,Charge 6
2025-08-15T02:24:34Z,3,1420,0,Charge 6
2025-08-15T02:24:35Z,1,1430,0,Charge 6
2025-08-15T02:24:36Z,3,1470,0,Charge 6
2025-08-15T02:24:37Z,3,1540,0,Charge 6
2025-08-15T02:24:38Z,2,1580,0,Charge 6
2025-08-15T02:24:39Z,2,1570,0,Charge 6
2025-08-15T02:24:40Z,1,1580,0,Charge 6
2025-08-15T02:24:41Z,2,1590,0,Charge 6
2025-08-15T02:24:42Z,3,1580,0,Charge 6
2025-08-15T02:24:43Z,3,1560,0,Charge 6
2025-08-15T02:24:44Z,3,1600,0,Charge 6
2025-08-15T02:24:45Z,2,2940,0,Charge 6
2025-08-15T02:24:46Z,3,3080,0,Charge 6
2025-08-15T02:24:47Z,1,3070,0,Charge 6
2025-08-15T02:24:48Z,2,3110,0,Charge 6
2025-08-15T02:24:49Z,2,3080,0,Charge 6
2025-08-15T02:24:50Z,4,3040,0,Charge 6
2025-08-15T02:24:51Z,1,3070,0,Charge 6
2025-08-15T02:24:52Z,2,3060,0,Charge 6
2025-08-15T02:24:53Z,3,3020,0,Charge 6
2025-08-15T02:24:54Z,1,3050,0,Charge 6
2025-08-15T02:24:55Z,2,1610,0,Charge 6
2025-08-15T02:24:56Z,3,1610,0,Charge 6
2025-08-15T02:24:57Z,0,1530,0,Charge 6
2025-08-15T02:24:58Z,3,1460,0,Charge 6
2025-08-15T02:24:59Z,3,1490,0,Charge 6
2025-08-15T02:25:00Z,0,1430,0,Charge 6
2025-08-15T02:25:01Z,2,1360,0,Charge 6
2025-08-15T02:25:02Z,3,1370,0,Charge 6
2025-08-15T02:25:03Z,2,1380,0,Charge 6
2025-08-15T02:25:04Z,2,1370,0,Charge 6
2025-08-15T02:25:05Z,2,1390,0,Charge 6
2025-08-15T02:25:06Z,1,1380,0,Charge 6
2025-08-15T02:25:07Z,2,1380,0,Charge 6
2025-08-15T02:25:08Z,2,1380,0,Charge 6
2025-08-15T02:25:09Z,3,1380,0,Charge 6
2025-08-15T02:25:10Z,2,1380,0,Charge 6
2025-08-15T02:25:11Z,2,1390,0,Charge 6
2025-08-15T02:25:12Z,2,1390,0,Charge 6
2025-08-15T02:25:13Z,2,1390,0,Charge 6
2025-08-15T02:25:14Z,1,1400,0,Charge 6
2025-08-15T02:25:15Z,1,1340,0,Charge 6
2025-08-15T02:25:16Z,2,1290,0,Charge 6
2025-08-15T02:25:17Z,2,1260,0,Charge 6
2025-08-15T02:25:18Z,1,1190,0,Charge 6
2025-08-15T02:25:19Z,2,1190,0,Charge 6
2025-08-15T02:25:20Z,2,1190,0,Charge 6
2025-08-15T02:25:21Z,2,1190,0,Charge 6
2025-08-15T02:25:22Z,2,1200,0,Charge 6
2025-08-15T02:25:23Z,2,1200,0,Charge 6
2025-08-15T02:25:24Z,1,1200,0,Charge 6
2025-08-15T02:25:25Z,3,1210,0,Charge 6
2025-08-15T02:25:26Z,3,1310,0,Charge 6
2025-08-15T02:25:27Z,2,1370,0,Charge 6
2025-08-15T02:25:28Z,3,1470,0,Charge 6
2025-08-15T02:25:29Z,1,1530,0,Charge 6
2025-08-15T02:25:30Z,1,1530,0,Charge 6
2025-08-15T02:25:31Z,2,1530,0,Charge 6
2025-08-15T02:25:32Z,2,1520,0,Charge 6
2025-08-15T02:25:33Z,2,1430,0,Charge 6
2025-08-15T02:25:34Z,2,1430,0,Charge 6
2025-08-15T02:25:35Z,1,1420,0,Charge 6
2025-08-15T02:25:36Z,2,1420,0,Charge 6
2025-08-15T02:25:37Z,0,1320,0,Charge 6
2025-08-15T02:25:38Z,1,1210,0,Charge 6
2025-08-15T02:25:39Z,1,1080,0,Charge 6
2025-08-15T02:25:40Z,1,1000,0,Charge 6
2025-08-15T02:25:41Z,1,890,0,Charge 6
2025-08-15T02:25:42Z,1,800,0,Charge 6
2025-08-15T02:25:43Z,2,810,0,Charge 6
2025-08-15T02:25:44Z,1,820,0,Charge 6
2025-08-15T02:25:45Z,1,810,0,Charge 6
2025-08-15T02:25:46Z,2,850,0,Charge 6
2025-08-15T02:25:47Z,2,910,0,Charge 6
2025-08-15T02:25:48Z,2,970,0,Charge 6
2025-08-15T02:25:49Z,2,1050,0,Charge 6
2025-08-15T02:25:50Z,2,1150,0,Charge 6
