timestamp,oxygen saturation percentage,data source
2025-09-01T08:08:03Z,97.1,Charge 6
2025-09-01T08:09:03Z,96.7,Charge 6
2025-09-01T08:10:03Z,96.4,Charge 6
2025-09-01T08:11:03Z,95.9,Charge 6
2025-09-01T08:12:03Z,95.6,Charge 6
2025-09-01T08:13:03Z,95.3,Charge 6
2025-09-01T08:14:03Z,95.1,Charge 6
2025-09-01T08:31:34Z,93.9,Charge 6
2025-09-01T08:32:34Z,94.5,Charge 6
2025-09-01T08:33:34Z,95.0,Charge 6
2025-09-01T08:34:34Z,95.2,Charge 6
2025-09-01T08:35:34Z,95.4,Charge 6
2025-09-01T08:36:34Z,95.5,Charge 6
2025-09-01T08:37:34Z,95.6,Charge 6
2025-09-01T08:38:34Z,95.6,Charge 6
2025-09-01T08:39:34Z,95.6,Charge 6
2025-09-01T08:40:34Z,95.7,Charge 6
2025-09-01T08:41:34Z,95.7,Charge 6
2025-09-01T08:42:34Z,95.7,Charge 6
2025-09-01T08:43:34Z,95.7,Charge 6
2025-09-01T08:44:34Z,95.7,Charge 6
2025-09-01T08:45:34Z,95.7,Charge 6
2025-09-01T08:46:34Z,95.7,Charge 6
2025-09-01T08:47:34Z,95.7,Charge 6
2025-09-01T08:48:34Z,95.7,Charge 6
2025-09-01T08:49:34Z,95.7,Charge 6
2025-09-01T08:50:34Z,95.7,Charge 6
2025-09-01T08:52:34Z,95.7,Charge 6
2025-09-01T08:53:34Z,95.6,Charge 6
2025-09-01T08:54:34Z,95.6,Charge 6
2025-09-01T08:55:34Z,95.7,Charge 6
2025-09-01T08:56:34Z,95.9,Charge 6
2025-09-01T08:57:34Z,95.9,Charge 6
2025-09-01T08:58:34Z,96.0,Charge 6
2025-09-01T09:00:34Z,95.9,Charge 6
2025-09-01T09:01:34Z,95.6,Charge 6
2025-09-01T09:02:34Z,95.5,Charge 6
2025-09-01T09:03:34Z,95.5,Charge 6
2025-09-01T09:04:34Z,95.5,Charge 6
2025-09-01T09:06:34Z,95.7,Charge 6
2025-09-01T09:07:34Z,96.0,Charge 6
2025-09-01T09:09:34Z,96.4,Charge 6
2025-09-01T09:11:34Z,96.6,Charge 6
2025-09-01T09:12:34Z,96.4,Charge 6
2025-09-01T09:13:34Z,96.3,Charge 6
2025-09-01T09:14:34Z,96.2,Charge 6
2025-09-01T09:15:34Z,96.1,Charge 6
2025-09-01T09:16:34Z,96.1,Charge 6
2025-09-01T09:17:34Z,96.1,Charge 6
2025-09-01T09:18:34Z,96.1,Charge 6
2025-09-01T09:19:34Z,96.1,Charge 6
2025-09-01T09:20:34Z,96.1,Charge 6
2025-09-01T09:21:34Z,96.1,Charge 6
2025-09-01T09:22:34Z,96.1,Charge 6
2025-09-01T09:23:34Z,96.2,Charge 6
2025-09-01T09:24:34Z,96.2,Charge 6
2025-09-01T09:25:34Z,96.1,Charge 6
2025-09-01T09:26:34Z,96.1,Charge 6
2025-09-01T09:27:34Z,96.1,Charge 6
2025-09-01T09:30:34Z,96.1,Charge 6
2025-09-01T09:31:34Z,96.0,Charge 6
2025-09-01T09:32:34Z,95.9,Charge 6
2025-09-01T09:33:34Z,95.9,Charge 6
2025-09-01T09:34:34Z,96.0,Charge 6
2025-09-01T09:35:34Z,96.0,Charge 6
2025-09-01T09:37:34Z,96.0,Charge 6
2025-09-01T09:38:34Z,95.9,Charge 6
