start time,end time,data source
2025-12-18T00:35:00Z,2025-12-18T00:50:00Z,Fitbit App
2025-12-18T01:00:00Z,2025-12-18T01:27:00Z,Fitbit App
2025-12-18T01:47:00Z,2025-12-18T01:58:00Z,Fitbit App
2025-12-18T01:59:00Z,2025-12-18T04:42:00Z,Fitbit App
2025-12-18T04:43:00Z,2025-12-18T05:00:00Z,Fitbit App
2025-12-18T05:51:00Z,2025-12-18T06:43:00Z,Fitbit App
2025-12-18T06:47:00Z,2025-12-18T07:10:00Z,Fitbit App
2025-12-18T07:14:00Z,2025-12-18T07:28:00Z,Fitbit App
2025-12-18T08:39:00Z,2025-12-18T09:20:00Z,Fitbit App
2025-12-18T09:25:00Z,2025-12-18T09:46:00Z,Fitbit App
2025-12-18T09:56:00Z,2025-12-18T10:31:00Z,Fitbit App
2025-12-18T10:33:00Z,2025-12-18T10:43:00Z,Fitbit App
2025-12-18T10:46:00Z,2025-12-18T11:07:00Z,Fitbit App
2025-12-18T15:37:00Z,2025-12-18T15:49:00Z,Fitbit App
2025-12-18T18:15:00Z,2025-12-18T20:52:00Z,Fitbit App
2025-12-18T21:23:00Z,2025-12-18T22:02:00Z,Fitbit App
2025-12-18T22:20:00Z,2025-12-18T22:30:00Z,Fitbit App
2025-12-18T22:32:00Z,2025-12-18T23:20:00Z,Fitbit App
2025-12-18T23:24:00Z,2025-12-19T01:59:00Z,Fitbit App
