start time,end time,data source
2025-11-29T00:14:00Z,2025-11-29T00:43:00Z,Fitbit App
2025-11-29T00:49:00Z,2025-11-29T01:11:00Z,Fitbit App
2025-11-29T01:49:00Z,2025-11-29T01:59:00Z,Fitbit App
2025-11-29T02:14:00Z,2025-11-29T02:30:00Z,Fitbit App
2025-11-29T02:31:00Z,2025-11-29T02:41:00Z,Fitbit App
2025-11-29T02:42:00Z,2025-11-29T03:21:00Z,Fitbit App
2025-11-29T03:25:00Z,2025-11-29T03:59:00Z,Fitbit App
2025-11-29T04:15:00Z,2025-11-29T04:28:00Z,Fitbit App
2025-11-29T04:49:00Z,2025-11-29T05:46:00Z,Fitbit App
2025-11-29T05:48:00Z,2025-11-29T06:40:00Z,Fitbit App
2025-11-29T06:42:00Z,2025-11-29T08:00:00Z,Fitbit App
