start time,end time,data source
2025-10-15T01:16:00Z,2025-10-15T02:10:00Z,Fitbit App
2025-10-15T02:14:00Z,2025-10-15T03:08:00Z,Fitbit App
2025-10-15T03:22:00Z,2025-10-15T04:01:00Z,Fitbit App
2025-10-15T04:39:00Z,2025-10-15T05:22:00Z,Fitbit App
2025-10-15T05:23:00Z,2025-10-15T05:40:00Z,Fitbit App
2025-10-15T05:45:00Z,2025-10-15T06:04:00Z,Fitbit App
2025-10-15T06:05:00Z,2025-10-15T06:33:00Z,Fitbit App
2025-10-15T06:34:00Z,2025-10-15T07:00:00Z,Fitbit App
2025-10-15T13:59:00Z,2025-10-15T14:48:00Z,Fitbit App
2025-10-15T15:20:00Z,2025-10-15T15:52:00Z,Fitbit App
2025-10-15T16:09:00Z,2025-10-15T16:19:00Z,Fitbit App
2025-10-15T16:25:00Z,2025-10-15T17:19:00Z,Fitbit App
2025-10-15T17:24:00Z,2025-10-15T17:44:00Z,Fitbit App
2025-10-15T18:15:00Z,2025-10-15T18:32:00Z,Fitbit App
2025-10-15T18:37:00Z,2025-10-15T19:26:00Z,Fitbit App
2025-10-15T19:31:00Z,2025-10-15T19:56:00Z,Fitbit App
2025-10-15T20:08:00Z,2025-10-15T20:57:00Z,Fitbit App
2025-10-15T21:01:00Z,2025-10-15T21:25:00Z,Fitbit App
2025-10-15T22:19:00Z,2025-10-15T22:41:00Z,Fitbit App
2025-10-15T23:02:00Z,2025-10-15T23:18:00Z,Fitbit App
2025-10-15T23:21:00Z,2025-10-16T00:31:00Z,Fitbit App
