start time,end time,data source
2025-08-26T00:49:00Z,2025-08-26T02:10:00Z,Fitbit App
2025-08-26T02:56:00Z,2025-08-26T04:39:00Z,Fitbit App
2025-08-26T04:58:00Z,2025-08-26T05:13:00Z,Fitbit App
2025-08-26T05:34:00Z,2025-08-26T06:47:00Z,Fitbit App
2025-08-26T07:00:00Z,2025-08-26T08:05:00Z,Fitbit App
2025-08-26T08:18:00Z,2025-08-26T09:17:00Z,Fitbit App
2025-08-26T16:27:00Z,2025-08-26T17:01:00Z,Fitbit App
2025-08-26T19:34:00Z,2025-08-26T20:30:00Z,Fitbit App
2025-08-26T20:31:00Z,2025-08-26T20:41:00Z,Fitbit App
2025-08-26T20:46:00Z,2025-08-26T21:54:00Z,Fitbit App
2025-08-26T22:07:00Z,2025-08-26T22:50:00Z,Fitbit App
2025-08-26T23:01:00Z,2025-08-26T23:33:00Z,Fitbit App
2025-08-26T23:40:00Z,2025-08-26T23:58:00Z,Fitbit App
