timestamp,steps,data source
2026-02-01T00:00:00Z,8,Charge 6
2026-02-01T00:02:00Z,16,Charge 6
2026-02-01T00:04:00Z,23,Charge 6
2026-02-01T00:05:00Z,14,Charge 6
2026-02-01T00:06:00Z,14,Charge 6
2026-02-01T00:07:00Z,9,Charge 6
2026-02-01T00:08:00Z,11,Charge 6
2026-02-01T00:09:00Z,7,Charge 6
2026-02-01T00:23:00Z,20,Charge 6
2026-02-01T00:24:00Z,15,Charge 6
2026-02-01T00:25:00Z,17,Charge 6
2026-02-01T01:28:00Z,39,Charge 6
2026-02-01T01:29:00Z,25,Charge 6
2026-02-01T01:31:00Z,34,Charge 6
2026-02-01T01:32:00Z,9,Charge 6
2026-02-01T01:33:00Z,61,Charge 6
2026-02-01T01:34:00Z,108,Charge 6
2026-02-01T01:35:00Z,113,Charge 6
2026-02-01T01:36:00Z,112,Charge 6
2026-02-01T01:37:00Z,111,Charge 6
2026-02-01T01:38:00Z,114,Charge 6
2026-02-01T01:39:00Z,113,Charge 6
2026-02-01T01:40:00Z,111,Charge 6
2026-02-01T01:41:00Z,27,Charge 6
2026-02-01T01:46:00Z,28,Charge 6
2026-02-01T01:47:00Z,102,Charge 6
2026-02-01T01:48:00Z,108,Charge 6
2026-02-01T01:49:00Z,108,Charge 6
2026-02-01T01:50:00Z,112,Charge 6
2026-02-01T01:51:00Z,102,Charge 6
2026-02-01T01:52:00Z,107,Charge 6
2026-02-01T01:53:00Z,111,Charge 6
2026-02-01T01:54:00Z,72,Charge 6
2026-02-01T02:08:00Z,49,Charge 6
2026-02-01T02:09:00Z,32,Charge 6
2026-02-01T02:10:00Z,44,Charge 6
2026-02-01T02:11:00Z,24,Charge 6
2026-02-01T02:12:00Z,8,Charge 6
2026-02-01T02:15:00Z,18,Charge 6
2026-02-01T02:16:00Z,8,Charge 6
2026-02-01T02:22:00Z,107,Charge 6
2026-02-01T02:33:00Z,24,Charge 6
2026-02-01T02:34:00Z,106,Charge 6
2026-02-01T02:35:00Z,78,Charge 6
2026-02-01T02:37:00Z,10,Charge 6
2026-02-01T02:38:00Z,11,Charge 6
2026-02-01T02:39:00Z,8,Charge 6
2026-02-01T02:40:00Z,72,Charge 6
2026-02-01T02:41:00Z,55,Charge 6
2026-02-01T02:42:00Z,61,Charge 6
2026-02-01T02:43:00Z,36,Charge 6
2026-02-01T02:44:00Z,41,Charge 6
2026-02-01T02:45:00Z,7,Charge 6
