timestamp,beats per minute,data source
2025-10-15T00:04:32Z,66.0,Charge 6
2025-10-15T00:04:33Z,66.0,Charge 6
2025-10-15T00:04:35Z,66.0,Charge 6
2025-10-15T00:04:38Z,65.0,Charge 6
2025-10-15T00:04:40Z,64.0,Charge 6
2025-10-15T00:04:42Z,65.0,Charge 6
2025-10-15T00:04:44Z,66.0,Charge 6
2025-10-15T00:04:46Z,68.0,Charge 6
2025-10-15T00:04:49Z,68.0,Charge 6
2025-10-15T00:04:50Z,67.0,Charge 6
2025-10-15T00:04:52Z,66.0,Charge 6
2025-10-15T00:04:54Z,64.0,Charge 6
2025-10-15T00:04:56Z,64.0,Charge 6
2025-10-15T00:04:59Z,64.0,Charge 6
2025-10-15T00:05:01Z,63.0,Charge 6
2025-10-15T00:05:03Z,62.0,Charge 6
2025-10-15T00:05:05Z,62.0,Charge 6
2025-10-15T00:05:08Z,62.0,Charge 6
2025-10-15T00:05:11Z,62.0,Charge 6
2025-10-15T00:05:14Z,62.0,Charge 6
2025-10-15T00:05:15Z,63.0,Charge 6
2025-10-15T00:05:18Z,63.0,Charge 6
2025-10-15T00:05:19Z,64.0,Charge 6
2025-10-15T00:05:22Z,64.0,Charge 6
2025-10-15T00:05:25Z,64.0,Charge 6
2025-10-15T00:05:26Z,64.0,Charge 6
2025-10-15T00:05:29Z,64.0,Charge 6
2025-10-15T00:05:30Z,64.0,Charge 6
2025-10-15T00:05:32Z,64.0,Charge 6
2025-10-15T00:05:34Z,66.0,Charge 6
2025-10-15T00:05:36Z,67.0,Charge 6
2025-10-15T00:05:39Z,67.0,Charge 6
2025-10-15T00:05:40Z,66.0,Charge 6
2025-10-15T00:05:43Z,66.0,Charge 6
2025-10-15T00:05:46Z,66.0,Charge 6
2025-10-15T00:05:49Z,66.0,Charge 6
2025-10-15T00:05:51Z,65.0,Charge 6
2025-10-15T00:05:54Z,65.0,Charge 6
2025-10-15T00:05:55Z,66.0,Charge 6
2025-10-15T00:05:57Z,66.0,Charge 6
2025-10-15T00:05:59Z,68.0,Charge 6
2025-10-15T00:06:02Z,68.0,Charge 6
2025-10-15T00:06:03Z,67.0,Charge 6
2025-10-15T00:06:06Z,67.0,Charge 6
2025-10-15T00:06:07Z,66.0,Charge 6
2025-10-15T00:06:09Z,65.0,Charge 6
2025-10-15T00:06:12Z,64.0,Charge 6
2025-10-15T00:06:15Z,64.0,Charge 6
2025-10-15T00:06:18Z,64.0,Charge 6
2025-10-15T00:06:21Z,64.0,Charge 6
2025-10-15T00:06:24Z,64.0,Charge 6
2025-10-15T00:06:27Z,64.0,Charge 6
2025-10-15T00:06:28Z,65.0,Charge 6
2025-10-15T00:06:31Z,65.0,Charge 6
2025-10-15T00:06:34Z,66.0,Charge 6
2025-10-15T00:06:35Z,68.0,Charge 6
2025-10-15T00:06:38Z,68.0,Charge 6
2025-10-15T00:06:41Z,69.0,Charge 6
2025-10-15T00:06:44Z,69.0,Charge 6
2025-10-15T00:06:45Z,68.0,Charge 6
2025-10-15T00:06:47Z,69.0,Charge 6
2025-10-15T00:06:50Z,69.0,Charge 6
2025-10-15T00:06:53Z,69.0,Charge 6
2025-10-15T00:06:55Z,68.0,Charge 6
2025-10-15T00:06:57Z,66.0,Charge 6
2025-10-15T00:06:59Z,65.0,Charge 6
2025-10-15T00:07:00Z,64.0,Charge 6
