timestamp,distance,data source
2025-08-13T19:02:00Z,0.70,Charge 6
2025-08-13T19:03:00Z,13.80,Charge 6
2025-08-13T19:04:00Z,5.00,Charge 6
2025-08-13T19:12:00Z,20.30,Charge 6
2025-08-13T19:14:00Z,2.90,Charge 6
2025-08-13T19:17:00Z,7.90,Charge 6
2025-08-13T19:18:00Z,28.30,Charge 6
2025-08-13T19:19:00Z,13.00,Charge 6
2025-08-13T19:20:00Z,5.00,Charge 6
2025-08-13T19:21:00Z,45.70,Charge 6
2025-08-13T19:22:00Z,19.60,Charge 6
2025-08-13T19:23:00Z,12.08,Fitbit App
2025-08-13T19:24:00Z,16.78,Fitbit App
2025-08-13T19:25:00Z,17.45,Fitbit App
2025-08-13T19:26:00Z,25.50,Fitbit App
2025-08-13T19:28:00Z,31.54,Fitbit App
2025-08-13T19:29:00Z,0.70,Charge 6
2025-08-13T19:30:00Z,69.00,Charge 6
2025-08-13T19:31:00Z,44.20,Charge 6
2025-08-13T20:40:00Z,50.10,Charge 6
2025-08-13T20:41:00Z,69.70,Charge 6
2025-08-13T20:42:00Z,16.70,Charge 6
2025-08-13T20:43:00Z,37.70,Charge 6
2025-08-13T20:44:00Z,77.00,Charge 6
2025-08-13T20:45:00Z,51.90,Charge 6
2025-08-13T20:50:00Z,16.00,Charge 6
2025-08-13T20:51:00Z,63.90,Charge 6
2025-08-13T20:52:00Z,10.10,Charge 6
2025-08-13T21:13:00Z,2.90,Charge 6
2025-08-13T21:42:00Z,4.30,Charge 6
2025-08-13T21:53:00Z,9.40,Charge 6
2025-08-13T21:54:00Z,40.60,Charge 6
2025-08-13T21:58:00Z,12.30,Charge 6
2025-08-13T22:06:00Z,2.90,Charge 6
2025-08-13T22:07:00Z,3.60,Charge 6
2025-08-13T22:18:00Z,7.20,Charge 6
2025-08-13T22:21:00Z,10.80,Charge 6
2025-08-13T22:29:00Z,6.50,Charge 6
2025-08-13T22:36:00Z,2.90,Charge 6
2025-08-13T22:37:00Z,5.80,Charge 6
2025-08-13T22:51:00Z,5.80,Charge 6
2025-08-13T22:52:00Z,50.80,Charge 6
2025-08-13T22:53:00Z,15.90,Charge 6
2025-08-13T22:54:00Z,15.43,Fitbit App
2025-08-13T22:55:00Z,37.58,Fitbit App
2025-08-13T22:56:00Z,53.68,Fitbit App
2025-08-13T22:57:00Z,62.40,Fitbit App
