timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2025-08-14T00:00:00Z,96.8,95.7,97.8,0.0,0.0,Charge 6
2025-08-15T00:00:00Z,96.4,95.5,97.4,0.0,0.0,Charge 6
2025-08-16T00:00:00Z,97.2,95.9,99.4,0.0,0.0,Charge 6
2025-08-17T00:00:00Z,95.8,94.5,96.6,0.0,0.0,Charge 6
2025-08-18T00:00:00Z,96.0,94.8,97.0,0.0,0.0,Charge 6
2025-08-19T00:00:00Z,96.3,95.2,97.2,96.4,0.5,Charge 6
2025-08-20T00:00:00Z,96.9,95.8,98.0,96.4,0.5,Charge 6
2025-08-21T00:00:00Z,96.4,95.2,97.4,96.4,0.5,Charge 6
2025-08-22T00:00:00Z,96.0,94.5,97.7,96.4,0.5,Charge 6
2025-08-24T00:00:00Z,95.7,94.7,96.6,96.3,0.5,Charge 6
2025-08-25T00:00:00Z,96.3,95.4,97.1,96.3,0.5,Charge 6
2025-08-26T00:00:00Z,96.4,95.0,98.2,96.3,0.4,Charge 6
2025-08-27T00:00:00Z,95.5,94.3,96.7,96.3,0.5,Charge 6
2025-08-28T00:00:00Z,95.7,93.7,97.3,96.2,0.5,Charge 6
2025-08-29T00:00:00Z,95.4,94.9,96.0,96.2,0.5,Charge 6
2025-08-30T00:00:00Z,96.0,95.0,96.6,96.2,0.5,Charge 6
2025-08-31T00:00:00Z,95.9,93.6,97.5,96.2,0.5,Charge 6
