start time,end time,data source
2025-08-15T01:20:00Z,2025-08-15T01:51:00Z,Fitbit App
2025-08-15T05:16:00Z,2025-08-15T07:00:00Z,Fitbit App
2025-08-15T07:00:00Z,2025-08-15T07:18:00Z,Fitbit App
2025-08-15T07:19:00Z,2025-08-15T08:03:00Z,Fitbit App
2025-08-15T15:47:00Z,2025-08-15T17:32:00Z,Fitbit App
2025-08-15T17:33:00Z,2025-08-15T17:47:00Z,Fitbit App
2025-08-15T17:55:00Z,2025-08-15T18:19:00Z,Fitbit App
2025-08-15T20:20:00Z,2025-08-15T20:39:00Z,Fitbit App
2025-08-15T22:53:00Z,2025-08-15T23:09:00Z,Fitbit App
2025-08-15T23:17:00Z,2025-08-15T23:54:00Z,Fitbit App
2025-08-15T23:55:00Z,2025-08-16T00:22:00Z,Fitbit App
