timestamp,Infrared to Red Signal Ratio
10/29/25 01:40:30,0
10/29/25 01:41:30,6
10/29/25 01:42:30,0
10/29/25 01:43:30,-8
10/29/25 01:44:30,8
10/29/25 01:45:30,14
10/29/25 02:36:00,0
10/29/25 02:37:00,1
10/29/25 02:38:00,0
10/29/25 02:39:00,12
10/29/25 02:40:00,-4
10/29/25 02:41:00,0
10/29/25 02:42:00,-38
10/29/25 02:44:01,0
10/29/25 02:45:01,-18
10/29/25 02:46:01,-69
10/29/25 02:47:01,-48
10/29/25 02:48:01,-44
10/29/25 02:49:01,-78
10/29/25 02:50:01,-37
10/29/25 02:51:01,-7
10/29/25 02:52:01,-37
10/29/25 02:53:01,-22
10/29/25 02:54:01,25
10/29/25 02:55:01,35
10/29/25 02:56:02,-4
10/29/25 02:57:02,0
10/29/25 02:58:02,0
10/29/25 02:59:02,-26
10/29/25 03:00:02,8
10/29/25 03:01:02,69
10/29/25 03:02:02,0
10/29/25 03:03:02,34
10/29/25 03:04:02,0
10/29/25 03:05:02,-59
10/29/25 03:06:02,0
10/29/25 03:07:02,5
10/29/25 03:08:02,3
10/29/25 03:09:02,0
10/29/25 03:10:02,15
10/29/25 03:11:02,0
10/29/25 03:12:02,0
10/29/25 03:13:02,22
10/29/25 03:14:02,0
10/29/25 03:15:02,0
10/29/25 03:16:02,1
10/29/25 03:17:02,20
10/29/25 03:18:02,-8
10/29/25 03:19:02,4
10/29/25 03:20:02,0
10/29/25 03:21:02,19
10/29/25 03:22:02,3
10/29/25 03:23:02,13
10/29/25 03:24:02,16
10/29/25 03:25:02,6
10/29/25 03:26:02,-13
10/29/25 03:27:03,11
10/29/25 03:28:03,-2
10/29/25 03:29:03,36
10/29/25 03:30:03,-11
10/29/25 03:31:03,0
10/29/25 03:32:03,47
10/29/25 03:33:03,0
10/29/25 03:34:03,0
10/29/25 03:35:03,0
10/29/25 03:36:03,8
10/29/25 03:37:03,-2
10/29/25 03:38:03,10
10/29/25 03:39:03,8
10/29/25 03:40:03,17
10/29/25 03:41:03,0
10/29/25 03:42:03,3
10/29/25 03:43:03,-8
10/29/25 03:44:03,0
10/29/25 03:45:03,0
10/29/25 03:46:03,-9
10/29/25 03:47:03,4
10/29/25 03:48:03,0
10/29/25 03:49:03,6
10/29/25 03:50:03,39
10/29/25 03:51:03,42
10/29/25 03:52:03,2
10/29/25 03:53:03,5
10/29/25 03:54:03,-13
10/29/25 03:55:03,0
10/29/25 03:56:03,7
10/29/25 03:57:03,13
10/29/25 03:58:06,-6
10/29/25 03:59:06,16
10/29/25 04:00:06,2
10/29/25 04:01:06,-4
10/29/25 04:02:06,-53
10/29/25 04:03:06,0
10/29/25 04:04:06,2
10/29/25 04:05:06,0
10/29/25 04:06:06,-1
10/29/25 04:07:06,-1
10/29/25 04:08:06,0
10/29/25 04:09:06,13
10/29/25 04:10:06,-12
10/29/25 04:11:06,-17
10/29/25 04:12:06,3
10/29/25 04:13:06,0
10/29/25 04:14:06,41
10/29/25 04:15:06,2
10/29/25 04:16:06,71
10/29/25 04:17:06,2
10/29/25 04:18:06,18
10/29/25 04:19:06,8
10/29/25 04:20:06,2
10/29/25 04:21:06,33
10/29/25 04:22:06,11
10/29/25 04:23:06,0
