timestamp,Infrared to Red Signal Ratio
01/24/26 02:07:00,0
01/24/26 02:08:00,-21
01/24/26 02:09:00,12
01/24/26 02:10:00,11
01/24/26 02:11:00,28
01/24/26 02:12:00,15
01/24/26 02:13:00,-31
01/24/26 02:14:29,47
01/24/26 02:15:29,0
01/24/26 02:16:28,39
01/24/26 02:17:28,17
01/24/26 02:18:28,-3
01/24/26 02:19:28,4
01/24/26 02:20:28,23
01/24/26 02:21:28,4
01/24/26 02:22:28,-14
01/24/26 02:23:28,5
01/24/26 02:24:28,-5
01/24/26 02:25:28,0
01/24/26 02:26:28,0
01/24/26 02:27:28,-19
01/24/26 02:28:28,-9
01/24/26 02:29:28,-34
01/24/26 02:30:28,30
01/24/26 02:31:29,-1
01/24/26 02:32:29,-1
01/24/26 02:33:29,0
01/24/26 02:34:29,43
01/24/26 02:35:29,-8
01/24/26 02:36:29,-1
01/24/26 02:37:29,0
01/24/26 02:38:29,13
01/24/26 02:39:29,7
01/24/26 02:40:29,20
01/24/26 02:41:29,40
01/24/26 02:42:29,0
01/24/26 02:43:29,6
01/24/26 02:44:29,50
01/24/26 02:45:29,-13
01/24/26 02:46:30,0
01/24/26 02:47:30,-33
01/24/26 02:48:30,-8
01/24/26 02:49:30,50
01/24/26 02:50:30,0
01/24/26 02:51:30,1
01/24/26 02:52:30,-6
01/24/26 02:53:30,0
01/24/26 02:54:30,14
01/24/26 02:55:30,0
01/24/26 02:56:30,-19
01/24/26 02:57:30,13
01/24/26 02:58:30,0
01/24/26 02:59:30,-26
01/24/26 03:00:30,-21
01/24/26 03:01:30,0
01/24/26 03:02:29,-7
01/24/26 03:03:29,35
01/24/26 03:04:29,24
01/24/26 03:05:29,28
01/24/26 03:06:29,0
01/24/26 03:07:29,0
01/24/26 03:08:29,14
01/24/26 03:09:29,-16
01/24/26 03:10:29,0
01/24/26 03:11:29,4
01/24/26 03:12:29,0
01/24/26 03:13:29,13
01/24/26 03:14:29,0
01/24/26 03:15:29,-1
01/24/26 03:16:29,0
01/24/26 03:17:29,3
01/24/26 03:18:29,-44
01/24/26 03:19:29,0
01/24/26 03:20:29,0
01/24/26 03:21:29,-1
01/24/26 03:22:29,17
01/24/26 03:23:29,4
01/24/26 03:24:29,6
01/24/26 03:25:29,52
01/24/26 03:26:29,-8
01/24/26 03:27:29,-2
01/24/26 03:28:29,0
01/24/26 03:29:29,0
01/24/26 03:30:29,-22
01/24/26 03:31:29,2
01/24/26 03:32:28,3
01/24/26 03:33:28,-4
01/24/26 03:34:28,0
01/24/26 03:35:28,-6
01/24/26 03:36:28,0
01/24/26 03:37:28,6
01/24/26 03:38:28,0
01/24/26 03:39:28,-16
01/24/26 03:40:28,-43
01/24/26 03:41:28,-17
01/24/26 03:42:28,-15
01/24/26 03:43:28,0
01/24/26 03:44:28,-20
01/24/26 03:45:28,-4
01/24/26 03:46:28,3
01/24/26 03:47:29,-32
01/24/26 03:48:29,0
01/24/26 03:49:29,10
01/24/26 03:50:29,-9
01/24/26 03:51:29,-5
01/24/26 03:52:29,2
