timestamp,Infrared to Red Signal Ratio
09/21/25 00:42:00,23
09/21/25 00:43:00,4
09/21/25 00:44:00,-4
09/21/25 00:45:00,38
09/21/25 00:46:00,0
09/21/25 00:47:00,13
09/21/25 00:48:00,26
09/21/25 00:49:00,34
09/21/25 00:50:00,4
09/21/25 00:51:00,0
09/21/25 00:52:00,29
09/21/25 00:53:00,4
09/21/25 00:54:00,15
09/21/25 00:55:00,17
09/21/25 00:56:00,43
09/21/25 00:57:00,13
09/21/25 00:58:00,18
09/21/25 00:59:00,-11
09/21/25 01:00:00,0
09/21/25 01:01:00,52
09/21/25 01:02:00,0
09/21/25 01:03:00,25
09/21/25 01:04:00,0
09/21/25 01:05:00,6
09/21/25 01:06:00,30
09/21/25 01:07:00,12
09/21/25 01:08:00,31
09/21/25 01:09:00,7
09/21/25 01:10:00,28
09/21/25 01:11:00,30
09/21/25 01:12:00,-11
09/21/25 01:13:00,0
09/21/25 01:14:00,-17
09/21/25 01:15:00,0
09/21/25 01:16:00,21
09/21/25 01:17:00,13
09/21/25 01:18:00,0
09/21/25 01:19:00,0
09/21/25 01:20:01,21
09/21/25 01:21:01,33
09/21/25 01:22:01,3
09/21/25 01:23:01,76
09/21/25 01:24:01,40
09/21/25 01:25:01,-2
09/21/25 01:26:01,-7
09/21/25 01:27:01,-10
09/21/25 01:28:01,-7
09/21/25 01:29:01,-5
09/21/25 01:30:01,-2
09/21/25 01:31:01,-4
09/21/25 01:32:01,-35
09/21/25 01:33:01,0
09/21/25 01:34:01,-19
09/21/25 01:35:01,4
09/21/25 01:36:01,0
09/21/25 01:37:01,3
09/21/25 01:38:01,-13
09/21/25 01:39:01,-8
09/21/25 01:40:01,8
09/21/25 01:41:01,10
09/21/25 01:42:01,30
09/21/25 01:43:01,0
09/21/25 01:44:01,14
09/21/25 01:45:01,9
09/21/25 01:46:01,-25
09/21/25 01:47:01,0
09/21/25 01:48:01,11
09/21/25 01:49:01,0
09/21/25 01:50:01,0
09/21/25 01:51:01,24
09/21/25 01:52:01,2
09/21/25 01:53:01,0
09/21/25 01:54:01,8
09/21/25 01:55:01,35
09/21/25 01:56:01,21
09/21/25 01:57:01,29
09/21/25 01:58:01,4
09/21/25 01:59:01,27
09/21/25 02:00:01,-10
09/21/25 02:01:01,8
09/21/25 02:02:01,-13
09/21/25 02:03:01,38
09/21/25 02:04:01,8
09/21/25 02:05:01,8
09/21/25 02:06:01,69
09/21/25 02:07:01,-3
09/21/25 02:08:01,-13
09/21/25 02:09:01,-14
09/21/25 02:10:01,0
09/21/25 02:11:01,-11
09/21/25 02:12:01,34
09/21/25 02:13:01,-26
09/21/25 02:14:01,26
09/21/25 02:15:01,39
09/21/25 02:16:01,4
09/21/25 02:17:01,2
09/21/25 02:18:01,29
09/21/25 02:19:01,-12
09/21/25 02:20:01,52
09/21/25 02:21:03,0
09/21/25 02:22:03,0
09/21/25 02:23:03,0
09/21/25 02:24:03,13
09/21/25 02:25:03,9
09/21/25 02:26:03,3
09/21/25 02:27:03,1
09/21/25 02:28:03,0
09/21/25 02:29:03,0
09/21/25 02:30:03,-5
09/21/25 02:31:03,41
09/21/25 02:32:03,20
09/21/25 02:33:03,8
09/21/25 02:34:03,39
09/21/25 02:35:03,24
09/21/25 02:36:03,48
09/21/25 02:37:03,0
09/21/25 02:38:03,-31
09/21/25 02:39:03,44
09/21/25 02:40:03,0
09/21/25 02:41:03,0
09/21/25 02:42:03,13
09/21/25 02:43:03,-2
09/21/25 02:44:03,-63
09/21/25 02:45:03,-8
09/21/25 02:46:03,-17
09/21/25 02:47:03,-24
09/21/25 02:48:03,-1
09/21/25 02:49:03,0
09/21/25 02:50:03,27
09/21/25 02:51:03,13
09/21/25 02:52:03,-4
09/21/25 02:53:03,0
09/21/25 02:54:03,3
09/21/25 02:55:04,-43
09/21/25 02:56:04,0
09/21/25 02:57:04,-1
09/21/25 02:58:04,0
09/21/25 02:59:04,-3
09/21/25 03:00:04,5
09/21/25 03:01:04,16
09/21/25 03:02:04,-39
09/21/25 03:03:04,22
09/21/25 03:04:04,-20
09/21/25 03:05:04,0
09/21/25 03:06:04,38
09/21/25 03:07:04,34
09/21/25 03:08:04,11
09/21/25 03:09:04,-4
09/21/25 03:10:04,18
09/21/25 03:11:04,10
09/21/25 03:12:04,23
09/21/25 03:13:04,7
09/21/25 03:14:04,-6
09/21/25 03:15:04,0
09/21/25 03:16:04,19
09/21/25 03:17:04,-4
09/21/25 03:18:04,7
09/21/25 03:19:04,7
09/21/25 03:20:04,-4
09/21/25 03:21:04,0
09/21/25 03:22:04,-4
09/21/25 03:23:04,21
09/21/25 03:24:04,23
09/21/25 03:25:04,-28
09/21/25 03:26:04,-3
09/21/25 03:27:04,-6
09/21/25 03:28:04,-19
09/21/25 03:29:04,3
09/21/25 03:30:04,9
09/21/25 03:31:04,-4
09/21/25 03:32:04,3
09/21/25 03:33:04,-5
09/21/25 03:34:04,-2
09/21/25 03:35:04,3
09/21/25 03:36:04,-19
09/21/25 03:37:04,0
09/21/25 03:38:04,12
09/21/25 03:39:04,-8
09/21/25 03:40:04,0
09/21/25 03:41:04,0
09/21/25 03:42:04,9
09/21/25 03:43:04,0
09/21/25 03:44:04,50
09/21/25 03:45:04,20
09/21/25 03:46:04,47
09/21/25 03:47:04,0
09/21/25 03:48:04,1
09/21/25 03:49:04,-17
09/21/25 03:50:04,-17
09/21/25 03:51:04,-41
09/21/25 03:52:04,-4
09/21/25 03:53:04,0
09/21/25 03:54:04,-55
09/21/25 03:55:04,-28
09/21/25 03:56:04,24
09/21/25 03:57:04,-8
