timestamp,Infrared to Red Signal Ratio
08/31/25 00:24:30,4
08/31/25 00:25:30,14
08/31/25 00:26:30,-9
08/31/25 00:27:30,62
08/31/25 00:28:30,-7
08/31/25 00:29:30,46
08/31/25 00:30:30,-4
08/31/25 00:32:31,3
08/31/25 00:33:32,60
08/31/25 00:34:32,0
08/31/25 00:35:32,-17
08/31/25 00:36:32,23
08/31/25 00:37:32,-17
08/31/25 00:50:30,-7
08/31/25 00:51:30,-3
08/31/25 00:52:30,17
08/31/25 00:53:30,-34
08/31/25 00:54:30,0
08/31/25 00:55:30,8
08/31/25 00:56:30,30
08/31/25 00:57:30,27
08/31/25 00:58:30,21
08/31/25 00:59:30,2
08/31/25 01:00:30,-8
08/31/25 01:01:30,0
08/31/25 01:02:30,0
08/31/25 01:03:31,2
08/31/25 01:04:31,-33
08/31/25 01:05:31,0
08/31/25 01:06:31,14
08/31/25 01:07:31,-7
08/31/25 01:08:31,1
08/31/25 01:09:31,0
08/31/25 01:10:31,14
08/31/25 01:11:31,-5
08/31/25 01:12:31,20
08/31/25 01:13:31,0
08/31/25 01:14:31,20
08/31/25 01:15:31,-26
08/31/25 01:16:31,0
08/31/25 01:17:31,-4
08/31/25 01:18:31,0
08/31/25 01:19:31,25
08/31/25 01:20:31,39
08/31/25 01:21:31,17
08/31/25 01:22:31,34
08/31/25 01:23:31,0
08/31/25 01:24:31,28
08/31/25 01:25:31,3
08/31/25 01:26:31,17
08/31/25 01:27:31,0
08/31/25 01:28:31,4
08/31/25 01:29:31,1
08/31/25 01:30:31,1
08/31/25 01:31:31,2
08/31/25 01:32:31,36
08/31/25 01:33:31,27
08/31/25 01:34:31,-13
08/31/25 01:35:31,25
08/31/25 01:36:31,0
08/31/25 01:37:31,26
08/31/25 01:38:31,0
08/31/25 01:39:31,-4
08/31/25 01:40:31,0
08/31/25 01:41:31,-11
08/31/25 01:42:31,12
08/31/25 01:43:31,34
08/31/25 01:44:31,21
08/31/25 01:45:31,0
08/31/25 01:46:31,6
08/31/25 01:47:31,0
08/31/25 01:48:30,-8
08/31/25 01:49:30,-4
08/31/25 01:50:30,-1
08/31/25 01:51:30,13
08/31/25 01:52:30,-4
08/31/25 01:53:30,0
08/31/25 01:54:30,-5
08/31/25 01:55:30,-4
08/31/25 01:56:30,0
08/31/25 01:57:30,21
08/31/25 01:58:30,0
08/31/25 01:59:30,18
08/31/25 02:00:30,13
08/31/25 02:01:30,7
08/31/25 02:02:30,0
08/31/25 02:03:31,0
08/31/25 02:04:31,-20
08/31/25 02:05:31,-12
08/31/25 02:06:31,-2
08/31/25 02:07:31,-36
08/31/25 02:08:31,6
08/31/25 02:09:31,0
08/31/25 02:10:31,38
08/31/25 02:11:31,0
08/31/25 02:12:31,16
08/31/25 02:13:31,7
08/31/25 02:14:31,-1
08/31/25 02:15:31,7
08/31/25 02:16:31,-11
08/31/25 02:17:31,20
08/31/25 02:18:30,-4
08/31/25 02:19:30,-8
08/31/25 02:20:30,-63
08/31/25 02:21:30,15
08/31/25 02:22:30,1
08/31/25 02:23:30,-10
08/31/25 02:24:30,2
08/31/25 02:25:30,-35
08/31/25 02:26:30,1
08/31/25 02:27:30,-1
08/31/25 02:28:30,-4
08/31/25 02:29:30,0
08/31/25 02:30:30,-27
08/31/25 02:31:30,-9
08/31/25 02:32:30,3
08/31/25 02:33:30,-43
08/31/25 02:34:30,-65
08/31/25 02:35:30,-27
08/31/25 02:36:30,-29
08/31/25 02:37:30,-33
08/31/25 02:38:30,-1
08/31/25 02:39:30,-38
08/31/25 02:40:30,0
08/31/25 02:41:30,45
08/31/25 02:42:30,8
08/31/25 02:43:30,-21
08/31/25 02:44:30,-6
08/31/25 02:45:30,-55
08/31/25 02:46:30,-60
08/31/25 02:47:30,0
08/31/25 02:48:30,-7
08/31/25 02:49:30,62
08/31/25 02:50:30,1
08/31/25 02:51:30,0
08/31/25 02:52:30,12
08/31/25 02:53:30,1
08/31/25 02:54:30,2
08/31/25 02:55:30,6
08/31/25 02:56:30,-23
08/31/25 02:57:30,-35
08/31/25 02:58:30,20
08/31/25 02:59:30,58
08/31/25 03:00:30,-33
08/31/25 03:01:30,9
08/31/25 03:02:30,-4
08/31/25 03:03:30,-17
08/31/25 03:04:30,-43
08/31/25 03:05:30,-4
08/31/25 03:06:30,24
08/31/25 03:07:30,4
08/31/25 03:08:30,-16
08/31/25 03:09:30,0
08/31/25 03:10:30,46
08/31/25 03:11:30,13
08/31/25 03:12:30,-5
08/31/25 03:13:30,0
08/31/25 03:14:30,-5
08/31/25 03:15:30,0
08/31/25 03:16:30,43
08/31/25 03:17:30,-17
08/31/25 03:18:30,0
08/31/25 03:19:30,5
08/31/25 03:20:30,5
08/31/25 03:21:30,-15
08/31/25 03:22:30,0
08/31/25 03:23:30,0
08/31/25 03:24:30,-1
08/31/25 03:25:30,-2
08/31/25 03:26:30,4
08/31/25 03:27:30,4
08/31/25 03:28:30,3
08/31/25 03:29:30,0
08/31/25 03:30:30,-18
08/31/25 03:31:30,1
08/31/25 03:32:30,-8
08/31/25 03:33:30,-8
08/31/25 03:34:31,43
08/31/25 03:35:31,-6
08/31/25 03:36:31,0
08/31/25 03:37:31,3
08/31/25 03:38:31,-8
08/31/25 03:39:31,14
08/31/25 03:40:31,20
08/31/25 03:41:31,4
08/31/25 03:42:31,0
08/31/25 03:43:31,0
08/31/25 03:44:31,27
08/31/25 03:45:31,0
08/31/25 03:46:31,47
08/31/25 03:47:31,7
08/31/25 03:48:31,13
08/31/25 03:49:31,-8
08/31/25 03:50:31,3
08/31/25 03:51:31,-12
08/31/25 03:52:31,0
08/31/25 03:53:31,-3
08/31/25 03:54:31,0
08/31/25 03:55:31,5
08/31/25 03:56:31,13
08/31/25 03:57:31,3
08/31/25 03:58:31,2
08/31/25 03:59:31,-3
08/31/25 04:00:31,-7
08/31/25 04:01:31,2
08/31/25 04:02:31,-11
08/31/25 04:03:31,21
08/31/25 04:04:30,12
08/31/25 04:05:30,13
08/31/25 04:06:30,47
08/31/25 04:07:30,57
08/31/25 04:08:30,17
08/31/25 04:09:30,-1
08/31/25 04:10:30,-14
08/31/25 04:11:30,0
08/31/25 04:12:30,17
08/31/25 04:13:30,-4
08/31/25 04:14:30,2
08/31/25 04:15:30,10
08/31/25 04:16:30,0
08/31/25 04:17:30,-8
08/31/25 04:18:30,0
08/31/25 04:19:30,-34
08/31/25 04:20:30,27
08/31/25 04:21:30,-22
08/31/25 04:22:30,4
08/31/25 04:23:30,4
08/31/25 04:24:30,0
08/31/25 04:25:30,0
08/31/25 04:26:30,0
08/31/25 04:27:30,0
08/31/25 04:28:30,0
08/31/25 04:29:30,26
08/31/25 04:30:30,4
08/31/25 04:31:30,-92
08/31/25 04:32:30,-2
08/31/25 04:33:30,4
08/31/25 04:34:29,0
08/31/25 04:35:29,-1
08/31/25 04:36:29,12
08/31/25 04:37:29,-4
08/31/25 04:38:29,0
08/31/25 04:39:29,-28
08/31/25 04:40:29,1
08/31/25 04:41:29,11
08/31/25 04:42:29,-22
08/31/25 04:43:29,-11
08/31/25 04:44:29,0
08/31/25 04:45:29,0
08/31/25 04:46:29,0
08/31/25 04:47:29,0
08/31/25 04:48:29,0
08/31/25 04:49:29,0
08/31/25 04:50:30,0
08/31/25 04:51:30,0
08/31/25 04:52:30,10
08/31/25 04:53:30,18
08/31/25 04:54:30,-21
08/31/25 04:55:30,3
08/31/25 04:56:30,-1
08/31/25 04:57:30,0
08/31/25 04:58:30,0
08/31/25 04:59:30,0
08/31/25 05:00:30,0
08/31/25 05:01:30,-21
08/31/25 05:02:30,0
08/31/25 05:03:30,24
08/31/25 05:04:30,54
08/31/25 05:05:30,-4
08/31/25 05:06:30,0
08/31/25 05:07:30,2
08/31/25 05:08:30,32
08/31/25 05:09:30,-1
08/31/25 05:10:30,56
08/31/25 05:11:30,0
08/31/25 05:12:30,-1
08/31/25 05:13:30,40
08/31/25 05:14:30,0
08/31/25 05:15:30,0
08/31/25 05:16:30,3
08/31/25 05:17:30,-48
08/31/25 05:18:30,-9
08/31/25 05:19:30,-3
08/31/25 05:20:30,6
08/31/25 05:21:30,0
08/31/25 05:22:30,-32
08/31/25 05:23:30,-17
08/31/25 05:24:30,36
08/31/25 05:25:30,0
08/31/25 05:26:30,-24
08/31/25 05:27:30,2
08/31/25 05:28:30,-13
08/31/25 05:29:30,-2
08/31/25 05:30:30,7
08/31/25 05:31:30,0
08/31/25 05:32:30,4
08/31/25 05:33:30,-5
08/31/25 05:34:30,0
08/31/25 05:35:30,-5
08/31/25 05:36:30,5
08/31/25 05:37:30,6
08/31/25 05:38:30,9
08/31/25 05:39:30,1
08/31/25 05:40:30,3
08/31/25 05:41:30,-21
08/31/25 05:42:30,-1
08/31/25 05:43:30,0
08/31/25 05:44:30,7
08/31/25 05:45:30,0
08/31/25 05:46:30,-24
08/31/25 05:47:30,24
08/31/25 05:48:30,-13
08/31/25 05:49:30,0
08/31/25 05:50:30,-12
08/31/25 05:51:30,1
08/31/25 05:52:30,34
08/31/25 05:53:30,26
08/31/25 05:54:30,-6
08/31/25 05:55:30,-15
08/31/25 05:56:30,36
08/31/25 05:57:30,0
08/31/25 05:58:30,0
08/31/25 05:59:30,-3
08/31/25 06:00:30,0
08/31/25 06:01:30,-12
08/31/25 06:02:30,7
08/31/25 06:03:30,-63
08/31/25 06:04:30,-45
08/31/25 06:05:30,4
08/31/25 06:06:30,0
08/31/25 06:07:31,-12
08/31/25 06:08:31,-2
08/31/25 06:09:31,-11
08/31/25 06:10:31,17
08/31/25 06:11:31,-3
08/31/25 06:12:31,0
08/31/25 06:13:31,-4
08/31/25 06:14:31,0
08/31/25 06:15:31,0
08/31/25 06:16:31,0
08/31/25 06:17:31,0
08/31/25 06:18:31,0
08/31/25 06:19:31,15
08/31/25 06:20:31,0
08/31/25 06:21:31,0
08/31/25 06:22:29,0
08/31/25 06:23:29,0
08/31/25 06:24:29,0
08/31/25 06:25:29,0
08/31/25 06:26:29,0
08/31/25 06:27:29,-19
08/31/25 06:28:29,10
08/31/25 06:29:29,-1
08/31/25 06:30:29,-12
08/31/25 06:31:29,0
08/31/25 06:32:29,27
08/31/25 06:33:29,-90
08/31/25 06:34:29,81
08/31/25 06:35:29,2
08/31/25 06:36:29,19
08/31/25 06:37:30,17
08/31/25 06:38:30,15
08/31/25 06:39:30,31
08/31/25 06:40:30,1
08/31/25 06:41:30,-39
08/31/25 06:42:30,-55
08/31/25 06:43:30,-4
08/31/25 06:44:30,15
08/31/25 06:45:30,-7
08/31/25 06:46:30,-26
08/31/25 06:47:30,3
08/31/25 06:48:30,43
08/31/25 06:49:30,-5
08/31/25 06:50:30,-15
08/31/25 06:51:30,28
08/31/25 06:52:30,44
08/31/25 06:53:30,-37
08/31/25 06:54:30,0
08/31/25 06:55:30,14
08/31/25 06:56:30,15
08/31/25 06:57:30,70
08/31/25 06:58:30,11
08/31/25 06:59:30,-29
08/31/25 07:00:30,-6
08/31/25 07:01:30,4
08/31/25 07:02:30,-6
08/31/25 07:03:30,14
08/31/25 07:04:30,30
08/31/25 07:05:30,0
08/31/25 07:06:30,17
08/31/25 07:07:30,-23
08/31/25 07:08:30,-1
08/31/25 07:09:30,-17
08/31/25 07:10:30,0
08/31/25 07:11:30,-1
08/31/25 07:12:30,1
08/31/25 07:13:30,0
08/31/25 07:14:30,-34
08/31/25 07:15:30,0
08/31/25 07:16:30,0
08/31/25 07:17:30,-6
08/31/25 07:18:30,52
08/31/25 07:19:30,0
08/31/25 07:20:30,0
08/31/25 07:21:30,34
08/31/25 07:22:30,17
08/31/25 07:23:30,1
08/31/25 07:24:30,0
08/31/25 07:25:30,-27
08/31/25 07:26:30,0
08/31/25 07:27:30,7
08/31/25 07:28:30,0
08/31/25 07:29:30,0
08/31/25 07:30:30,0
08/31/25 07:31:30,2
08/31/25 07:32:30,51
08/31/25 07:33:30,0
08/31/25 07:34:30,-1
08/31/25 07:35:30,12
08/31/25 07:36:30,-33
08/31/25 07:37:30,0
08/31/25 07:38:30,-1
08/31/25 07:39:30,0
08/31/25 07:40:30,9
08/31/25 07:41:30,0
08/31/25 07:42:30,2
08/31/25 07:43:30,-36
08/31/25 07:44:30,-1
08/31/25 07:45:30,0
08/31/25 07:46:31,0
08/31/25 07:47:31,-4
08/31/25 07:48:31,27
08/31/25 07:49:31,0
08/31/25 07:50:31,-40
08/31/25 07:51:31,0
08/31/25 07:52:32,47
08/31/25 07:53:32,0
08/31/25 07:54:32,0
08/31/25 07:55:32,-7
08/31/25 07:56:32,-33
08/31/25 07:57:32,-10
08/31/25 07:58:32,-21
08/31/25 07:59:32,-9
08/31/25 08:00:32,8
08/31/25 08:01:32,4
08/31/25 08:02:32,1
08/31/25 08:03:32,0
08/31/25 08:04:32,6
08/31/25 08:05:32,0
08/31/25 08:06:32,3
08/31/25 08:07:31,-2
08/31/25 08:08:31,0
08/31/25 08:09:31,0
08/31/25 08:10:31,18
08/31/25 08:11:31,-20
08/31/25 08:12:31,-2
08/31/25 08:13:31,0
08/31/25 08:14:31,13
08/31/25 08:15:31,0
08/31/25 08:16:31,-28
08/31/25 08:17:31,-4
08/31/25 08:18:31,34
08/31/25 08:19:31,-13
08/31/25 08:20:31,0
08/31/25 08:21:31,-3
08/31/25 08:22:31,-3
08/31/25 08:23:32,1
08/31/25 08:24:32,-4
08/31/25 08:25:32,-12
08/31/25 08:26:32,31
08/31/25 08:27:32,-3
08/31/25 08:28:32,39
08/31/25 08:29:32,9
08/31/25 08:30:32,0
08/31/25 08:31:32,-4
08/31/25 08:32:32,0
08/31/25 08:33:32,0
08/31/25 08:34:32,-4
08/31/25 08:35:32,9
08/31/25 08:36:32,0
08/31/25 08:37:32,-1
08/31/25 08:38:32,0
08/31/25 08:39:32,17
08/31/25 08:40:32,7
08/31/25 08:41:32,43
08/31/25 08:42:32,-4
08/31/25 08:43:32,-5
08/31/25 08:44:31,13
08/31/25 08:45:31,0
08/31/25 08:46:31,6
08/31/25 08:47:31,-14
08/31/25 08:48:31,31
08/31/25 11:06:00,2
08/31/25 11:07:00,2
08/31/25 11:08:00,-24
08/31/25 11:09:00,0
08/31/25 11:10:00,0
08/31/25 11:11:00,2
08/31/25 22:52:30,0
08/31/25 22:53:30,0
08/31/25 22:54:30,-3
08/31/25 22:55:30,-1
08/31/25 22:56:30,0
08/31/25 22:57:30,-6
