timestamp,Infrared to Red Signal Ratio
09/23/25 00:39:00,12
09/23/25 00:40:00,-11
09/23/25 00:41:00,4
09/23/25 00:42:00,23
09/23/25 00:43:00,8
09/23/25 00:44:00,33
09/23/25 00:45:00,-5
09/23/25 01:05:00,-2
09/23/25 01:06:00,-1
09/23/25 01:07:00,-27
09/23/25 01:08:00,43
09/23/25 01:09:00,20
09/23/25 01:10:00,0
09/23/25 01:11:00,-15
09/23/25 01:12:00,1
09/23/25 01:13:00,9
09/23/25 01:14:00,48
09/23/25 01:15:00,0
09/23/25 01:16:00,39
09/23/25 01:17:00,-20
09/23/25 01:18:00,-7
09/23/25 01:19:00,5
09/23/25 01:20:00,0
09/23/25 01:21:00,-24
09/23/25 01:22:00,-17
09/23/25 01:23:00,11
09/23/25 01:24:00,-23
09/23/25 01:25:00,45
09/23/25 01:26:00,-7
09/23/25 01:27:01,-7
09/23/25 01:28:01,0
09/23/25 01:29:01,7
09/23/25 01:30:01,4
09/23/25 01:31:01,27
09/23/25 01:32:01,-5
09/23/25 01:33:01,-10
09/23/25 01:34:01,-33
09/23/25 01:35:01,1
09/23/25 01:36:01,0
09/23/25 01:37:01,0
09/23/25 01:38:01,0
09/23/25 01:39:01,0
09/23/25 01:40:01,23
09/23/25 01:41:59,1
09/23/25 01:42:59,34
09/23/25 01:43:59,0
09/23/25 01:44:59,5
09/23/25 01:45:59,10
09/23/25 01:46:59,14
09/23/25 01:47:59,12
09/23/25 01:48:59,17
09/23/25 01:49:59,-17
09/23/25 01:50:59,-6
09/23/25 01:51:59,0
09/23/25 01:52:59,-4
09/23/25 01:53:59,0
09/23/25 01:54:59,0
09/23/25 01:55:59,1
09/23/25 01:57:00,-1
09/23/25 01:58:00,-2
09/23/25 01:59:00,0
09/23/25 02:00:00,-45
09/23/25 02:01:00,-14
09/23/25 02:02:00,0
09/23/25 02:03:00,0
09/23/25 02:04:00,1
09/23/25 02:05:00,-14
09/23/25 02:06:00,0
09/23/25 02:07:00,0
09/23/25 02:08:00,19
09/23/25 02:09:00,44
09/23/25 02:10:00,-6
09/23/25 02:11:59,-43
09/23/25 02:12:59,-31
09/23/25 02:13:59,-13
09/23/25 02:14:59,-2
09/23/25 02:15:59,-14
09/23/25 02:16:59,-3
09/23/25 02:17:59,-20
09/23/25 02:18:59,0
09/23/25 02:19:59,0
09/23/25 02:20:59,0
09/23/25 02:21:59,26
09/23/25 02:22:59,-2
09/23/25 02:23:59,0
09/23/25 02:24:59,-8
09/23/25 02:25:59,-38
09/23/25 02:27:00,-4
09/23/25 02:28:00,6
09/23/25 02:29:00,0
09/23/25 02:30:00,10
09/23/25 02:31:00,22
09/23/25 02:32:00,-7
09/23/25 02:33:00,9
09/23/25 02:34:00,7
09/23/25 02:35:00,0
09/23/25 02:36:00,26
09/23/25 02:37:00,6
09/23/25 02:38:00,8
09/23/25 02:39:00,0
09/23/25 02:40:00,0
09/23/25 02:41:00,0
09/23/25 02:42:00,14
09/23/25 02:43:00,1
09/23/25 02:44:00,28
09/23/25 02:45:00,-4
09/23/25 02:46:00,-8
09/23/25 02:47:00,13
09/23/25 02:48:00,-69
09/23/25 02:49:00,-4
09/23/25 02:50:00,-1
09/23/25 02:51:00,-31
09/23/25 02:52:00,0
09/23/25 02:53:00,-1
09/23/25 02:54:00,-1
09/23/25 02:55:00,-8
09/23/25 02:56:00,-5
09/23/25 02:57:59,2
09/23/25 02:58:59,-2
09/23/25 02:59:59,-30
09/23/25 03:00:59,4
09/23/25 03:01:59,-4
09/23/25 03:02:59,0
09/23/25 03:03:59,29
09/23/25 03:04:59,-19
09/23/25 03:05:59,1
09/23/25 03:06:59,-17
09/23/25 03:07:59,-25
09/23/25 03:08:59,-20
09/23/25 03:09:59,1
09/23/25 03:10:59,0
09/23/25 03:11:59,-39
09/23/25 03:13:00,-2
09/23/25 03:14:00,6
09/23/25 03:15:00,0
09/23/25 03:16:00,-14
09/23/25 03:17:00,13
09/23/25 03:18:00,-4
09/23/25 03:19:00,-2
09/23/25 03:20:00,-11
09/23/25 03:21:00,21
09/23/25 03:22:00,-34
09/23/25 03:23:00,5
09/23/25 03:24:00,15
09/23/25 03:25:00,0
09/23/25 03:26:00,7
09/23/25 03:27:59,0
09/23/25 03:28:59,0
09/23/25 03:29:59,0
09/23/25 03:30:59,-82
09/23/25 03:31:59,-8
09/23/25 03:32:59,0
09/23/25 03:33:59,3
09/23/25 03:34:59,65
09/23/25 03:35:59,0
09/23/25 03:36:59,6
09/23/25 03:37:59,49
09/23/25 03:38:59,3
09/23/25 03:39:59,-65
09/23/25 03:40:59,-5
09/23/25 03:41:59,-4
09/23/25 03:43:00,16
09/23/25 03:44:00,14
09/23/25 03:45:00,-4
09/23/25 03:46:00,-51
09/23/25 03:47:00,0
09/23/25 03:48:00,-31
09/23/25 03:49:00,55
09/23/25 03:50:00,17
09/23/25 03:51:00,0
09/23/25 03:52:00,0
09/23/25 03:53:00,-12
09/23/25 03:54:00,1
09/23/25 03:55:00,1
09/23/25 03:56:00,13
09/23/25 03:57:59,-16
09/23/25 03:58:59,0
09/23/25 03:59:59,0
09/23/25 04:00:59,8
09/23/25 04:01:59,28
09/23/25 04:02:59,0
09/23/25 04:03:59,0
09/23/25 04:04:59,-5
09/23/25 04:05:59,54
09/23/25 04:06:59,14
09/23/25 04:07:59,-2
09/23/25 04:08:59,0
09/23/25 04:09:59,0
09/23/25 04:10:59,1
09/23/25 04:11:59,0
09/23/25 04:12:59,-21
09/23/25 04:13:59,0
09/23/25 04:14:59,22
09/23/25 04:15:59,34
09/23/25 04:16:59,4
09/23/25 04:17:59,6
09/23/25 04:18:59,-13
09/23/25 04:19:59,0
09/23/25 04:20:59,21
09/23/25 04:21:59,0
09/23/25 04:22:59,10
09/23/25 04:23:59,-55
09/23/25 04:24:59,-65
09/23/25 04:25:59,13
09/23/25 04:26:59,3
09/23/25 04:28:00,-17
09/23/25 04:29:00,0
09/23/25 04:30:00,-1
09/23/25 04:31:00,0
09/23/25 04:32:00,0
09/23/25 04:33:00,-4
09/23/25 04:34:00,3
09/23/25 04:35:00,-15
09/23/25 04:36:00,7
09/23/25 04:37:00,-26
09/23/25 04:38:00,-13
09/23/25 04:39:00,-21
09/23/25 04:40:00,-73
09/23/25 04:41:00,29
09/23/25 04:42:00,0
09/23/25 04:43:59,-1
09/23/25 04:44:59,-8
09/23/25 04:45:59,-26
09/23/25 04:46:59,-5
09/23/25 04:47:59,0
09/23/25 04:48:59,0
09/23/25 04:49:59,31
09/23/25 04:50:59,0
09/23/25 04:51:59,0
09/23/25 04:52:59,4
09/23/25 04:53:59,30
09/23/25 04:54:59,-5
09/23/25 04:55:59,0
09/23/25 04:56:59,-20
09/23/25 04:57:59,5
09/23/25 04:59:00,-28
09/23/25 05:00:00,48
09/23/25 05:01:00,0
09/23/25 05:02:00,-40
09/23/25 05:03:00,-5
09/23/25 05:04:00,2
09/23/25 05:05:00,-28
09/23/25 05:06:00,-24
09/23/25 05:07:00,0
09/23/25 05:08:00,12
09/23/25 05:09:00,0
09/23/25 05:10:00,-13
09/23/25 05:11:00,-28
09/23/25 05:12:00,0
09/23/25 05:13:59,4
09/23/25 05:14:59,-36
09/23/25 05:15:59,-42
09/23/25 05:16:59,0
09/23/25 05:17:59,-4
09/23/25 05:18:59,0
09/23/25 05:19:59,0
09/23/25 05:20:59,0
09/23/25 05:21:59,20
09/23/25 05:22:59,0
09/23/25 05:23:59,0
09/23/25 05:24:59,-15
09/23/25 05:25:59,0
09/23/25 05:26:59,-2
09/23/25 05:27:59,7
09/23/25 05:29:00,25
09/23/25 05:30:00,15
09/23/25 05:31:00,0
09/23/25 05:32:00,18
09/23/25 05:33:00,0
09/23/25 05:34:00,-3
09/23/25 05:35:00,-4
09/23/25 05:36:00,-4
09/23/25 05:37:00,-11
09/23/25 05:38:00,17
09/23/25 05:39:00,9
09/23/25 05:40:00,0
09/23/25 05:41:00,-1
09/23/25 05:42:00,30
09/23/25 05:43:59,20
09/23/25 05:44:59,-8
09/23/25 05:45:59,-22
09/23/25 05:46:59,-2
09/23/25 05:47:59,7
09/23/25 05:48:59,-17
09/23/25 05:49:59,0
09/23/25 05:50:59,0
09/23/25 05:51:59,0
09/23/25 05:52:59,7
09/23/25 05:53:59,20
09/23/25 05:54:59,-1
09/23/25 05:55:59,6
09/23/25 05:56:59,-26
09/23/25 05:57:59,0
09/23/25 05:59:00,-4
09/23/25 06:00:00,3
09/23/25 06:01:00,2
09/23/25 06:02:00,5
09/23/25 06:03:00,-4
09/23/25 06:04:00,6
09/23/25 06:05:00,0
09/23/25 06:06:00,-34
09/23/25 06:07:00,34
09/23/25 06:08:00,39
09/23/25 06:09:00,20
09/23/25 06:10:00,2
09/23/25 06:11:00,5
09/23/25 06:12:00,4
09/23/25 06:13:00,4
09/23/25 06:14:00,16
09/23/25 06:15:00,-9
09/23/25 06:16:00,9
09/23/25 06:17:00,4
09/23/25 06:18:00,-12
09/23/25 06:19:00,0
09/23/25 06:20:00,0
09/23/25 06:21:00,10
09/23/25 06:22:00,-13
09/23/25 06:23:00,7
09/23/25 06:24:00,-5
09/23/25 06:25:00,1
09/23/25 06:26:00,-29
09/23/25 06:27:00,16
09/23/25 06:28:00,-60
09/23/25 06:29:00,8
09/23/25 06:30:00,-7
09/23/25 06:31:00,12
09/23/25 06:32:00,0
09/23/25 06:33:00,0
09/23/25 06:34:00,-13
09/23/25 06:35:00,-7
09/23/25 06:36:00,-27
09/23/25 06:37:00,17
09/23/25 06:38:00,7
09/23/25 06:39:00,0
09/23/25 06:40:00,5
09/23/25 06:41:00,0
09/23/25 06:42:00,39
09/23/25 06:43:00,8
09/23/25 06:44:00,10
09/23/25 06:45:00,-2
09/23/25 06:46:00,21
09/23/25 06:47:00,0
09/23/25 06:48:00,0
09/23/25 06:49:00,8
09/23/25 06:50:00,43
09/23/25 06:51:00,25
09/23/25 06:52:00,-31
09/23/25 06:53:00,0
09/23/25 06:54:00,-1
09/23/25 06:55:00,4
09/23/25 06:56:00,0
09/23/25 06:57:00,-2
09/23/25 06:58:00,39
09/23/25 06:59:00,-5
09/23/25 07:00:00,1
09/23/25 07:01:00,0
09/23/25 07:02:00,1
09/23/25 07:03:00,5
09/23/25 07:04:00,20
09/23/25 07:05:00,-32
09/23/25 07:06:00,0
09/23/25 07:07:00,0
09/23/25 07:08:00,-8
09/23/25 07:09:00,0
09/23/25 07:10:00,-5
09/23/25 07:11:00,-9
09/23/25 07:12:00,-13
09/23/25 07:13:00,12
09/23/25 07:14:57,-6
09/23/25 07:15:57,-26
09/23/25 07:16:57,-4
09/23/25 07:17:57,-4
09/23/25 07:18:57,29
09/23/25 07:19:57,8
09/23/25 07:20:57,-8
09/23/25 07:21:57,16
09/23/25 07:22:57,2
09/23/25 07:23:57,22
09/23/25 07:24:57,0
09/23/25 07:25:57,0
09/23/25 07:26:57,-2
09/23/25 07:27:57,26
09/23/25 07:28:57,21
09/23/25 07:29:59,8
09/23/25 07:30:59,-1
09/23/25 07:31:59,-8
09/23/25 07:32:59,0
09/23/25 07:33:59,8
09/23/25 07:34:59,2
09/23/25 07:35:59,7
09/23/25 07:36:59,-17
09/23/25 07:37:56,3
09/23/25 07:39:28,0
09/23/25 07:40:28,0
09/23/25 07:41:28,0
09/23/25 07:42:28,0
09/23/25 07:43:28,0
09/23/25 07:44:28,0
09/23/25 07:45:28,0
09/23/25 07:46:28,0
09/23/25 07:47:28,0
09/23/25 07:48:28,0
09/23/25 07:49:28,0
09/23/25 07:50:28,0
09/23/25 07:51:28,0
09/23/25 07:52:28,0
09/23/25 07:53:32,0
09/23/25 07:54:32,0
09/23/25 07:55:32,0
09/23/25 07:56:32,0
09/23/25 07:57:32,0
