timestamp,Infrared to Red Signal Ratio
01/17/26 01:11:30,0
01/17/26 01:12:30,0
01/17/26 01:13:30,0
01/17/26 01:14:30,0
01/17/26 01:15:30,0
01/17/26 01:16:30,0
01/17/26 01:17:30,0
01/17/26 01:18:30,0
01/17/26 01:19:30,0
01/17/26 01:20:30,0
01/17/26 01:21:30,0
01/17/26 01:22:30,0
01/17/26 01:23:31,0
01/17/26 01:24:31,0
01/17/26 01:25:31,0
01/17/26 01:26:31,0
01/17/26 01:27:31,0
01/17/26 01:28:31,0
01/17/26 01:29:31,0
01/17/26 01:30:31,0
01/17/26 01:31:31,0
01/17/26 01:32:31,0
01/17/26 01:33:31,0
01/17/26 01:34:31,0
01/17/26 01:35:31,0
01/17/26 01:36:31,0
01/17/26 01:37:31,0
01/17/26 01:38:31,0
01/17/26 01:39:31,0
01/17/26 01:40:31,0
01/17/26 01:41:31,0
01/17/26 01:42:31,0
01/17/26 01:43:31,0
01/17/26 01:44:31,0
01/17/26 01:45:31,0
01/17/26 01:46:31,0
01/17/26 01:47:31,0
01/17/26 01:48:31,0
01/17/26 01:49:31,0
01/17/26 01:50:31,0
01/17/26 01:51:31,0
01/17/26 01:52:31,0
01/17/26 01:53:30,0
01/17/26 01:54:30,0
01/17/26 01:55:31,0
01/17/26 01:56:31,0
01/17/26 01:57:31,0
01/17/26 01:58:31,0
01/17/26 01:59:31,0
01/17/26 02:00:31,0
01/17/26 02:01:31,0
01/17/26 02:02:31,0
01/17/26 02:03:31,0
01/17/26 02:04:31,0
01/17/26 02:05:31,0
01/17/26 02:06:31,0
01/17/26 02:07:31,0
01/17/26 02:08:31,0
01/17/26 02:09:31,0
01/17/26 02:10:31,0
01/17/26 02:11:31,0
01/17/26 02:12:31,0
01/17/26 02:13:31,0
01/17/26 02:14:31,0
01/17/26 02:15:31,0
01/17/26 02:16:31,0
01/17/26 02:17:31,0
01/17/26 02:18:31,0
01/17/26 02:19:31,0
01/17/26 02:20:31,0
01/17/26 02:21:31,0
01/17/26 02:22:31,0
01/17/26 02:23:31,0
01/17/26 02:24:31,0
01/17/26 02:25:31,0
01/17/26 02:26:32,0
01/17/26 02:27:32,0
01/17/26 02:28:32,0
01/17/26 02:29:32,0
01/17/26 02:30:32,0
01/17/26 02:31:32,0
01/17/26 02:32:32,0
01/17/26 02:33:32,0
01/17/26 02:34:32,0
01/17/26 02:35:32,0
01/17/26 02:36:32,0
01/17/26 02:37:32,0
01/17/26 02:38:32,0
01/17/26 02:39:32,0
01/17/26 02:40:32,0
01/17/26 02:41:31,0
01/17/26 02:42:31,0
01/17/26 02:43:31,0
01/17/26 02:44:31,0
01/17/26 02:45:31,0
01/17/26 02:46:31,0
01/17/26 02:47:31,0
01/17/26 02:48:31,0
01/17/26 02:49:31,0
01/17/26 02:50:31,0
01/17/26 02:51:31,0
01/17/26 02:52:31,0
01/17/26 02:53:31,0
01/17/26 02:54:31,0
01/17/26 02:55:31,0
01/17/26 02:56:31,0
01/17/26 02:57:31,0
01/17/26 02:58:31,0
01/17/26 02:59:31,0
01/17/26 03:00:31,0
01/17/26 03:01:31,0
01/17/26 03:02:31,0
01/17/26 03:03:31,0
01/17/26 03:04:31,0
01/17/26 03:05:31,0
01/17/26 03:06:31,0
01/17/26 03:07:31,0
01/17/26 03:08:31,0
01/17/26 03:09:31,0
01/17/26 03:10:31,0
01/17/26 03:11:31,0
01/17/26 03:12:31,0
01/17/26 03:13:31,0
01/17/26 03:14:31,0
01/17/26 03:15:31,0
01/17/26 03:16:31,0
01/17/26 03:17:31,0
01/17/26 03:18:31,0
01/17/26 03:19:31,0
01/17/26 03:20:31,0
01/17/26 03:21:31,0
01/17/26 03:22:31,0
01/17/26 03:23:31,0
01/17/26 03:24:31,0
01/17/26 03:25:31,0
01/17/26 03:26:30,0
01/17/26 03:27:30,0
01/17/26 03:28:30,0
01/17/26 03:29:30,0
01/17/26 03:30:30,0
01/17/26 03:31:30,0
01/17/26 03:32:30,0
01/17/26 03:33:30,0
01/17/26 03:34:30,0
01/17/26 03:35:30,0
01/17/26 03:36:30,0
01/17/26 03:37:30,0
01/17/26 03:38:30,0
01/17/26 03:39:30,0
01/17/26 03:40:30,0
01/17/26 03:41:31,0
01/17/26 03:42:31,0
01/17/26 03:43:31,0
01/17/26 03:44:31,0
01/17/26 03:45:31,0
01/17/26 03:46:31,0
01/17/26 03:47:31,0
01/17/26 03:48:31,0
01/17/26 03:49:31,0
01/17/26 03:50:31,0
01/17/26 03:51:31,0
01/17/26 03:52:31,0
01/17/26 03:53:31,0
01/17/26 03:54:31,0
01/17/26 03:55:31,0
01/17/26 03:56:31,0
