timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2025-09-01T08:08:00,18.4,1.1,13.882,18.4,1.1,13.882,17.8,1.4,6.768,17.2,1.8,5.419
2025-09-02T08:35:30,17.4,1.1,8.611,17.4,1.1,8.611,16.8,1.5,13.088,19.4,0.5,2.549
2025-09-03T08:36:30,18.2,1.4,13.45,18.2,1.4,13.45,17.4,1.8,11.809,16.8,2.6,5.853
2025-09-04T08:00:30,17.2,0.8,14.189,17.2,0.8,14.189,16.6,1.3,12.349,16.8,0.7,3.321
2025-09-05T07:12:00,16.4,1.1,9.992,16.4,1.1,9.992,17.0,1.6,10.808,17.0,3.2,4.738
2025-09-06T05:39:30,18.2,0.9,10.525,18.2,0.9,10.525,17.4,1.6,9.607,-1.0,0.0,1.596
2025-09-07T07:02:30,17.2,1.1,9.377,17.2,1.1,9.377,16.0,1.4,13.288,17.0,2.1,6.145
2025-09-08T06:32:00,16.8,1.1,10.876,16.8,1.1,10.876,16.2,1.4,10.131,-1.0,0.0,1.762
2025-09-08T08:35:30,16.8,1.0,11.855,16.8,1.0,11.855,16.2,2.0,9.406,-1.0,0.0,2.302
2025-09-09T08:02:30,17.2,1.3,11.336,17.2,1.3,11.336,17.8,1.5,10.771,19.4,3.1,6.722
2025-09-10T08:28:30,19.0,1.1,8.49,19.0,1.1,8.49,-1.0,0.0,2.184,-1.0,0.0,1.822
2025-09-11T06:51:00,18.0,1.8,10.174,18.0,1.8,10.174,18.2,1.6,12.716,-1.0,0.0,1.747
2025-09-12T07:55:30,17.4,1.2,11.223,17.4,1.2,11.223,17.2,1.8,9.193,-1.0,0.0,2.347
2025-09-13T08:08:00,18.0,0.9,9.991,18.0,0.9,9.991,17.8,1.5,9.015,-1.0,0.0,1.883
2025-09-14T08:12:30,17.2,1.2,11.023,17.2,1.2,11.023,17.4,1.6,9.295,-1.0,0.0,2.483
2025-09-15T07:49:30,17.4,1.5,10.521,17.4,1.5,10.521,17.6,1.3,10.739,16.8,0.7,3.256
2025-09-16T07:02:30,16.8,1.3,6.956,16.8,1.3,6.956,17.0,0.8,7.407,-1.0,0.0,2.448
2025-09-16T08:49:00,17.0,1.4,8.208,17.0,1.4,8.208,16.6,1.5,12.42,19.8,0.4,2.725
2025-09-17T08:26:30,17.4,0.9,11.665,17.4,0.9,11.665,16.8,1.6,12.251,17.0,0.8,2.816
2025-09-18T07:35:30,16.4,1.2,12.801,16.4,1.2,12.801,16.8,1.1,8.586,17.6,2.4,4.892
2025-09-19T08:29:30,17.2,1.7,11.895,17.2,1.7,11.895,17.0,1.8,10.541,16.8,1.0,4.665
2025-09-20T06:27:30,17.8,0.8,9.137,17.8,0.8,9.137,17.0,1.5,13.236,17.0,0.6,3.039
2025-09-21T06:34:00,18.0,1.5,9.144,18.0,1.5,9.144,17.4,1.1,9.627,-1.0,0.0,1.346
2025-09-22T04:35:00,18.6,1.3,7.586,18.6,1.3,7.586,20.2,0.7,5.143,-1.0,0.0,2.4
2025-09-22T09:09:00,17.8,2.0,8.553,18.6,1.4,3.989,17.8,2.0,8.553,-1.0,0.0,2.377
2025-09-23T07:29:30,18.0,1.3,11.397,18.0,1.3,11.397,17.6,1.3,13.956,18.2,0.8,4.772
2025-09-24T09:36:00,19.2,1.9,7.107,19.2,1.9,7.107,17.8,1.0,8.087,-1.0,0.0,2.335
2025-09-25T07:18:30,18.0,0.7,4.597,18.0,0.7,4.597,17.2,1.3,9.333,18.4,0.5,5.242
2025-09-26T08:45:00,18.6,0.9,9.287,18.6,0.9,9.287,17.8,1.6,7.51,16.8,1.5,3.72
2025-09-27T08:23:00,20.2,1.4,8.693,20.2,1.4,8.693,19.8,0.6,5.176,18.8,0.9,6.081
2025-09-28T07:43:30,17.4,1.0,14.382,17.4,1.0,14.382,16.8,1.5,7.927,-1.0,0.0,1.989
2025-09-29T07:28:00,18.0,1.2,11.509,18.0,1.2,11.509,17.2,1.9,10.728,17.0,1.8,4.078
2025-09-30T07:15:30,17.2,0.8,8.136,17.2,0.8,8.136,17.2,1.3,10.84,-1.0,0.0,2.351
