timestamp,bucket_values
2025-11-01T06:25:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.003, 0.014, 0.04, 0.113, 0.223, 0.235, 0.172, 0.102, 0.052, 0.024, 0.01, 0.004, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-02T06:28:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.005, 0.006, 0.032, 0.095, 0.155, 0.193, 0.181, 0.14, 0.095, 0.05, 0.026, 0.011, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-03T07:29:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.005, 0.011, 0.044, 0.149, 0.258, 0.242, 0.159, 0.079, 0.031, 0.011, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-04T07:37:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.018, 0.078, 0.139, 0.172, 0.239, 0.177, 0.09, 0.047, 0.024, 0.009, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-05T06:48:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.004, 0.013, 0.04, 0.12, 0.216, 0.243, 0.183, 0.105, 0.044, 0.017, 0.006, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-05T08:37:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.003, 0.005, 0.014, 0.039, 0.118, 0.213, 0.242, 0.183, 0.107, 0.047, 0.018, 0.006, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-06T07:38:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.005, 0.013, 0.066, 0.153, 0.22, 0.218, 0.153, 0.087, 0.044, 0.021, 0.009, 0.004, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-07T08:28:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.007, 0.044, 0.15, 0.212, 0.199, 0.188, 0.118, 0.05, 0.019, 0.007, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-08T07:29:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.009, 0.041, 0.111, 0.167, 0.217, 0.191, 0.129, 0.068, 0.035, 0.014, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-09T06:48:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.006, 0.008, 0.015, 0.042, 0.099, 0.199, 0.23, 0.186, 0.112, 0.056, 0.026, 0.012, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-10T07:21:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.005, 0.019, 0.05, 0.112, 0.209, 0.227, 0.18, 0.113, 0.05, 0.02, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-10T08:54:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.005, 0.019, 0.05, 0.112, 0.209, 0.227, 0.18, 0.113, 0.05, 0.02, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-11T04:18:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.005, 0.012, 0.023, 0.029, 0.045, 0.099, 0.179, 0.223, 0.199, 0.105, 0.049, 0.017, 0.007, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-11T07:47:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.005, 0.011, 0.021, 0.027, 0.045, 0.098, 0.173, 0.216, 0.191, 0.112, 0.058, 0.024, 0.009, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0]"
2025-11-12T07:42:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.003, 0.006, 0.01, 0.021, 0.054, 0.115, 0.18, 0.215, 0.18, 0.12, 0.061, 0.023, 0.008, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-13T07:12:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.002, 0.005, 0.019, 0.091, 0.13, 0.176, 0.242, 0.19, 0.09, 0.033, 0.013, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-15T08:04:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.004, 0.026, 0.18, 0.387, 0.264, 0.112, 0.019, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-16T07:54:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.005, 0.01, 0.037, 0.099, 0.202, 0.23, 0.184, 0.116, 0.061, 0.03, 0.012, 0.005, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-17T07:52:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.002, 0.005, 0.012, 0.033, 0.079, 0.158, 0.219, 0.205, 0.141, 0.08, 0.038, 0.016, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-18T07:36:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.006, 0.015, 0.042, 0.111, 0.208, 0.265, 0.196, 0.095, 0.035, 0.014, 0.005, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-19T08:23:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.012, 0.034, 0.056, 0.101, 0.152, 0.196, 0.182, 0.127, 0.079, 0.035, 0.011, 0.005, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-20T07:32:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.003, 0.017, 0.061, 0.132, 0.221, 0.256, 0.176, 0.078, 0.034, 0.011, 0.003, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-21T09:34:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.001, 0.004, 0.007, 0.025, 0.102, 0.232, 0.287, 0.19, 0.091, 0.037, 0.014, 0.004, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-22T10:31:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.009, 0.104, 0.62, 0.25, 0.014, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-23T10:45:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.011, 0.042, 0.108, 0.2, 0.234, 0.218, 0.118, 0.061, 0.008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-11-24T08:51:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.008, 0.01, 0.02, 0.039, 0.085, 0.152, 0.2, 0.188, 0.144, 0.083, 0.043, 0.014, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0]"
