timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2025-10-01T06:51:00,17.0,0.9,9.989,17.0,0.9,9.989,16.8,1.7,13.6,8.6,1.0,2.73
2025-10-02T06:42:30,17.2,0.9,9.772,17.2,0.9,9.772,17.4,1.2,10.057,16.4,2.0,5.865
2025-10-03T07:11:00,18.4,1.4,9.547,18.4,1.4,9.547,17.6,1.3,6.084,16.4,0.7,3.478
2025-10-04T07:29:30,17.8,2.1,5.693,-1.0,0.0,2.128,17.8,2.1,5.693,16.8,1.1,3.135
2025-10-05T06:36:30,17.0,1.0,10.154,17.0,1.0,10.154,17.2,1.3,11.951,-1.0,0.0,1.732
2025-10-06T07:02:30,17.0,1.2,11.33,17.0,1.2,11.33,17.2,1.2,11.819,-1.0,0.0,2.106
2025-10-07T07:27:30,17.2,0.8,8.845,17.2,0.8,8.845,16.4,1.3,14.174,16.6,2.0,4.929
2025-10-08T07:03:30,18.2,1.1,10.055,18.2,1.1,10.055,17.8,1.6,11.159,-1.0,0.0,2.146
2025-10-09T07:01:30,18.2,1.4,7.85,18.2,1.4,7.85,17.6,1.9,11.076,-1.0,0.0,2.254
2025-10-10T07:18:30,16.8,1.6,10.05,16.8,1.6,10.05,17.2,1.4,7.534,-1.0,0.0,2.415
2025-10-10T22:33:00,18.0,0.9,6.404,18.0,0.9,6.404,18.6,0.7,6.449,-1.0,0.0,1.872
2025-10-11T07:04:30,17.0,1.6,8.778,17.0,1.6,8.778,16.8,1.6,9.055,17.0,1.0,3.4
2025-10-12T00:44:00,17.2,0.9,7.74,17.2,0.9,7.74,17.6,1.2,11.692,-1.0,0.0,1.914
2025-10-12T07:29:00,17.2,0.9,10.413,17.2,0.9,10.413,16.4,1.9,9.066,-1.0,0.0,1.603
2025-10-13T07:34:30,17.8,1.0,11.793,17.8,1.0,11.793,16.8,1.4,7.819,18.4,1.0,3.786
2025-10-14T07:05:30,16.4,1.7,7.33,16.4,1.7,7.33,16.6,1.1,10.114,16.2,1.7,6.41
2025-10-15T06:58:00,17.0,1.1,13.524,17.0,1.1,13.524,16.8,1.2,7.462,16.8,1.8,4.362
2025-10-16T06:51:30,16.6,0.5,8.913,16.6,0.5,8.913,17.4,1.5,11.386,14.2,0.6,3.203
2025-10-17T09:05:00,17.4,1.5,14.492,18.4,0.7,3.65,17.4,1.5,14.492,15.2,2.1,3.788
2025-10-18T06:45:00,17.6,1.7,9.131,17.6,1.7,9.131,17.8,1.8,10.389,-1.0,0.0,1.413
2025-10-19T07:26:30,18.2,0.9,10.948,18.2,0.9,10.948,17.8,1.2,6.472,-1.0,0.0,2.038
2025-10-20T06:53:30,17.4,1.2,10.966,17.4,1.2,10.966,17.0,1.0,12.314,29.8,0.2,3.255
2025-10-21T07:29:00,16.6,1.3,9.922,16.6,1.3,9.922,16.8,1.0,7.122,-1.0,0.0,1.656
2025-10-22T06:46:00,18.2,1.2,9.386,18.2,1.2,9.386,17.4,1.7,11.674,-1.0,0.0,2.186
2025-10-23T03:42:00,18.2,1.3,8.141,18.2,1.3,8.141,18.0,2.1,4.859,18.2,0.7,5.282
2025-10-23T07:23:30,18.0,1.3,11.809,18.0,1.3,11.809,18.0,1.9,6.39,-1.0,0.0,1.556
2025-10-24T07:40:00,18.4,0.8,9.028,18.4,0.8,9.028,17.6,1.3,10.774,14.2,0.5,2.519
2025-10-25T07:29:30,19.6,1.4,9.499,19.6,1.4,9.499,18.6,1.5,6.265,-1.0,0.0,1.799
2025-10-26T07:32:30,17.2,1.3,17.088,17.2,1.3,17.088,16.2,1.6,18.566,17.4,4.0,7.302
2025-10-27T07:37:30,17.2,1.0,7.526,17.2,1.0,7.526,16.6,1.5,12.106,15.6,1.0,3.941
2025-10-28T06:58:00,17.4,0.9,11.077,17.4,0.9,11.077,17.4,1.2,8.124,-1.0,0.0,2.012
2025-10-28T20:43:30,17.8,1.1,7.506,17.8,1.1,7.506,17.8,1.1,3.766,18.0,0.7,4.403
2025-10-29T07:54:30,18.4,0.9,9.863,18.4,0.9,9.863,18.2,1.9,8.543,-1.0,0.0,1.853
2025-10-30T07:28:00,18.0,1.2,8.742,18.0,1.2,8.742,18.0,1.6,14.225,-1.0,0.0,2.043
2025-10-31T08:43:30,18.4,1.1,10.704,18.4,1.1,10.704,17.6,1.7,5.293,-1.0,0.0,2.053
