timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2025-08-13T08:18:30,18.4,1.1,14.332,18.4,1.1,14.332,18.0,1.5,10.291,17.0,2.6,6.832
2025-08-14T08:28:30,18.2,1.2,11.719,18.2,1.2,11.719,17.4,1.6,8.83,-1.0,0.0,1.262
2025-08-15T08:28:00,17.6,1.1,9.98,17.6,1.1,9.98,17.4,1.6,9.235,17.6,2.7,6.327
2025-08-16T08:18:30,18.8,1.6,10.539,18.8,1.6,10.539,18.4,1.8,8.116,-1.0,0.0,2.078
2025-08-17T07:02:00,17.4,1.1,9.564,17.4,1.1,9.564,18.0,1.3,7.163,-1.0,0.0,1.758
2025-08-18T07:28:30,17.4,1.6,10.694,17.4,1.6,10.694,17.8,1.6,10.793,17.4,0.7,2.591
2025-08-19T08:32:30,18.2,0.8,7.147,18.2,0.8,7.147,17.6,1.8,11.157,18.2,0.6,3.275
2025-08-20T08:02:00,16.6,1.1,14.24,16.6,1.1,14.24,16.6,2.1,12.205,15.8,0.6,3.183
2025-08-21T07:56:30,17.2,1.1,11.337,17.2,1.1,11.337,16.8,2.0,11.335,16.6,1.8,3.9
2025-08-22T08:15:30,19.6,1.2,9.429,19.6,1.2,9.429,18.8,1.4,5.267,17.0,1.0,3.681
2025-08-24T08:27:30,16.8,1.4,11.253,16.8,1.4,11.253,17.0,1.3,12.374,-1.0,0.0,2.105
2025-08-25T09:00:30,18.4,1.5,7.509,18.4,1.5,7.509,17.4,1.8,7.792,-1.0,0.0,1.817
2025-08-26T09:25:30,20.2,0.7,7.056,20.2,0.7,7.056,19.6,1.7,8.015,-1.0,0.0,1.501
2025-08-27T09:03:30,0.0,0.0,1.805,-1.0,0.0,1.805,-1.0,0.0,2.061,-1.0,0.0,1.558
2025-08-28T08:07:30,20.4,0.8,7.183,20.4,0.8,7.183,29.8,0.2,4.179,-1.0,0.0,1.996
2025-08-29T03:14:30,18.4,1.5,15.054,-1.0,0.0,0.0,18.4,1.5,15.054,-1.0,0.0,2.284
2025-08-29T08:22:30,18.6,1.4,15.082,18.6,1.4,15.082,18.2,1.9,6.867,-1.0,0.0,2.383
2025-08-30T04:51:30,18.6,0.9,6.21,18.6,0.9,6.21,18.0,1.3,10.99,-1.0,0.0,2.182
2025-08-30T08:39:00,18.8,0.8,6.913,18.8,0.8,6.913,17.4,1.8,8.295,-1.0,0.0,1.998
2025-08-31T08:20:00,19.4,1.2,11.148,19.4,1.2,11.148,18.8,2.2,8.053,-1.0,0.0,1.385
2025-09-01T08:08:00,18.4,1.1,13.882,18.4,1.1,13.882,17.8,1.4,6.768,17.2,1.8,5.419
2025-09-02T08:35:30,17.4,1.1,8.611,17.4,1.1,8.611,16.8,1.5,13.088,19.4,0.5,2.549
2025-09-03T08:36:30,18.2,1.4,13.45,18.2,1.4,13.45,17.4,1.8,11.809,16.8,2.6,5.853
2025-09-04T08:00:30,17.2,0.8,14.189,17.2,0.8,14.189,16.6,1.3,12.349,16.8,0.7,3.321
2025-09-05T07:12:00,16.4,1.1,9.992,16.4,1.1,9.992,17.0,1.6,10.808,17.0,3.2,4.738
2025-09-06T05:39:30,18.2,0.9,10.525,18.2,0.9,10.525,17.4,1.6,9.607,-1.0,0.0,1.596
2025-09-07T07:02:30,17.2,1.1,9.377,17.2,1.1,9.377,16.0,1.4,13.288,17.0,2.1,6.145
2025-09-08T06:32:00,16.8,1.1,10.876,16.8,1.1,10.876,16.2,1.4,10.131,-1.0,0.0,1.762
2025-09-08T08:35:30,16.8,1.0,11.855,16.8,1.0,11.855,16.2,2.0,9.406,-1.0,0.0,2.302
2025-09-09T08:02:30,17.2,1.3,11.336,17.2,1.3,11.336,17.8,1.5,10.771,19.4,3.1,6.722
2025-09-10T08:28:30,19.0,1.1,8.49,19.0,1.1,8.49,-1.0,0.0,2.184,-1.0,0.0,1.822
2025-09-11T06:51:00,18.0,1.8,10.174,18.0,1.8,10.174,18.2,1.6,12.716,-1.0,0.0,1.747
2025-09-12T07:55:30,17.4,1.2,11.223,17.4,1.2,11.223,17.2,1.8,9.193,-1.0,0.0,2.347
