timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2025-12-15T08:09:00,17.4,0.8,6.761,17.4,0.8,6.761,16.2,2.3,13.907,10.8,1.4,3.664
2025-12-16T07:59:00,17.2,1.3,6.439,17.2,1.3,6.439,15.8,1.3,11.914,15.4,1.6,4.322
2025-12-17T10:37:00,16.4,1.5,9.671,16.4,1.5,9.671,16.2,1.6,7.867,16.8,1.6,5.499
2025-12-18T10:58:30,19.8,1.6,8.538,19.8,1.6,8.538,17.2,0.7,5.677,21.0,0.4,2.969
2025-12-19T11:00:00,17.0,1.1,12.186,17.0,1.1,12.186,16.4,1.4,15.267,-1.0,0.0,2.09
2025-12-21T12:00:30,18.2,1.3,15.07,18.2,1.3,15.07,17.6,1.3,11.217,-1.0,0.0,2.381
2025-12-23T09:02:00,17.8,1.6,13.368,17.8,1.6,13.368,17.2,1.2,7.75,15.4,1.1,2.874
2025-12-24T09:58:30,17.6,1.3,12.1,17.6,1.3,12.1,17.4,2.1,10.786,16.8,0.5,3.508
2025-12-25T04:54:30,18.0,1.3,11.998,18.0,1.3,11.998,17.2,1.5,4.45,-1.0,0.0,1.914
2025-12-26T06:45:30,17.8,1.4,8.737,17.8,1.4,8.737,18.0,1.4,10.468,-1.0,0.0,2.276
2025-12-27T07:45:00,17.6,1.3,7.945,17.6,1.3,7.945,16.6,1.4,12.29,17.4,1.2,3.095
2025-12-28T08:02:00,17.0,2.0,9.13,17.0,2.0,9.13,16.2,1.4,10.273,16.6,1.6,4.463
2025-12-29T11:10:30,16.6,1.3,7.802,16.6,1.3,7.802,15.8,1.1,12.634,15.6,1.3,5.172
2025-12-30T06:01:00,17.2,1.3,8.491,17.2,1.3,8.491,16.6,1.8,10.392,16.2,3.3,7.026
2025-12-31T10:28:00,17.4,1.6,16.29,17.4,1.6,16.29,15.6,1.8,13.713,14.4,0.6,2.676
