timestamp,bucket_values
2025-10-18T06:45:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.011, 0.019, 0.042, 0.071, 0.094, 0.105, 0.132, 0.155, 0.146, 0.106, 0.063, 0.033, 0.013, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-19T07:26:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.008, 0.047, 0.103, 0.126, 0.141, 0.155, 0.153, 0.121, 0.079, 0.039, 0.016, 0.006, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-20T06:53:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.005, 0.007, 0.012, 0.027, 0.062, 0.147, 0.229, 0.221, 0.154, 0.076, 0.035, 0.013, 0.005, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-21T07:29:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.007, 0.016, 0.032, 0.071, 0.149, 0.243, 0.218, 0.14, 0.073, 0.03, 0.011, 0.004, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-22T06:46:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.006, 0.015, 0.052, 0.122, 0.223, 0.253, 0.169, 0.087, 0.039, 0.017, 0.005, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-23T03:42:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.006, 0.032, 0.112, 0.249, 0.279, 0.179, 0.083, 0.034, 0.014, 0.005, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-23T07:23:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.005, 0.024, 0.081, 0.166, 0.208, 0.187, 0.141, 0.089, 0.051, 0.025, 0.012, 0.005, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-24T07:40:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.01, 0.054, 0.127, 0.138, 0.13, 0.147, 0.141, 0.112, 0.073, 0.035, 0.015, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-25T07:29:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.002, 0.018, 0.115, 0.329, 0.301, 0.15, 0.054, 0.019, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-26T07:32:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.003, 0.004, 0.011, 0.033, 0.063, 0.106, 0.149, 0.18, 0.168, 0.125, 0.083, 0.041, 0.019, 0.007, 0.002, 0.001, 0.0, 0.0, 0.0]"
2025-10-27T07:37:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.005, 0.005, 0.01, 0.025, 0.054, 0.11, 0.197, 0.221, 0.191, 0.104, 0.047, 0.019, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-28T06:58:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.006, 0.013, 0.029, 0.067, 0.127, 0.19, 0.221, 0.179, 0.106, 0.036, 0.015, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-28T20:43:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.005, 0.005, 0.012, 0.017, 0.034, 0.111, 0.179, 0.199, 0.187, 0.122, 0.074, 0.036, 0.01, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-29T07:54:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.008, 0.017, 0.079, 0.099, 0.139, 0.204, 0.191, 0.13, 0.076, 0.038, 0.012, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-30T07:28:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.005, 0.011, 0.028, 0.078, 0.132, 0.142, 0.144, 0.144, 0.122, 0.094, 0.053, 0.025, 0.011, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-10-31T08:43:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.004, 0.013, 0.04, 0.092, 0.191, 0.242, 0.195, 0.124, 0.058, 0.026, 0.009, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
